metric,contrast,mean,sd,ci_low,ci_high,seed_values,verdict
late_test_acc,W_harm_ELU1_d1,1.0237630208333333,0.13681317656192757,0.6839002494517028,1.3636257922149637,"[0.93994140625, 1.181640625, 0.94970703125]",
late_test_acc,W_harm_ELU1_d4,1.1393229166666667,0.1707995900889949,0.7150332137503908,1.5636126195829427,"[1.29150390625, 1.171875, 0.95458984375]",
late_test_acc,W_depth_interaction_ELU1,0.11555989583333333,0.20451544210739714,-0.39248462657052613,0.6236044182371928,"[0.3515625, -0.009765625, 0.0048828125]",
late_test_acc,Depth_harm_ELU1_n5,1.8017578125,0.2242375488907233,1.2447208608776603,2.3587947641223397,"[1.630859375, 1.71875, 2.0556640625]",
late_test_acc,Depth_harm_ELU1_n10,1.9173177083333333,0.18460217290049252,1.4587404889334625,2.3758949277332038,"[1.982421875, 1.708984375, 2.060546875]",
late_test_acc,W_harm_LR_d1,1.50146484375,0.08397159922812421,1.2928678273792853,1.7100618601207147,"[1.59423828125, 1.4306640625, 1.4794921875]",
late_test_acc,W_harm_LR_d4,0.4191080729166667,0.12207845024958405,0.11584839084198001,0.7223677549913534,"[0.41748046875, 0.2978515625, 0.5419921875]",
late_test_acc,W_depth_interaction_LR,-1.0823567708333333,0.12735937603834396,-1.3987349998135972,-0.7659785418530694,"[-1.1767578125, -1.1328125, -0.9375]",
late_test_acc,Depth_harm_LR_n5,2.3014322916666665,0.07859407115185586,2.106193795586984,2.496670787746349,"[2.28271484375, 2.3876953125, 2.23388671875]",
late_test_acc,Depth_harm_LR_n10,1.2190755208333333,0.10013734604388723,0.9703205631566356,1.467830478510031,"[1.10595703125, 1.2548828125, 1.29638671875]",
late_test_acc,H_ELU_minus_LR_d1,-0.4777018229166667,0.20759611025763447,-0.9933991492503644,0.03799550341703101,"[-0.654296875, -0.2490234375, -0.52978515625]",INCONCLUSIVE
late_test_acc,H_ELU_minus_LR_d4,0.72021484375,0.2664042990157209,0.05842987795410148,1.3819998095458985,"[0.8740234375, 0.8740234375, 0.41259765625]",INCONCLUSIVE
late_test_acc,J_three_way,1.1979166666666667,0.30005799898472973,0.45253127563295437,1.9433020577003792,"[1.5283203125, 1.123046875, 0.9423828125]",INCONCLUSIVE
