activation,cell,early_test_acc,early_test_ce,early_train_probe_ce,early_task_train_ce,early_online_ce,early_actual_train_mean,early_test_zmean,early_test_zsd,early_cnorm,early_gate_mean,early_gate_low_frac,early_positive_frac,late_test_acc,late_test_ce,late_train_probe_ce,late_task_train_ce,late_online_ce,late_actual_train_mean,late_test_zmean,late_test_zsd,late_cnorm,late_gate_mean,late_gate_low_frac,late_positive_frac,all_test_acc,all_test_ce,all_train_probe_ce,all_task_train_ce,all_online_ce,all_actual_train_mean,all_test_zmean,all_test_zsd,all_cnorm,all_gate_mean,all_gate_low_frac,all_positive_frac,L,early_adapt_ce_auc,early_adapt_ce_gain,late_adapt_ce_auc,late_adapt_ce_gain,all_adapt_ce_auc,all_adapt_ce_gain,initial_projection_test_ce_delta
ELU1,n5_d1,92.32014973958333,0.2489384700854619,0.25026527320345243,0.18516381904482837,0.447274409628523,-0.9999999985311091,-1.0200843850494785,2.092146874322596,4.999999999928883,0.48881712303125563,0.152872802734375,0.301580322265625,92.4951171875,0.24015434235334396,0.23989906981587406,0.1705932773649692,0.4405590562078232,-1.0000000009160777,-1.0192458009519914,2.065808711015339,5.000000000024595,0.4883448142079325,0.15115429687499998,0.3001066080729167,92.47932942708333,0.2414781218270461,0.24307213281591733,0.17423779884974158,0.4389672581632187,-0.9999999998346768,-1.0185170286300833,2.068291948413535,4.999999999907984,0.488610441139632,0.15117804361979167,0.30036500651041664,-0.17496744791666666,0.4788869362870852,3.902715089917183,0.4704008455971877,3.6922926579912505,0.4697328794012467,3.720490389118592,2.8509716987609863
ELU1,n10_d1,91.15397135416667,0.2884171704451243,0.2917624945441882,0.22033244892954826,0.5209495187292495,-1.000000001466269,-1.018426127683113,3.1411130134040874,9.999999999996424,0.49678196809781267,0.25410026041666667,0.37052465820312497,91.47135416666667,0.2728373852868875,0.2721479624509811,0.20005886529882744,0.487603618082578,-1.0000000005646248,-1.0134650739573372,3.1329724658388103,9.999999999782686,0.49596036504050395,0.25389477539062494,0.3694055989583333,91.45654296875,0.2750813206533591,0.2776235018173854,0.20428155879179635,0.49075290058225146,-1.0000000005805214,-1.015080911308181,3.1283833427453946,9.999999999866814,0.49620063236299666,0.2536488118489584,0.3696629069010417,-0.3173828125,0.5499810329675675,4.184447818994522,0.5110314043492079,3.6089685631295043,0.5173446276551484,3.745334586252769,7.249363740285237
ELU1,n5_d4,90.80647786458333,0.3091926674048106,0.3051329990228017,0.25360094259182614,0.6183386116589606,-4.000000000048633,-3.9859884525837947,2.4267530456499715,4.999999999951913,0.11607481806115412,0.6931282552083333,0.052870361328125004,90.693359375,0.3105170418818792,0.3082147846619288,0.2491835236549377,0.6102656833299124,-4.000000001128586,-3.9944192002989047,2.359112426505631,4.999999999845197,0.11172589922842467,0.6956912434895833,0.04859130859374999,90.73193359375,0.3080594546596209,0.3067641841371854,0.24889362052083017,0.6110232551215987,-3.9999999997843214,-3.9921509415660554,2.3741997546877682,4.999999999943902,0.11264679269851884,0.695306591796875,0.04955564778645833,0.11311848958333333,0.6549197810868422,3.1069718380769094,0.6441391618053119,3.11853908598423,0.647183489373525,3.1039257598916685,2.5263304710388184
ELU1,n10_d4,89.70540364583333,0.3351718758543332,0.334373943010966,0.26997879445552825,0.6349222993445646,-4.0000000020407365,-4.001517160264533,3.3268999618287824,9.999999999946489,0.17956654822743012,0.6345114746093751,0.10668400065104168,89.55403645833333,0.33926940262317656,0.33961267968018855,0.27481953154007593,0.6435318725879738,-3.999999999648287,-4.002576956291951,3.3303353816153685,10.000000000295378,0.17986220639425984,0.6343889973958333,0.10691463216145834,89.68798828125,0.33534465829531346,0.33698789129654566,0.27180380766590434,0.6380881163381561,-3.999999999439288,-4.003027844958129,3.3194408571133867,10.00000000006858,0.17907292506108044,0.6351537597656249,0.10623986002604167,0.1513671875,0.6771930140892665,3.4943503444393476,0.6833955996652445,3.3999621599912646,0.6762174407450359,3.4019285269578297,2.6717567443847656
ELU1,ref,91.80501302083333,0.2609280156592528,0.2664652181168397,0.2161900257070859,0.4694529398398102,-2.960515387785956,-2.9840973881126787,2.293672904172283,4.483927238718697,0.3424779819641177,0.4044781901041667,0.22769417317708332,90.21809895833333,0.3120603660742442,0.32107782214879993,0.2652286303540071,0.5584205590122316,-6.381635090965538,-6.432431587334375,4.502499458073011,7.998011970842351,0.2648303681032592,0.579043212890625,0.19497648111979168,91.0390625,0.2863106688360373,0.29398872206608456,0.23770037760337193,0.5137408460852131,-4.983156519581575,-5.023525840818482,3.5826071467485234,6.41970002930023,0.29030391097551117,0.5127994466145833,0.20237189127604163,1.5869140625,0.5047588623931011,3.94068802917997,0.5957672496577104,4.063742421070735,0.5511391824533541,3.9731506243844827,0.0
LR,n5_d1,92.09065755208333,0.2564321657021841,0.2553279876708985,0.18458518907427782,0.46725241067359846,-1.0000000004605134,-1.0218512515994553,1.9646523500780806,5.000000000001907,0.3636939219519597,0.0,0.2929932454427084,92.22005208333333,0.25128106276194256,0.2487250909209251,0.17585092460115748,0.4610063349865749,-1.0000000001269382,-1.015904583727973,1.9352122682100983,4.999999999967099,0.36257968855536693,0.0,0.2917552083333334,92.18131510416667,0.2511801472802957,0.2502570010224978,0.17702078183492023,0.4586059017585739,-1.000000000282836,-1.017313224203498,1.9372688165413312,5.000000000022553,0.3629660264453524,0.0,0.29218447265625,-0.12939453125,0.492644545352459,3.42555860877037,0.488641990184784,3.212558646996816,0.48601090942641095,3.2758646536370115,1.995131254196167
LR,n10_d1,90.45084635416667,0.31124192625284197,0.31460238397121426,0.2379888884723186,0.5669802957626681,-0.999999999836288,-1.0214786391560544,3.062552696980332,10.00000000021386,0.4298960702798498,0.0,0.3665511881510417,90.71858723958333,0.30328631202379863,0.3019813428322474,0.2269909133513768,0.5433784193218748,-0.9999999995047594,-1.0163988147505618,3.068498859461126,10.000000000554836,0.42987043551426724,0.0,0.366522705078125,90.73681640625,0.30038024326165513,0.30201272437969845,0.22654368937015534,0.5409056593171134,-0.9999999990943921,-1.0166857597336394,3.0631080701339406,10.000000000240192,0.43010182223263405,0.0,0.36677980143229166,-0.2677408854166667,0.6016028454025587,4.398000731567542,0.5738329698522885,3.509774313370387,0.571567871995767,3.699196085333824,12.564216216405233
LR,n5_d4,90.18717447916667,0.3208704024553299,0.33458509246508283,0.2866338834166527,0.547971672105218,-4.000000000820548,-4.008537144338281,2.106620286670844,5.0000000000255795,0.12197756493029066,0.0,0.02441951497395833,89.91861979166667,0.3309542824824651,0.3415477717916171,0.29194888869921365,0.5507812788473071,-4.00000000098775,-4.010942564057956,2.0319185448691193,4.999999999926636,0.11769524071863084,0.0,0.019661376953125,90.12825520833333,0.3251893986264865,0.3375488395492236,0.2873892199993134,0.5468536145208452,-4.000000000169286,-4.010330176285333,2.0638138180878642,4.999999999999709,0.11940625145798545,0.0,0.0215625,0.2685546875,0.5816259411414465,3.5199843694766364,0.5797937923431397,3.4971011827389398,0.5774251120257379,3.4616322138905526,2.196671644846598
LR,n10_d4,89.40673828125,0.344526628156503,0.3486622492472331,0.27868371705214184,0.6189178429730484,-4.000000000430615,-4.017424202375634,3.128719879935622,9.999999999842169,0.18266457654856214,0.0,0.09184952799479167,89.49951171875,0.35029503901799525,0.3537115554014842,0.28372134069601695,0.6281623108024398,-3.9999999990480775,-4.01955240130474,3.1292980899470066,9.999999999884995,0.18271240369692043,0.0,0.09190266927083333,89.48486328125,0.34607698837916057,0.35051064550876615,0.27964565639694533,0.6198085824731167,-4.000000000564889,-4.017136932809428,3.1265520600024153,10.00000000000615,0.18275186658748008,0.0,0.09194651692708333,-0.0927734375,0.6539205782274404,3.619578075905641,0.6577576224823793,3.424637786547343,0.6526982079382738,3.4726059031486507,2.2837436199188232
LR,ref,91.44205729166667,0.2727977698047956,0.27864902243018147,0.22386428837974862,0.4848365888136998,-2.241639367936856,-2.2636070226590896,1.8837168678388165,4.447414238888136,0.2540500012350579,0.0,0.17116666666666666,89.79654947916667,0.33084593663613004,0.33932807346185045,0.28135793308417006,0.580446137923797,-4.0517974788124915,-4.084600121937161,2.9826826688923624,8.088666138988957,0.23613811161627685,0.0,0.15126456705729166,90.52164713541667,0.30426062862078346,0.31145591561992964,0.25400105908513065,0.5373929880405665,-3.23380995701725,-3.2609303622333017,2.4735217824514826,6.4076538934636185,0.2412086682485066,0.0,0.15689851888020834,1.6455078125,0.5189296675582726,3.458343876898289,0.6136396948834261,3.6589541589220365,0.5708670652321973,3.573775665362676,0.0
