arm,seed,L,var_gbar_late,degenerate,O_1,O_5,O_20,O_40,Ndistinct,Nrun60,n_chronic,O_20_null,O_20_fixed,sizes_ok,O_20_abs,O_20_depth,O_20_depth_inv,O_1_depth_inv,jaccard_gate_depth,phase_frac,max_dev_from_1,alphaW_med,dcn2_bottom,dcn2_other,cross8,return8
R,0,2.655002474784851,0.09976984977722168,False,0.7037974683544302,0.6346666666666666,0.6066666666666668,0.5700000000000001,29,2,3,0.08833333333333332,1.0,True,0.6066666666666668,0.27666666666666667,0.37999999999999995,0.8721518987341774,0.13033195734434125,nan,nan,nan,0.16835742142619736,0.4103432998930556,16,14
R,1,2.050003409385681,0.10109354972839356,False,0.6658227848101265,0.6026666666666666,0.5033333333333333,0.4325,33,2,2,0.08833333333333332,1.0,True,0.5033333333333333,0.2783333333333333,0.4016666666666667,0.8658227848101266,0.2072128851540616,nan,nan,nan,0.30670534849556175,0.4087880441444633,22,22
R,2,2.549999952316284,0.10027841911315917,False,0.7139240506329115,0.6586666666666666,0.5583333333333333,0.53,28,2,2,0.08833333333333332,1.0,True,0.5583333333333333,0.28166666666666657,0.37166666666666665,0.888607594936709,0.1344470244238046,nan,nan,nan,0.3067397251772165,0.3612097097513303,26,24
LR03,0,1.359999179840088,0.01751199105317281,False,0.21265822784810126,0.16666666666666666,0.14166666666666666,0.11499999999999999,97,0,0,0.08833333333333332,1.0,True,0.14166666666666666,0.1583333333333333,0.32,0.7392405063291139,0.512087912087912,nan,nan,nan,0.4087835770518986,0.46123075270468156,0,0
LR03,1,1.335000991821289,0.01883460165341915,False,0.20253164556962025,0.172,0.13999999999999999,0.15,96,0,0,0.08833333333333332,1.0,True,0.13999999999999999,0.20000000000000004,0.2983333333333333,0.6658227848101266,0.5198468198468198,nan,nan,nan,0.4323963801993038,0.45867144588480846,0,0
LR03,2,1.0899990797042847,0.01830299847633502,False,0.21772151898734177,0.16533333333333333,0.11166666666666664,0.1325,99,0,0,0.08833333333333332,1.0,True,0.11166666666666664,0.14333333333333334,0.23666666666666664,0.7037974683544305,0.5186813186813186,nan,nan,nan,0.44153964230937465,0.452896305575443,0,0
LR,0,2.529996633529663,0.050895942458417866,False,0.3189873417721518,0.2946666666666666,0.24333333333333332,0.22000000000000003,83,0,0,0.08833333333333332,1.0,True,0.24333333333333332,0.4116666666666667,0.6083333333333335,0.8734177215189876,0.34067460317460313,nan,nan,nan,0.686610878695681,0.5524244672883704,27,26
LR,1,2.279999852180481,0.050273552827300116,False,0.2848101265822785,0.24800000000000003,0.23833333333333337,0.21500000000000002,88,0,0,0.08833333333333332,1.0,True,0.23833333333333337,0.42999999999999994,0.5700000000000001,0.8417721518987342,0.25541549953314663,nan,nan,nan,0.6806036472679831,0.5449312880622752,24,23
LR,2,2.0700007677078247,0.045775078808840526,False,0.25822784810126587,0.25866666666666666,0.19999999999999998,0.1825,89,0,0,0.08833333333333332,1.0,True,0.19999999999999998,0.32,0.46166666666666667,0.7949367088607595,0.33409825468648996,nan,nan,nan,0.7700876257578725,0.5572031708685282,26,26
LR001,0,2.7500003576278687,0.10669108594768201,False,0.4367088607594935,0.3853333333333333,0.3333333333333333,0.32,50,0,0,0.08833333333333332,1.0,True,0.3333333333333333,0.7633333333333332,0.7949999999999999,0.9632911392405065,0.0692251461988304,nan,nan,nan,0.8359999490196041,0.5847241841409867,44,41
LR001,1,2.8200000524520874,0.08962046607440369,False,0.5,0.4653333333333333,0.38500000000000006,0.39,44,1,0,0.08833333333333332,1.0,True,0.38500000000000006,0.7933333333333331,0.8183333333333331,0.9607594936708862,0.06725146198830409,nan,nan,nan,0.7955952333154246,0.6735676880282392,48,40
LR001,2,2.6849985122680664,0.09830937351561357,False,0.4670886075949366,0.4133333333333333,0.3516666666666666,0.3,48,0,0,0.08833333333333332,1.0,True,0.3516666666666666,0.6166666666666667,0.7083333333333334,0.9139240506329116,0.12886136910904716,nan,nan,nan,0.7466288317139133,0.5677415499143946,47,44
ELU1,0,1.7700016498565674,0.08426573829454612,False,0.9620253164556962,0.9520000000000001,0.935,0.905,20,9,10,0.08833333333333332,1.0,True,0.935,0.9383333333333332,0.935,0.9835443037974684,1.0,nan,nan,nan,0.0276841683459551,0.5963734231957627,52,44
ELU1,1,1.8550008535385132,0.08275079057069638,False,0.7860759493670885,0.7679999999999999,0.7283333333333335,0.6924999999999999,59,7,7,0.08833333333333332,1.0,True,0.7283333333333335,0.7333333333333335,0.77,0.9101265822784813,0.8015151515151514,nan,nan,nan,0.2876153730451191,0.5463345833915644,55,51
ELU1,2,2.0200014114379883,0.09431659387737136,False,0.9430379746835444,0.9360000000000003,0.9033333333333334,0.9,30,9,9,0.08833333333333332,1.0,True,0.9033333333333334,0.905,0.905,0.9797468354430381,0.9818181818181818,nan,nan,nan,0.04824880233927673,0.539942798313245,50,41
ELU03,0,2.7099967002868652,0.09238345364252167,False,0.6075949367088608,0.5653333333333332,0.5,0.5,76,2,3,0.08833333333333332,1.0,True,0.5,0.5299999999999999,0.5816666666666668,0.8708860759493672,0.7027972027972028,nan,nan,nan,0.53657016181496,0.4866931266119674,41,40
ELU03,1,2.1549999713897705,0.09745342795986858,False,0.80126582278481,0.7773333333333332,0.7599999999999997,0.73,53,7,7,0.08833333333333332,1.0,True,0.7599999999999997,0.7616666666666666,0.7866666666666665,0.9291139240506333,0.859090909090909,nan,nan,nan,0.28484224511218637,0.5210672714207095,30,25
ELU03,2,2.400001883506775,0.0914282716586605,False,0.6063291139240506,0.5946666666666667,0.545,0.49499999999999994,73,4,4,0.08833333333333332,1.0,True,0.545,0.5650000000000001,0.6266666666666668,0.8544303797468354,0.7245754245754246,nan,nan,nan,0.45557984050866973,0.49129996548275234,35,31
