arm,width,activation,act_alpha,status,k_above_LIN5_5m,n_valid_sign_5m,cp95_sign_lo,cp95_sign_hi,sign_status,U_1m_seed_values,U_5m_seed_values,median_log10_U_1m,median_log10_U_5m,median_submerged_frac_5m,median_strict_dead_frac_5m,main_verdict
R5,5,relu,1.0,COMPLETE,13,20,0.40781146546717195,0.8460907952154588,R5_INCONCLUSIVE_WIDE,"[0.999814276274418, 0.87065398264993, 0.4416935549440755, 0.51024356117588, 0.601342653728232, 0.5169030419621194, 0.9983714256819354, 0.44041817974913533, 0.6071405323937856, 0.5693428733992455, 0.44793267779759943, 0.8583755567461452, 0.5588177962841406, 0.48131767681015597, 0.8582579007164156, 0.4977738690474303, 0.5079030383295088, 1.0, 0.4784829244147163, 0.6309270275363881]","[1.0, 1.0, 0.8685947094907821, 0.5969609088238576, 0.39361645198866146, 1.0, 0.6396711996092805, 0.6009048378312782, 1.0, 0.41882204639039544, 0.43794214522334124, 1.0, 1.0, 0.45724639252467797, 1.0, 1.0, 0.48379919271338434, 0.578073784665864, 0.8448403630727466, 0.48748778040924484]",-0.24867794140461544,-0.13363427393833938,0.8800000000000001,0.8800000000000001,PHENOMENON3_NOT_REPRODUCED
LR5,5,leaky,0.1,COMPLETE,0,20,0.0,0.1684334709830853,LR5_BELOW_LINEAR,"[0.3299302053673099, 0.4345220073884756, 0.4314636337315593, 0.4704577625611493, 0.4825274358958135, 0.38928230239232453, 0.3444232641458419, 0.3277617731140904, 0.35839112426094805, 0.524564128044886, 0.35781412463969003, 0.44247020475219623, 0.3843131881729317, 0.32594078514671293, 0.45341886337729154, 0.40659181212451934, 0.3561344127841078, 0.4592070415958117, 0.3492159359215099, 0.5317745648635058]","[0.38219911982157645, 0.250326865583763, 0.4519129236956352, 0.20321221827854438, 0.30711182119080516, 0.5628791210258715, 0.419332633172676, 0.4065104454775942, 0.5269935193195836, 0.3183295269392585, 0.3812475245062399, 0.6302597463509657, 0.3045108259504948, 0.2862532068901191, 0.5256453829563943, 0.28940641695708297, 0.31527693892731457, 0.48604781453311796, 0.3133950837332742, 0.46901175171588816]",-0.40028835557391595,-0.41825164250072266,0.55,,PHENOMENON3_NOT_REPRODUCED
E5,5,elu,1.0,COMPLETE,1,20,0.001265089497949845,0.24873276277202777,E5_BELOW_LINEAR,"[0.2638036439864318, 0.46400736791070507, 0.37625784664127776, 0.25669746326607273, 0.5676030424929583, 0.39011055409308604, 0.3562314014326222, 0.28924089991191687, 0.3894690187181304, 0.4888866257000606, 0.3229210065273872, 0.44971780980686454, 0.3397432920368887, 0.3328609533285547, 0.2917571115884065, 0.36711403517767527, 0.27562103860332365, 0.5103354087275451, 0.29144512543262074, 0.4115776309103919]","[0.41472397072942757, 0.30407335083870685, 0.2982038259261094, 0.17376229993856185, 0.2927053858794265, 0.6501830135424602, 0.487843253554594, 0.318486404312181, 0.5819118048176534, 0.3041391414062843, 0.4396979727757465, 0.6965282993268451, 0.32143352409380366, 0.29271252768670764, 1.0001675607942393, 0.3721248603270918, 0.38984985095004515, 0.5223554727956284, 0.44488433101874125, 0.42637797156287033]",-0.4417334060950409,-0.3956717447530268,0.6,,PHENOMENON3_NOT_REPRODUCED
LIN5,5,linear,1.0,COMPLETE,,,,,,"[0.44054816702032296, 0.6327046159104852, 0.47275158041739757, 0.5709786419593057, 0.6662845883992679, 0.5805962204287464, 0.453325290522214, 0.47715010275272174, 0.5206027910976865, 0.6204609055263883, 0.4961451490549328, 0.5296169589609121, 0.5635849078229254, 0.4879999629300154, 0.663297739082511, 0.6126153245939616, 0.45751176800278703, 0.5893270626888576, 0.5108109997467297, 0.6142127438794089]","[0.509175180242593, 0.3538360879530261, 0.5186275480938317, 0.3207181847796352, 0.41361851309184566, 0.6833358021499837, 0.585676254307085, 0.5775854148811597, 0.6517645395527826, 0.4427352266024792, 0.4438162287592549, 0.7233484771138222, 0.5228375579800153, 0.49938465075722727, 0.6323995735367065, 0.4046956779906846, 0.48776244989729045, 0.5849108557926961, 0.4871309698620417, 0.6653524274036615]",-0.26253938102668395,-0.2891385963014901,0.0,,PHENOMENON3_NOT_REPRODUCED
R100,100,relu,1.0,COMPLETE,,,,,,"[0.27590055124054624, 0.1555901607462084, 0.7770087991688694, 0.2797314180684508, 0.2593275944759335, 0.353776812814499, 0.19668227694002044, 0.02944935525878149, 0.09317414324040575, 0.39074603055023077, 0.6515993034958868, 0.18342649816767082, 0.26970587781249417, 0.3048583550308746, 0.1934933118231577, 0.13386993538281267, 0.0024636534441740605, 0.02604224431446246, 0.2729030278124399, 0.04659725872512976]","[0.30061129363544975, 0.9992923971516664, 0.6606312502325349, 0.24802736585307109, 0.46716890032902336, 0.9592609850217532, 0.4175769499853389, 0.4280755889336148, 0.5975304830404329, 0.5531086501968622, 0.4801899382092518, 0.44573620301005945, 0.1861695734982885, 0.5970053423096742, 0.6416072367959019, 0.32889639003052284, 0.5517714391380476, 0.17337105141530396, 0.498225421834638, 0.5722453741367015]",-0.6461930205468736,-0.3105805303760426,0.982,0.982,PHENOMENON3_NOT_REPRODUCED
LR100,100,leaky,0.1,COMPLETE,,,,,,"[0.00022084893892165158, 0.0011275407987184631, 0.05259182493639675, 0.018593638659199416, 0.020433826076027135, 0.0004887795885845132, 0.0009395198822075834, 0.0046481943741897794, 5.971253419484997e-05, 0.033889410440645897, 0.09015728811498587, 0.0011342198076819555, 0.0011727723875071805, 0.005409736245514688, 0.0073045622108482465, 0.0018973420181295226, 8.031380134987974e-07, 2.242948852815572e-06, 0.027051559943985365, 0.0013217229291983402]","[0.009553127436069814, 0.007926765407669917, 0.00046875946929950563, 1.7295249271401389e-06, 0.0002485203227848327, 0.008032571473329633, 0.001980170704293301, 0.018871691284001315, 0.001748252594433604, 0.009847775882865398, 0.00032266726567733224, 0.016523334078345765, 1.107290018263602e-06, 0.009916927534566165, 0.01485944563514759, 0.006664506559642114, 0.02535277439900065, 0.0007105954945805275, 0.0009693430440046417, 0.004990663991733903]",-2.800356975598941,-2.239036834647921,0.5795,,PHENOMENON3_NOT_REPRODUCED
E100,100,elu,1.0,COMPLETE,,,,,,"[0.004430623716307247, 0.007107233953320376, 0.0416522522115149, 0.01704094367340269, 0.00990358881101672, 0.00827128987142435, 0.010118342431537513, 4.695379708367421e-05, 0.002087635550374287, 0.03129448238193692, 0.08097786144284226, 0.02900045825785383, 0.021322159156677727, 0.004030595974026946, 0.004221215418871613, 0.003951246229873402, 3.356292490061432e-05, 0.0007846466125431002, 0.03023154770309936, 0.0017304328687459268]","[0.0014682616262373042, 0.011863534155636882, 0.002951136598860568, 3.264441328864738e-05, 0.002686996820903101, 0.02928595580721814, 0.0013040186477132603, 0.00891104862903824, 0.0030441332982904974, 0.0010858210765220316, 0.001173301462031403, 0.036313282777374695, 1.4310397024617288e-05, 0.0003833683887998045, 0.056944738015938, 0.006810178707180772, 0.02138405631350644, 6.8851650057696e-05, 0.0015656415596431894, 0.01767384253541008]",-2.115363073609907,-2.5503717676515594,0.40700000000000003,,PHENOMENON3_NOT_REPRODUCED
LIN100,100,linear,1.0,COMPLETE,,,,,,"[0.6063354617953797, 0.5040830715010626, 0.6273053473970669, 0.4912799315381804, 0.6215789092874682, 0.4766019780814476, 0.7032329929072254, 0.3792647847967229, 0.3510645490457425, 0.6145727258026594, 0.6896022363326276, 0.6700541292181131, 0.5898335144817719, 0.46877422616333375, 0.5029510915687523, 0.33635170220392485, 0.5003104015202646, 0.47767260840739995, 0.5873610406819749, 0.5552640392278408]","[0.5560126489835766, 0.5603307497561514, 0.688393160054618, 0.3383024814786171, 0.5193098471315682, 0.6887599327897462, 0.5985375906609156, 0.5079686968972844, 0.5576637664150556, 0.6759156078894424, 0.4850567276476553, 0.4636875734381797, 0.5260736352399248, 0.5051580340601819, 0.5667797308908147, 0.5804268580024828, 0.5422708676823226, 0.3578773872284343, 0.5746062127444428, 0.4769746549463373]",-0.27649916955748566,-0.2603495274018941,0.0,,PHENOMENON3_NOT_REPRODUCED
