kind,contrast,status,registered,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,terminal_pearson,n_valid,seed_values
G1_CONTRAST,LR5_minus_LIN5,REPORT_ONLY,0,-0.1441830547877496,-0.15220626472318666,-0.08825224472731964,-0.15688436681120482,-0.13615164076483183,1,0.9196412774338367,20,"[-0.12457754323207376, -0.15029466331646113, -0.05980082023875216, -0.1981737685427694, -0.12930343564010477, -0.08421903579939, -0.14509895507587472, -0.1525445084719867, -0.09228545365524929, -0.14326715449962446, -0.0659961463407614, -0.05982800112718692, -0.2347640402721619, -0.2416848288401136, -0.0802987142805191, -0.1456204098778786, -0.1895161581161106, -0.08041068712258631, -0.19155356182068656, -0.1518680209743866]"
G1_CONTRAST,E5_minus_LIN5,REPORT_ONLY,0,-0.08424270034551154,-0.17816437463549295,-0.04426108187965799,-3.185281632196702,-0.029657018189606935,1,0.7712231892492291,20,"[-0.08910808782220253, -0.06582376478843144, -0.2403423704865575, -0.26616802888255003, -0.15016925537086073, -0.02159855631661814, -0.07937731286882055, -0.2585253202339071, -0.04923356068654092, -0.16307176277839674, -0.00404871545682528, -0.016408805349346745, -0.2112756077450464, -0.23199387958163326, 0.1990811962416428, -0.036439881654839135, -0.09731099084725503, -0.04912353259720725, -0.03939863116210873, -0.19325698649258913]"
G2_ARM_LEVEL,R5,REPORT_ONLY,0,-0.13363427393833938,-0.27502649562549375,0.0,-0.8001019080192675,3.6259097198776225,1,,20,"[0.0, 0.0, -0.06118282020284462, -0.22405410712513382, -0.4049267576528659, 0.0, -0.19404320240474002, -0.2211942995065303, 0.0, -0.3779704655469425, -0.35858325860510065, 0.0, 0.0, -0.3398497122327511, 0.0, 0.0, -0.3153348606546166, -0.23801672519867523, -0.07322534547193874, -0.3120362660523123]"
G2_ARM_LEVEL,LR5,REPORT_ONLY,0,-0.41825164250072266,-0.5083056436194311,-0.33688075698186837,-0.4237136302861143,-0.38312575606781335,1,,20,"[-0.4177103174303325, -0.6014925385313487, -0.34494523864347354, -0.6920501833397742, -0.5127034665946073, -0.24958486040254999, -0.37744133875229735, -0.3909282905250253, -0.27819472547255675, -0.4971230761385108, -0.4187929675711128, -0.20048042965990207, -0.5163972627454445, -0.5432496392306359, -0.27930714588992, -0.5384918435758087, -0.501307794754448, -0.3133210052923238, -0.5039078206442549, -0.3288162753202632]"
G2_ARM_LEVEL,E5,REPORT_ONLY,0,-0.3956717447530268,-0.5069183933521144,-0.3317362932654601,-0.6138960396534023,0.2707046725529024,1,,20,"[-0.38224086202046126, -0.517021640003319, -0.5254867888912789, -0.7600444436795548, -0.5335692863253633, -0.18696438091977813, -0.3117196965452432, -0.49690910228694574, -0.23514283250384838, -0.5169276844172831, -0.35684553668717667, -0.1570612338820619, -0.492908830218329, -0.5335586899721555, 7.276463224190164e-05, -0.42931131535276923, -0.4091026274855924, -0.28203385076694476, -0.35175288998567705, -0.37020524083846573]"
G2_ARM_LEVEL,LIN5,REPORT_ONLY,0,-0.2891385963014901,-0.3325755400269599,-0.23262635092308007,-0.36720789794000874,0.036493353383118154,1,,20,"[-0.2931327741982587, -0.4511978752148875, -0.2851444184047214, -0.4938764147970048, -0.38340003095450254, -0.16536582460316, -0.23234238367642263, -0.23838378205303862, -0.18590927181730746, -0.35385592163888635, -0.3527968212303514, -0.14065242853271515, -0.2816332224732826, -0.30156481039052224, -0.1990084316094009, -0.3928714336979301, -0.31179163663833737, -0.2329103181697375, -0.3123542588235683, -0.1769482543458766]"
G2_ARM_LEVEL,R100,REPORT_ONLY,0,-0.3105805303760426,-0.37387150965821225,-0.23321974595589995,-1.1158475821600544,-0.26578160990767585,1,,20,"[-0.521994707476915, -0.0003074167897398803, -0.1800408864687864, -0.6055003990798068, -0.3305260761376275, -0.01806321875772553, -0.37926348215727146, -0.3684795371591531, -0.2236399342650772, -0.2571895494437105, -0.31858694429144746, -0.35092209077589975, -0.7300912961879407, -0.22402178256371097, -0.19273074621578482, -0.482940893310984, -0.25824078328010797, -0.7610234170106431, -0.3025741164606377, -0.2424177093480889]"
G2_ARM_LEVEL,LR100,REPORT_ONLY,0,-2.239036834647921,-3.0809500261278773,-2.013258136274891,-30997633798763.918,73308356579974.0,1,,20,"[-2.0198544288476956, -2.1009039945455985, -3.32904994609519, -5.762073174244359, -3.604638090985284, -2.095145401433517, -2.7032973689621995, -1.7241891765497253, -2.7573958185875878, -2.0066618437020862, -3.491245091171232, -1.7819023162328222, -5.9557386150423035, -2.00362286025182, -1.8279973926001614, -2.1762320002422775, -1.5959745081157866, -3.148377550414125, -3.0135225018416296, -2.301841669053564]"
G2_ARM_LEVEL,E100,REPORT_ONLY,0,-2.5503717676515594,-2.9076532931136123,-1.9879285506793267,-17584508616935.893,15329383059862.79,1,,20,"[-2.8331965515674398, -1.9257859150484868, -2.5300106879048547, -4.486191132475131, -2.5707328473982636, -1.5333405973137852, -2.8847161980664735, -2.0500711863101664, -2.5165363343441336, -2.964241732648677, -2.9305903881607516, -1.4399344884141578, -4.844348317099163, -3.41638370036719, -1.244546400754734, -2.166841491534474, -1.6699099105640471, -4.162085647239081, -2.805307658936572, -1.7526690186594578]"
G2_ARM_LEVEL,LIN100,REPORT_ONLY,0,-0.2603495274018941,-0.2953678927329815,-0.243607685991987,-0.3116472604883933,-0.21893744295839135,1,,20,"[-0.2549153283436929, -0.2515555437237972, -0.16216345351776862, -0.4706948166119075, -0.2845734422530922, -0.1619321250190382, -0.22290856889342042, -0.29416304988861947, -0.25362757239423056, -0.17010752493985262, -0.3142074674520341, -0.33377454279201607, -0.27895346280411254, -0.29657273557734354, -0.24658568933437267, -0.23625249972775572, -0.26578372646009524, -0.44626574199045477, -0.24062968264960138, -0.32150469749948757]"
