arm,c,n,rate,cp95_lo,cp95_hi,early_better_count,eligible_min_count,status,excluded_seed_indices,crossing_seed_indices
R5,12,20,0.6,0.36054258730748956,0.8088099392746928,19,15,R5_CROSSING_DEFINED,[],"[1, 2, 3, 5, 6, 7, 8, 11, 12, 14, 15, 18]"
LR5,0,20,0.0,0.0,0.1684334709830853,20,15,LR5_CROSSING_DEFINED,[],[]
E5,1,20,0.05,0.001265089497949845,0.24873276277202777,20,15,E5_CROSSING_DEFINED,[],[14]
