kind,question,level,label,reason,n_valid_seeds,est,lo95,hi95,lo975,hi975
label,R_l2wt,95,NOT_LEVER+HARMFUL,"rho = 0.0195 [-0.0024, 0.0335]; kappa = 6967.55",10,,,,,
label,R_l2wt,97.5,NOT_LEVER+HARMFUL,"rho = 0.0195 [-0.0072, 0.0337]; kappa = 6967.55",10,,,,,
label,R_l2rest,95,PARTIAL,"rho = 0.2269 [0.1919, 0.2632]; kappa = 23.15",10,,,,,
label,R_l2rest,97.5,PARTIAL,"rho = 0.2269 [0.1870, 0.2686]; kappa = 23.15",10,,,,,
label,LR_l2wt,95,SUFFICIENT,"rho = 0.9806 [0.9752, 0.9853]; kappa = 56.28",10,,,,,
label,LR_l2wt,97.5,SUFFICIENT,"rho = 0.9806 [0.9743, 0.9858]; kappa = 56.28",10,,,,,
label,LR_l2rest,95,NOT_LEVER,"rho = -0.2437 [-0.2612, -0.2253]; kappa = 90.59",10,,,,,
label,LR_l2rest,97.5,NOT_LEVER,"rho = -0.2437 [-0.2639, -0.2232]; kappa = 90.59",10,,,,,
pattern,R,95,MIXED,,10,,,,,
pattern,R,97.5,MIXED,,10,,,,,
pattern,LR,95,WT_SUFFICES,,10,,,,,
pattern,LR,97.5,WT_SUFFICES,,10,,,,,
guard,R_l2wt|kappa,,,,10,6967.5451335037405,,,,
guard,R_l2wt|a1_minus_l2_pt,,,,10,-0.7754791660000038,,,,
guard,R_l2wt|dead1_t1_minus_l2,,,,10,0.26000000535,,,,
guard,R_l2wt|harmful,,,,10,True,,,,
guard,R_l2rest|kappa,,,,10,23.14850708749192,,,,
guard,R_l2rest|a1_minus_l2_pt,,,,10,1.9605208350000125,,,,
guard,R_l2rest|dead1_t1_minus_l2,,,,10,-0.07999999819999998,,,,
guard,R_l2rest|harmful,,,,10,False,,,,
guard,LR_l2wt|kappa,,,,10,56.284807913283714,,,,
guard,LR_l2wt|a1_minus_l2_pt,,,,10,-0.834812501000004,,,,
guard,LR_l2wt|dead1_t1_minus_l2,,,,10,0.0,,,,
guard,LR_l2wt|harmful,,,,10,False,,,,
guard,LR_l2rest|kappa,,,,10,90.59481104272982,,,,
guard,LR_l2rest|a1_minus_l2_pt,,,,10,2.019895831999996,,,,
guard,LR_l2rest|dead1_t1_minus_l2,,,,10,0.0,,,,
guard,LR_l2rest|harmful,,,,10,False,,,,
stat,rho|R_l2,,,,10,0.9887328738790241,0.9873600575861416,0.9899885841937182,0.987168006716594,0.9901368369837383
stat,rho|R_l2wt,,,,10,0.0195335349827247,-0.002385442283470012,0.03346862512495317,-0.007190673511063106,0.033656381960887015
stat,rho|R_l2rest,,,,10,0.22688206459875115,0.19187951839838635,0.263197838059913,0.1869994279223563,0.2686286537253433
stat,G|R_ref,,,,10,0.8445827916831501,0.8259410455956502,0.8569804859521125,0.8210392549688708,0.8573803468673312
stat,P|R_ref,,,,10,0.00025747917329999314,-0.0029827203019999952,0.004805500011299989,-0.003242115621587495,0.005452731526374986
stat,D|R_ref,,,,10,0.18382158333115,0.15451523333675005,0.2201920726519125,0.152381879949035,0.22537416158727958
stat,slope|R_ref,,,,10,3.272259811444341e-05,-0.001341729906635065,0.0010647302236662967,-0.001551511856608587,0.0011506569410778577
stat,Awin|R_ref,,,,10,0.12546012499685,0.11367045129711997,0.14308103984174997,0.11347088541319998,0.14806127825284998
