step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,e1_stability
2000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.4569,12.4597,0.17947,0.489223,0,0.0203774,3.5408,0.00575502,16.0438,0.178809,5.59256,5.59256,0,0.174148,nan,nan,nan,nan,nan,0.178809,1.30485,0.886341
2000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3595,7.04596,0.170486,0.515539,0,0.246672,13.8377,0.0178261,16.3878,0.163275,6.12465,6.12465,0,0.295836,0.191938,0.191938,0.139311,nan,0.191938,0.163275,1.41434,0.992195
2000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.3923,7.14699,0.17811,0.50401,0,0.0282913,5.66736,0.00499197,16.1207,0.160202,6.24212,6.24212,0,0.217202,0.242441,0.242441,0.190349,nan,0.242441,0.160202,1.39076,0.991191
2000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.0589,8.73982,0.172459,0.50401,0,0.275386,8.7805,0.0313634,16.476,0.163987,6.09803,6.09803,0,0.200102,0.23024,0.23024,0.225991,nan,-0.23024,0.163987,1.29428,0.706243
2000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.4698,6.81716,0.181411,0.493734,0,0.725701,13.4502,0.0539548,15.8814,0.167903,5.95581,5.95581,0,0.281377,0.348132,0.348132,0.347548,nan,0.348132,0.167903,1.24615,0.30645
3000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3733,12.813,0.173662,0.494486,0,0.0204097,4.8424,0.0042148,15.809,0.158343,6.31542,6.31542,0,0.245781,nan,nan,nan,nan,nan,0.158343,1.40652,0.993684
3000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.571,13.3615,0.165548,0.495489,0,0.0147895,6.09032,0.00242835,16.1584,0.158796,6.2974,6.2974,0,0.2467,nan,nan,nan,nan,nan,0.158796,1.45695,0.998437
3000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.3562,12.5278,0.189526,0.501754,0,0.0180084,3.91385,0.00460119,16.0023,0.169483,5.90031,5.90031,0,0.164272,nan,nan,nan,nan,nan,0.169483,1.34045,0.962777
3000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.4429,12.2643,0.185246,0.486717,0,0.00929953,2.79293,0.00332967,15.6882,0.18396,5.43596,5.43596,0,0.137546,nan,nan,nan,nan,nan,0.18396,1.28882,0.942967
3000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3491,6.96251,0.168441,0.515539,0,0.203137,12.2855,0.0165346,16.4506,0.164322,6.08562,6.08562,0,0.23739,0.187277,0.187277,0.165956,nan,0.187277,0.164322,1.41248,0.994914
3000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.3689,7.03052,0.177504,0.499749,0,0.0206673,6.20546,0.0033305,16.1117,0.156813,6.37702,6.37702,0,0.177143,0.160436,0.160436,0.136688,nan,0.160436,0.156813,1.3888,0.957856
3000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1949,9.55399,0.175813,0.496993,0,0.0829887,4.34335,0.0191071,16.5764,0.173175,5.77451,5.77451,0,0.133313,0.202175,0.202175,0.198908,nan,-0.202175,0.173175,1.26967,0.930018
3000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.2674,6.08333,0.186739,0.488471,0,0.170547,7.70773,0.0221267,15.8223,0.182159,5.48971,5.48971,0,0.18249,0.360348,0.360348,0.395401,nan,0.360348,0.182159,1.21974,0.979542
4000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3406,12.6873,0.175653,0.493985,0,0.0100631,4.00911,0.00251005,15.7264,0.159499,6.26964,6.26964,0,0.205106,nan,nan,nan,nan,nan,0.159499,1.40338,0.941024
4000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5655,13.3131,0.166934,0.497243,0,0.020767,6.05836,0.00342782,16.1058,0.158298,6.3172,6.3172,0,0.232748,nan,nan,nan,nan,nan,0.158298,1.45482,0.997764
4000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.4326,12.6778,0.187066,0.500251,0,0.0116982,3.14454,0.00372015,16.0467,0.166826,5.99428,5.99428,0,0.135908,nan,nan,nan,nan,nan,0.166826,1.32551,0.93888
4000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.4523,12.135,0.188027,0.483208,0,0.00883367,2.33902,0.00377666,15.7573,0.194818,5.13299,5.13299,0,0.128401,nan,nan,nan,nan,nan,0.194818,1.27372,0.978787
4000,B_w20_K10000_c0.0_k16_lr0.003_s0,0,0,0,16.3011,6.80479,0.170499,0.515789,0,0.0226796,8.42696,0.00269131,16.4777,0.165017,6.05999,6.05999,0,0.206633,0.168155,0.168155,0.140301,nan,0.168155,0.165017,1.40714,0.99807
4000,B_w20_K10000_c0.0_k16_lr0.003_s1,0,0,0,16.2781,6.65712,0.177304,0.501003,0,0.0492937,5.46023,0.00902778,16.1139,0.156818,6.37682,6.37682,0,0.157649,0.11311,0.11311,0.118561,nan,0.11311,0.156818,1.38559,0.990101
4000,B_w20_K10000_c0.0_k16_lr0.01_s0,0,0,0,17.1306,9.0841,0.179115,0.496491,0,0.0637104,4.18479,0.0152243,16.5534,0.181527,5.50883,5.50883,0,0.124959,0.218869,0.218869,0.22457,nan,-0.218869,0.181527,1.25059,0.953298
4000,B_w20_K10000_c0.0_k16_lr0.01_s1,0,0,0,16.1597,5.71907,0.184591,0.494486,0,0.284096,11.8321,0.0240107,16.0098,0.191389,5.22497,5.22497,0,0.188434,0.358518,0.358518,0.38439,nan,0.358518,0.191389,1.19838,0.99264
5000,B_w20_K10000_c0.0_lr0.003_s0,0,0,0,17.3203,12.5755,0.17715,0.49599,0,0.00921109,3.38158,0.00272391,15.7076,0.161982,6.17351,6.17351,0,0.198184,nan,nan,nan,nan,nan,0.161982,1.40004,0.660994
5000,B_w20_K10000_c0.0_lr0.003_s1,0,0,0,17.5502,13.2133,0.168792,0.493484,0,0.0159288,4.88311,0.00326203,16.0066,0.157614,6.34463,6.34463,0,0.212793,nan,nan,nan,nan,nan,0.157614,1.45124,0.996797
5000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.4819,12.6793,0.188557,0.500501,0,0.00694484,2.75428,0.00252148,15.8985,0.173711,5.75669,5.75669,0,0.114132,nan,nan,nan,nan,nan,0.173711,1.31327,0.912296
5000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.4754,12.1459,0.187934,0.485213,0,0.0128129,2.4325,0.00526736,15.8504,0.195781,5.10774,5.10774,0,0.132255,nan,nan,nan,nan,nan,0.195781,1.25927,0.997209
