/home/issan/Projects/claude/proj_004_drift/.venv/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
W0919 04:12:09.001000 781787 torch/_inductor/utils.py:1953] [0/0] Not enough SMs to use max_autotune_gemm mode
{"task": 1, "tasks": 40, "train_seconds": 47.16, "seconds": 49.18}
{"task": 2, "tasks": 40, "train_seconds": 31.18, "seconds": 32.58}
{"task": 3, "tasks": 40, "train_seconds": 31.21, "seconds": 32.61}
{"task": 4, "tasks": 40, "train_seconds": 31.21, "seconds": 32.61}
{"task": 5, "tasks": 40, "train_seconds": 31.22, "seconds": 32.6}
{"task": 6, "tasks": 40, "train_seconds": 31.21, "seconds": 32.6}
{"task": 7, "tasks": 40, "train_seconds": 31.22, "seconds": 32.61}
{"task": 8, "tasks": 40, "train_seconds": 31.21, "seconds": 32.61}
{"task": 9, "tasks": 40, "train_seconds": 31.24, "seconds": 32.82}
{"task": 10, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 11, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 12, "tasks": 40, "train_seconds": 31.23, "seconds": 32.62}
{"task": 13, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 14, "tasks": 40, "train_seconds": 31.22, "seconds": 32.61}
{"task": 15, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 16, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 17, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 18, "tasks": 40, "train_seconds": 31.24, "seconds": 32.79}
{"task": 19, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 20, "tasks": 40, "train_seconds": 31.21, "seconds": 32.62}
{"task": 21, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 22, "tasks": 40, "train_seconds": 31.23, "seconds": 32.62}
{"task": 23, "tasks": 40, "train_seconds": 31.22, "seconds": 32.63}
{"task": 24, "tasks": 40, "train_seconds": 31.22, "seconds": 32.63}
{"task": 25, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 26, "tasks": 40, "train_seconds": 31.23, "seconds": 32.65}
{"task": 27, "tasks": 40, "train_seconds": 31.23, "seconds": 32.64}
{"task": 28, "tasks": 40, "train_seconds": 31.22, "seconds": 32.77}
{"task": 29, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 30, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 31, "tasks": 40, "train_seconds": 31.22, "seconds": 32.62}
{"task": 32, "tasks": 40, "train_seconds": 31.23, "seconds": 32.64}
{"task": 33, "tasks": 40, "train_seconds": 31.23, "seconds": 32.63}
{"task": 34, "tasks": 40, "train_seconds": 31.23, "seconds": 32.64}
{"task": 35, "tasks": 40, "train_seconds": 31.24, "seconds": 32.66}
{"task": 36, "tasks": 40, "train_seconds": 31.24, "seconds": 32.65}
{"task": 37, "tasks": 40, "train_seconds": 31.22, "seconds": 32.65}
{"task": 38, "tasks": 40, "train_seconds": 31.22, "seconds": 32.8}
{"task": 39, "tasks": 40, "train_seconds": 31.24, "seconds": 32.65}
{"task": 40, "tasks": 40, "train_seconds": 31.22, "seconds": 32.63}
