pair,arm,eps,seed,task,exp_zero_units,U2_max,U2_median,tiny_mean,epsfrac_l2_mean,zbar2_mean,frozen_vs_prev_end
ELU1->ELU1,none,1e-08,0,10,0,49.48240280151367,10.122480392456055,0.8677749037742615,0.016534652560949326,-39.959228515625,False
ELU1->ELU1,none,1e-08,0,20,0,21.880956649780273,-32.99010467529297,0.9998416304588318,0.7641584277153015,-106.61210632324219,False
ELU1->ELU1,none,1e-08,0,30,0,68.5743408203125,-36.04840087890625,0.999633252620697,0.8139604330062866,-131.0446319580078,False
ELU1->ELU1,none,1e-08,0,40,0,82.88690948486328,-41.583580017089844,0.9998500347137451,0.8181188106536865,-153.05259704589844,False
ELU1->ELU1,none,1e-08,0,50,0,98.07276153564453,-40.14134979248047,0.9995916485786438,0.8878217935562134,-155.73974609375,False
LR->ELU1,none,1e-08,0,10,0,34.283546447753906,12.375518798828125,0.5217333436012268,0.0,-21.30331039428711,False
LR->ELU1,none,1e-08,0,20,0,39.422752380371094,-15.505451202392578,0.992775022983551,0.41722771525382996,-90.02684783935547,False
LR->ELU1,none,1e-08,0,30,0,62.37794876098633,-24.675315856933594,0.9949166774749756,0.5608910918235779,-118.02947235107422,False
LR->ELU1,none,1e-08,0,40,0,61.42723083496094,-41.02195739746094,0.9997500777244568,0.7760396003723145,-151.2857666015625,False
LR->ELU1,none,1e-08,0,50,0,56.7294807434082,-42.79119873046875,0.9999833703041077,0.9153465032577515,-167.77896118164062,False
ELU1->ELU1,none,1e-08,1,10,0,57.25845718383789,-3.0412120819091797,0.9551083445549011,0.028118811547756195,-52.129058837890625,False
ELU1->ELU1,none,1e-08,1,20,0,74.26446533203125,-22.889314651489258,0.9939250349998474,0.6613861322402954,-101.33747100830078,False
ELU1->ELU1,none,1e-08,1,30,0,78.11925506591797,-26.63227081298828,0.9976916313171387,0.7472277879714966,-123.25415802001953,False
ELU1->ELU1,none,1e-08,1,40,0,-8.80240249633789,-45.7447509765625,0.9999833703041077,0.9073267579078674,-150.6683349609375,False
ELU1->ELU1,none,1e-08,1,50,0,-14.363776206970215,-47.39617156982422,0.9999749660491943,0.9660395979881287,-159.55955505371094,False
LR->ELU1,none,1e-08,1,10,0,46.204097747802734,9.864797592163086,0.6285499334335327,0.0,-25.343202590942383,False
LR->ELU1,none,1e-08,1,20,0,39.871917724609375,-16.07184600830078,0.982333242893219,0.4315841794013977,-86.05016326904297,False
LR->ELU1,none,1e-08,1,30,0,57.604278564453125,-26.056182861328125,0.9973915815353394,0.636336624622345,-116.845947265625,False
LR->ELU1,none,1e-08,1,40,0,38.76340103149414,-37.807289123535156,0.9995667338371277,0.8281188011169434,-148.99449157714844,False
LR->ELU1,none,1e-08,1,50,0,91.36128997802734,-42.3979606628418,0.9997749328613281,0.8764356374740601,-158.33135986328125,False
ELU1->ELU1,none,1e-08,2,10,0,40.250144958496094,15.264569282531738,0.8564167022705078,0.0,-37.655670166015625,False
ELU1->ELU1,none,1e-08,2,20,0,62.23707962036133,-23.114871978759766,0.9983499646186829,0.5257425308227539,-102.23046112060547,False
ELU1->ELU1,none,1e-08,2,30,0,49.6367073059082,-32.560516357421875,0.9998083710670471,0.8281188011169434,-124.90984344482422,False
ELU1->ELU1,none,1e-08,2,40,0,47.201942443847656,-32.579063415527344,0.9988666772842407,0.8051484823226929,-133.8529815673828,False
ELU1->ELU1,none,1e-08,2,50,0,19.954044342041016,-41.66267395019531,0.9998832941055298,0.908613920211792,-147.09811401367188,False
LR->ELU1,none,1e-08,2,10,0,31.086158752441406,11.518444061279297,0.26725834608078003,0.0,-13.196488380432129,False
LR->ELU1,none,1e-08,2,20,0,57.8096809387207,-8.246715545654297,0.9696417450904846,0.25584161281585693,-70.67510986328125,False
LR->ELU1,none,1e-08,2,30,0,52.717918395996094,-17.97796630859375,0.992983341217041,0.5156435370445251,-100.763671875,False
LR->ELU1,none,1e-08,2,40,0,67.14938354492188,-23.461124420166016,0.9971832036972046,0.6501980423927307,-127.2569808959961,False
LR->ELU1,none,1e-08,2,50,0,91.26697540283203,-31.254566192626953,0.9976166486740112,0.678514838218689,-140.85789489746094,False
ELU1->ELU1,eps1e-6,1e-06,0,10,0,48.47166061401367,14.119698524475098,0.8607749938964844,0.08871287107467651,-40.86863708496094,False
ELU1->ELU1,eps1e-6,1e-06,0,20,0,62.264102935791016,-19.76932144165039,0.9892499446868896,0.7298019528388977,-99.22245788574219,False
ELU1->ELU1,eps1e-6,1e-06,0,30,0,78.99586486816406,-24.53485107421875,0.9987332820892334,0.8270297050476074,-123.82705688476562,False
ELU1->ELU1,eps1e-6,1e-06,0,40,0,89.61161041259766,-41.00299072265625,0.9997499585151672,0.9217822551727295,-152.0389404296875,False
ELU1->ELU1,eps1e-6,1e-06,0,50,0,-17.392147064208984,-47.0482177734375,0.9999749660491943,1.0,-158.0539093017578,False
ELU1->ELU1,eps1e-30,1e-30,0,10,0,38.05717849731445,4.446279048919678,0.9064832925796509,0.0,-46.353660583496094,False
ELU1->ELU1,eps1e-30,1e-30,0,20,0,65.13409423828125,-11.028541564941406,0.9849166870117188,0.0,-92.10179901123047,False
ELU1->ELU1,eps1e-30,1e-30,0,30,0,101.72236633300781,-22.251750946044922,0.9925916790962219,0.0,-123.67809295654297,False
ELU1->ELU1,eps1e-30,1e-30,0,40,0,69.42813110351562,-27.37191390991211,0.9975500702857971,0.0,-146.3665771484375,False
ELU1->ELU1,eps1e-30,1e-30,0,50,1,102.88726806640625,-28.414100646972656,0.9993833899497986,0.0,-162.88168334960938,False
LR->ELU1,eps1e-6,1e-06,0,10,0,33.381526947021484,12.099102973937988,0.5738499164581299,0.0002970297064166516,-23.549592971801758,False
LR->ELU1,eps1e-6,1e-06,0,20,0,56.30683898925781,-14.630844116210938,0.9895667433738708,0.6331683397293091,-88.26882934570312,False
LR->ELU1,eps1e-6,1e-06,0,30,0,50.5981559753418,-34.26409149169922,0.9996416568756104,0.9262375831604004,-130.67544555664062,False
LR->ELU1,eps1e-6,1e-06,0,40,0,-9.158965110778809,-44.70451354980469,0.9999749660491943,0.979108989238739,-148.56492614746094,False
LR->ELU1,eps1e-6,1e-06,0,50,0,-19.389209747314453,-45.22419357299805,1.0,1.0,-152.19522094726562,False
LR->ELU1,eps1e-30,1e-30,0,10,0,36.20797348022461,12.686216354370117,0.4132083058357239,0.0,-17.492294311523438,False
LR->ELU1,eps1e-30,1e-30,0,20,0,45.07447814941406,-6.222026824951172,0.9753166437149048,0.0,-74.09736633300781,False
LR->ELU1,eps1e-30,1e-30,0,30,0,58.11945343017578,-6.476441383361816,0.9843083024024963,0.0,-85.16703033447266,False
LR->ELU1,eps1e-30,1e-30,0,40,0,59.30486297607422,-9.278000831604004,0.9909417033195496,0.0,-100.94590759277344,False
LR->ELU1,eps1e-30,1e-30,0,50,0,47.072776794433594,-11.843019485473633,0.9914000034332275,0.0,-109.06582641601562,False
ELU1->ELU1,eps1e-6,1e-06,1,10,0,51.59199905395508,-3.4185338020324707,0.9434083700180054,0.12772278487682343,-46.80472183227539,False
ELU1->ELU1,eps1e-6,1e-06,1,20,0,63.94106674194336,-19.722509384155273,0.997658371925354,0.8006930351257324,-94.41270446777344,False
ELU1->ELU1,eps1e-6,1e-06,1,30,0,78.69500732421875,-27.13960838317871,0.9985416531562805,0.8311881422996521,-112.01214599609375,False
ELU1->ELU1,eps1e-6,1e-06,1,40,0,-17.20087242126465,-36.739227294921875,0.9999666810035706,0.9904950857162476,-124.31605529785156,False
ELU1->ELU1,eps1e-6,1e-06,1,50,0,52.52212142944336,-35.17137908935547,0.9996249675750732,0.9684158563613892,-119.11993408203125,False
ELU1->ELU1,eps1e-30,1e-30,1,10,0,47.07895278930664,11.146896362304688,0.9019500017166138,0.0,-41.72970199584961,False
ELU1->ELU1,eps1e-30,1e-30,1,20,0,54.81344223022461,-11.230712890625,0.9836666584014893,0.0,-83.04740142822266,False
ELU1->ELU1,eps1e-30,1e-30,1,30,0,65.8168716430664,-13.134103775024414,0.9926667213439941,0.0,-98.40736389160156,False
ELU1->ELU1,eps1e-30,1e-30,1,40,0,70.99901580810547,-20.384441375732422,0.9986000061035156,0.0,-121.12260437011719,False
ELU1->ELU1,eps1e-30,1e-30,1,50,1,44.153568267822266,-29.808971405029297,0.9982250332832336,0.0,-133.9640655517578,False
LR->ELU1,eps1e-6,1e-06,1,10,0,37.193180084228516,13.228561401367188,0.47374168038368225,0.0015841585118323565,-19.562135696411133,False
LR->ELU1,eps1e-6,1e-06,1,20,0,43.24468994140625,-11.556882858276367,0.9810916185379028,0.5800989270210266,-84.88664245605469,False
LR->ELU1,eps1e-6,1e-06,1,30,0,92.19867706298828,-27.581371307373047,0.9992334246635437,0.8369306921958923,-121.54222869873047,False
LR->ELU1,eps1e-6,1e-06,1,40,0,57.05637741088867,-27.503398895263672,0.9979416728019714,0.8297030925750732,-136.77960205078125,False
