t,group,n_states,n,M,Z,E,Q,Z_moved30,still_had_grad,still_m_only,epsdom0,M_epsdom0,still,share_M,share_Z_of_still,sE,label,rms_ep1_zero,rms_ep1_below_eps,rms_ep1_at_or_above_eps,rms_task_zero,rms_task_below_eps,rms_task_at_or_above_eps,nz_task_zero_share,eps30_big_states,eps30_nonfinite_states
2,layer1,10,785000,619895,165100,0,5,0,5,0,165188,88,165105,0.7896751592356688,0.9999697162411798,0.0,ZERO_NOT_EPS,0.2103184713375796,0.0012471337579617835,0.7884343949044585,0.2103184713375796,0.0007503184713375796,0.7889312101910828,0.2103184713375796,0,0
2,layer2,10,101000,101000,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
2,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
5,layer1,10,785000,619258,165161,176,405,0,453,128,169237,3808,165742,0.7888636942675159,0.9964945517732379,0.0010618913733392863,ZERO_NOT_EPS,0.2106140127388535,0.014936305732484077,0.7744496815286624,0.21039490445859874,0.007089171974522293,0.7825159235668789,0.21039490445859874,0,0
5,layer2,10,101000,101000,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,9.900990099009901e-06,0.999990099009901,0.0,0,0
5,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
7,layer1,10,785000,617736,165487,666,1111,0,853,924,172639,6206,167264,0.7869248407643312,0.9893760761431031,0.003981729481538167,ZERO_NOT_EPS,0.2179872611464968,0.030480254777070063,0.7515324840764331,0.21092611464968153,0.014439490445859873,0.7746343949044586,0.21092611464968153,0,0
7,layer2,10,101000,100830,0,2,168,0,67,103,42,42,170,0.9983168316831683,0.0,0.011764705882352941,ZERO_NOT_EPS,0.004,0.018287128712871286,0.9777128712871287,0.0,0.023534653465346535,0.9764653465346534,0.0,0,0
7,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
10,layer1,10,785000,602296,170091,2562,10051,0,3189,9424,183566,9995,182704,0.767256050955414,0.9309648393029162,0.014022681495752693,ZERO_NOT_EPS,0.24831210191082803,0.05130191082802548,0.7003859872611465,0.21906751592356688,0.048765605095541405,0.7321668789808917,0.21906751592356688,0,0
10,layer2,10,101000,89449,4242,677,6632,0,1065,6244,5049,1436,11551,0.8856336633663366,0.36724093152108045,0.0586096441866505,ZERO_NOT_EPS,0.148,0.12945544554455446,0.7225445544554455,0.09,0.19724752475247526,0.7127524752475247,0.09,0,0
10,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
15,layer1,10,785000,534746,205583,9321,35350,0,13295,31376,241753,22958,250254,0.6812050955414013,0.8214973586835775,0.03724615790356997,ZERO_NOT_EPS,0.3308,0.09509808917197453,0.5741019108280255,0.2704611464968153,0.09593757961783439,0.6336012738853504,0.2704611464968153,0,0
15,layer2,10,101000,46844,46662,577,6917,0,1370,6124,45662,4645,54156,0.4638019801980198,0.8616219809439397,0.01065440579067878,ZERO_NOT_EPS,0.566,0.1108019801980198,0.3231980198019802,0.458,0.1892871287128713,0.3527128712871287,0.458,0,0
15,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0
20,layer1,10,785000,441226,276081,8936,58757,5,27267,40426,301423,25183,343774,0.5620713375796178,0.8030886570828509,0.02599382152227917,ZERO_NOT_EPS,0.4232369426751592,0.1390764331210191,0.43768662420382165,0.2978050955414013,0.14310445859872611,0.5590904458598727,0.2978050955414013,1,0
20,layer2,10,101000,22472,73124,672,4732,0,971,4433,69392,2432,78528,0.2224950495049505,0.931183781581092,0.008557457212713936,ZERO_NOT_EPS,0.782,0.06550495049504951,0.1524950495049505,0.692,0.1260891089108911,0.1819108910891089,0.692,1,0
20,readout,10,10100,10100,0,0,0,0,0,0,0,0,0,1.0,,,NOT_TESTABLE,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0
