arm,seed,T_freeze,T_gate_median_below_eps,T_dead_R,T_dead_T,frozen_while_ub_ge_lnR,class,l2_ratio_quanta_frozen_median,lb_max_at_freeze_minus1,n_lb_gt_m70_min_frozen
ELU1,0,24,11,23,23,[],ZERO_R,4.0,,
ELU1,1,18,11,17,17,[],ZERO_R,4.0,,
ELU1,2,30,10,,29,"[30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",ZERO_T,4.0,,
SMINH,0,,15,,,,TRAVEL,,,
SMINH,1,,18,,,,TRAVEL,,,
SMINH,2,,12,,,,TRAVEL,,,
