part,target,label,detail,main
B,"L3 ELU1 (description, seen before registration)",s0 ZERO_R / s1 ZERO_R / s2 ZERO_T,,
B,L3 SMINH,TRAVEL,s0 TRAVEL / s1 TRAVEL / s2 TRAVEL,
C2,"L1 layer 2, t2",NOT_TESTABLE,,False
C2,"L1 layer 2, t5",NOT_TESTABLE,,False
C2,"L1 layer 2, t7",ZERO_NOT_EPS,,False
C2,"L1 layer 2, t10",ZERO_NOT_EPS,,False
C2,"L1 layer 2, t15",ZERO_NOT_EPS,,True
C2,"L1 layer 2, t20",ZERO_NOT_EPS,,True
C1,L1 ref,ZERO_NOT_EPS,"FREEZE_AT_DEATH only 10/10, FROZEN_WHILE_LIVE 0/10, NO_FULL_DEATH 0/10",
C1,L1 cap_perp,ZERO_NOT_EPS,"FREEZE_AT_DEATH only 9/10, FROZEN_WHILE_LIVE 0/10, NO_FULL_DEATH 1/10",
C1,L1 cap_par,ZERO_NOT_EPS,"FREEZE_AT_DEATH only 8/10, FROZEN_WHILE_LIVE 0/10, NO_FULL_DEATH 2/10",
C1,L1 cap_both,ZERO_NOT_EPS,"FREEZE_AT_DEATH only 8/10, FROZEN_WHILE_LIVE 0/10, NO_FULL_DEATH 2/10",
C3,L1 ref layer 1,HISTORY_DECAY,HISTORY_DECAY 10,
C3,L1 cap_perp layer 1,PARTIAL,"HISTORY_DECAY 9, NOT_REACHED 1",
C3,L1 cap_par layer 1,PARTIAL,"HISTORY_DECAY 8, NOT_REACHED 2",
C3,L1 cap_both layer 1,PARTIAL,"HISTORY_DECAY 8, NOT_REACHED 2",
D1,L2 eps arms (l2_wall variant),L2_NO_FLOOR,,
