seed,t,nat_online,eps30_online,diff,nat_end_dead2,nat_end_pairzero2,eps30_end_dead2,eps30_end_pairzero2,eps30_big_update_at,eps30_finite
0,10,0.12727083333333333,0.12742708333333333,0.00015624999999999667,21,0.9815333333333334,20,0.9815833333333334,,True
0,15,0.10982291666666667,0.10973958333333333,-8.333333333333803e-05,52,0.9958166666666667,58,0.9938083333333333,,True
0,20,0.0994375,0.09930208333333333,-0.00013541666666666563,87,0.9997333333333334,89,0.9997333333333334,,True
1,10,0.157125,0.15633333333333332,-0.0007916666666666627,2,0.9507916666666667,2,0.9449833333333333,,True
1,15,0.11444791666666666,0.11448958333333334,4.1666666666675956e-05,43,0.9911416666666667,40,0.9901666666666666,3873,True
1,20,0.10128125,0.10135416666666666,7.291666666665864e-05,75,0.9991166666666667,74,0.9991416666666667,,True
2,10,0.13144791666666666,0.13365625,0.00220833333333334,4,0.9701166666666666,3,0.9668333333333333,,True
2,15,0.12036458333333333,0.12460416666666667,0.004239583333333338,35,0.9851,22,0.9796833333333334,1780,True
2,20,0.10744791666666667,0.11626041666666667,0.008812500000000001,52,0.995225,8,0.988925,1492,True
3,10,0.1241875,0.12369791666666667,-0.0004895833333333349,14,0.9718583333333334,15,0.9754166666666667,,True
3,15,0.10176041666666667,0.10254166666666667,0.0007812499999999972,54,0.9968916666666666,56,0.9967833333333334,,True
3,20,0.10154166666666667,0.103625,0.002083333333333326,76,0.9975083333333333,23,0.98955,4023,True
4,10,0.11771875,0.11814583333333334,0.0004270833333333418,13,0.9862916666666667,13,0.9845583333333333,,True
4,15,0.1125625,0.115,0.002437500000000009,44,0.9915166666666667,16,0.988175,5379,True
4,20,0.11070833333333334,0.12005208333333334,0.009343749999999998,67,0.9966416666666666,2,0.9848083333333333,4924,True
5,10,0.11436458333333334,0.11251041666666667,-0.0018541666666666706,28,0.9929083333333333,28,0.9921333333333333,,True
5,15,0.09983333333333333,0.09980208333333333,-3.124999999999656e-05,83,0.999675,85,0.9996583333333333,,True
5,20,0.106625,0.10560416666666667,-0.001020833333333332,88,0.9993916666666667,0,0.9835333333333334,0,True
6,10,0.19277083333333334,0.19220833333333334,-0.0005624999999999936,1,0.9170916666666666,2,0.922475,,True
6,15,0.1061875,0.10641666666666667,0.00022916666666666918,52,0.997625,54,0.9977333333333334,,True
6,20,0.11076041666666667,0.1145,0.003739583333333338,80,0.9991166666666667,2,0.9766583333333333,1965,True
7,10,0.14176041666666667,0.1436875,0.0019270833333333293,16,0.96165,12,0.955325,,True
7,15,0.11427083333333334,0.11542708333333333,0.0011562499999999976,53,0.9922,60,0.994725,,True
7,20,0.10421875,0.10329166666666667,-0.0009270833333333284,71,0.9984583333333333,35,0.9978416666666666,3551,True
8,10,0.12594791666666666,0.12710416666666666,0.0011562499999999976,22,0.9797083333333333,23,0.9820333333333333,,True
8,15,0.12415625,0.12036458333333333,-0.0037916666666666654,53,0.9886583333333333,8,0.9893,3121,True
8,20,0.1040625,0.10498958333333333,0.0009270833333333284,82,0.9995583333333333,80,0.999275,2090,True
9,10,0.13465625,0.13169791666666666,-0.0029583333333333406,8,0.9690333333333333,16,0.9803583333333333,,True
9,15,0.10172916666666666,0.101875,0.00014583333333333115,67,0.9993916666666667,66,0.9992583333333334,,True
9,20,0.10861458333333333,0.10851041666666666,-0.00010416666666666907,89,0.9997416666666666,1,0.9897333333333334,5720,True
