arm,seed,T,T_dead,T_freeze,C1,frozen_while_live_tasks,C3,n_dead2_end,U2_max_end,zbar2_mean_end,epsfrac_l1_end,mhat_l1_zero_units_end,first_task_all_dead,n_tasks_frozen
ref,0,100,34,35,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-17.18049430847168,-140.06756802169485,1.0,100,34,66
ref,1,100,34,35,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.647432327270508,-149.47893564518293,1.0,100,34,66
ref,2,100,62,63,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.639629364013672,-168.52117046556472,1.0,100,62,38
ref,3,100,33,34,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.64339828491211,-143.50644979817073,1.0,100,33,67
ref,4,100,50,52,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.638652801513672,-174.78091823225023,1.0,100,50,49
ref,5,100,44,45,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.682510375976562,-170.442916634051,1.0,100,44,56
ref,6,100,31,32,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.639728546142578,-126.72902987333936,1.0,100,31,69
ref,7,100,48,49,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.784244537353516,-159.62702549260456,1.0,100,48,52
ref,8,100,32,33,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.663320541381836,-132.28982966977756,1.0,100,32,68
ref,9,100,50,51,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-18.62687110900879,-163.601797486194,1.0,100,50,50
cap_perp,0,100,64,65,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.64605140686035,-130.78821607381502,1.0,100,64,36
cap_perp,1,100,86,87,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.722686767578125,-146.5319172698657,1.0,100,86,14
cap_perp,2,100,51,52,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.653141021728516,-111.06390747237205,1.0,100,51,49
cap_perp,3,100,77,78,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.666215896606445,-154.76520631950697,1.0,100,77,23
cap_perp,4,100,98,99,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.654891967773438,-155.13697218745548,0.9866836734693878,100,98,2
cap_perp,5,100,77,78,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.641963958740234,-141.58134038165412,1.0,100,77,23
cap_perp,6,100,,,NO_FULL_DEATH,[],NOT_REACHED,99,-16.332975387573242,-152.94523807710013,0.9625765306122449,0,,0
cap_perp,7,100,57,58,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.65630340576172,-124.15155628924369,1.0,100,57,43
cap_perp,8,100,60,61,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.648910522460938,-119.56488438296319,1.0,100,60,40
cap_perp,9,100,70,71,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-16.64393424987793,-126.70785183869997,1.0,100,70,30
cap_par,0,100,71,72,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-19.91465187072754,-145.61203748706185,1.0,100,71,29
cap_par,1,100,,,NO_FULL_DEATH,[],NOT_REACHED,96,93.76887512207031,-152.8764168779135,0.5425127551020408,0,,0
cap_par,2,100,56,57,FREEZE_AT_DEATH,[],HISTORY_DECAY,100,-18.80562973022461,-145.8668310119311,1.0,100,56,44
