t,dead1_mean,pairzero1_mean,dead2_mean,pairzero2_mean,U2_margin_units_mean,U2_max_max,nat_online_mean,nat_end_dead2_mean
2,0.0,3.3333333333333333e-06,0.0,0.0,0.0,13.601923942565918,0.7788239583333334,0.0
5,0.0,0.0031600000000000005,0.0,0.14020916666666666,0.0,35.26151657104492,0.55516875,0.0
7,0.0,0.016005833333333334,0.0,0.6450275,0.0,49.14240646362305,0.2693416666666667,0.2
10,0.0,0.053915000000000005,4.7,0.9391808333333334,0.0,75.2938003540039,0.136725,12.9
15,0.0,0.1223125,49.0,0.9924424999999999,0.0,101.28410339355469,0.11051354166666667,53.6
20,0.0,0.16502916666666667,75.2,0.9977833333333332,0.0,79.45860290527344,0.10546979166666666,76.7
