arm,seed,task,n_dead2,n_margin2,U2_max,zbar2_mean,frozen,mhat_l1_max,mhat_l1_zero_units,epsfrac_l1_mean
ref,0,1,0,0,8.153995513916016,0.32933117834505005,,0.0029460853744372813,0,0.2142857142857143
ref,0,2,0,0,12.389135360717773,0.11766720664572498,False,0.00029671748390648335,0,0.2143622448979592
ref,0,3,0,0,17.20321273803711,-1.3299752726482188,False,0.0003461276345621335,0,0.2145918367346939
ref,0,4,0,0,35.66613006591797,-4.596810393907848,False,0.00012462066588254174,0,0.2159948979591837
ref,0,5,0,0,31.88020133972168,-8.904159347836922,False,0.0006100638528961223,0,0.21862244897959188
ref,0,6,0,0,37.36684799194336,-17.7531302856711,False,0.0014012339318644357,0,0.21919642857142863
ref,0,7,0,0,40.106292724609375,-30.28764188838142,False,0.0020476283411317102,0,0.22065051020408166
ref,0,8,0,0,51.81802749633789,-38.39222445272612,False,0.0011725307019671766,0,0.22292091836734695
ref,0,9,3,0,44.85523986816406,-50.491482167945286,False,0.0008741874548754694,0,0.2281887755102041
ref,0,10,14,0,44.99814987182617,-59.46698684575331,False,0.0005408942166433987,0,0.23770408163265305
ref,0,11,21,0,56.709537506103516,-67.14871804227916,False,0.00046281777664182363,0,0.25229591836734694
ref,0,12,36,0,54.773681640625,-74.52767731029653,False,0.0002076506468918304,0,0.272359693877551
ref,0,13,63,0,46.85323715209961,-84.61431716589861,False,8.299462804946851e-05,0,0.31044642857142857
ref,0,14,55,0,75.43614959716797,-86.04951339207389,False,0.00024058456199493525,0,0.2890178571428572
ref,0,15,51,0,76.2198257446289,-90.34461535810232,False,0.00037523428668380615,0,0.2995153061224489
ref,0,16,52,0,91.86510467529297,-93.8056840229956,False,0.00019805441180034558,0,0.3143367346938776
ref,0,17,59,0,50.78254318237305,-97.81512334504586,False,8.51914829125749e-05,0,0.3356122448979592
ref,0,18,75,0,59.5849494934082,-108.67529574665525,False,7.383838100234259e-07,0,0.3838392857142856
ref,0,19,82,0,81.01478576660156,-113.04477162138272,False,0.00018629362558411476,0,0.41522959183673464
ref,0,20,73,0,79.45860290527344,-106.37622167628459,False,7.468604332890433e-05,0,0.3129464285714285
ref,0,21,87,0,55.17442321777344,-117.1117006117662,False,5.25184991026524e-06,0,0.3445025510204082
ref,0,22,87,0,83.39008331298828,-117.92657876538834,False,2.570189160494978e-05,0,0.3915943877551021
ref,0,23,79,0,111.92496490478516,-116.23964575408323,False,0.00019116717604790906,0,0.43553571428571414
ref,0,24,85,0,68.39125061035156,-122.66440147764062,False,4.674963784005125e-06,0,0.4435204081632654
ref,0,25,82,0,60.076751708984375,-123.36195383672268,False,8.075234662036377e-05,0,0.4100892857142857
ref,0,26,84,0,64.64664459228516,-123.39279509816623,False,0.0004001998179129941,0,0.35437500000000016
ref,0,27,80,0,75.40087890625,-119.81896111525106,False,0.0002459095236922716,0,0.28566326530612235
ref,0,28,78,0,71.01494598388672,-123.9689257751599,False,7.105618477813963e-06,0,0.30876275510204076
ref,0,29,92,0,33.319061279296875,-134.64462493471305,False,1.480157529028876e-08,0,0.33982142857142855
ref,0,30,94,0,49.973182678222656,-134.5920884558772,False,4.291426510495632e-05,0,0.39423469387755106
ref,0,31,95,0,34.10824203491211,-138.02287424784504,False,3.691045073636778e-08,0,0.4898596938775511
ref,0,32,98,0,39.45705032348633,-138.6036515020132,False,6.007281266679625e-07,0,0.6329081632653062
ref,0,33,96,0,41.560420989990234,-138.99354941811166,False,2.87163958524137e-06,0,0.6656632653061224
ref,0,34,100,0,-17.18049430847168,-140.06756802169485,False,0.0,100,0.784438775510204
ref,0,35,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,0.870548469387755
ref,0,36,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,0.9655484693877551
ref,0,37,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,0.9929846938775512
ref,0,38,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,39,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,40,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,41,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,42,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,43,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,44,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,45,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,46,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,47,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,48,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,49,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,50,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,51,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,52,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,53,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
ref,0,54,100,0,-17.18049430847168,-140.06756802169485,True,0.0,100,1.0
