lineage,run,seed,task,zbar2_mean
L2,l2_wall_0916 none EE,0,10,-39.959228515625
L2,l2_wall_0916 none EE,0,20,-106.61210632324219
L2,l2_wall_0916 none EE,0,30,-131.0446319580078
L2,l2_wall_0916 none EE,0,40,-153.05259704589844
L2,l2_wall_0916 none EE,0,50,-155.73974609375
L2,l2_wall_0916 none EE,0,slope41_50,-0.26871490478515625
L2,l2_wall_0916 none EE,1,10,-52.129058837890625
L2,l2_wall_0916 none EE,1,20,-101.33747100830078
L2,l2_wall_0916 none EE,1,30,-123.25415802001953
L2,l2_wall_0916 none EE,1,40,-150.6683349609375
L2,l2_wall_0916 none EE,1,50,-159.55955505371094
L2,l2_wall_0916 none EE,1,slope41_50,-0.8891220092773438
L2,l2_wall_0916 none EE,2,10,-37.655670166015625
L2,l2_wall_0916 none EE,2,20,-102.23046112060547
L2,l2_wall_0916 none EE,2,30,-124.90984344482422
L2,l2_wall_0916 none EE,2,40,-133.8529815673828
L2,l2_wall_0916 none EE,2,50,-147.09811401367188
L2,l2_wall_0916 none EE,2,slope41_50,-1.3245131969451904
L1,mucap_ee_0917 ref,0,10,-59.46698684575331
L1,mucap_ee_0917 ref,0,20,-106.37622167628459
L1,mucap_ee_0917 ref,0,30,-134.5920884558772
L1,mucap_ee_0917 ref,0,40,-140.06756802169485
L1,mucap_ee_0917 ref,0,50,-140.06756802169485
L1,mucap_ee_0917 ref,0,100,-140.06756802169485
L1,mucap_ee_0917 ref,1,10,-44.89436033328954
L1,mucap_ee_0917 ref,1,20,-104.5812289644619
L1,mucap_ee_0917 ref,1,30,-137.1161038258632
L1,mucap_ee_0917 ref,1,40,-149.47893564518293
L1,mucap_ee_0917 ref,1,50,-149.47893564518293
L1,mucap_ee_0917 ref,1,100,-149.47893564518293
L1,mucap_ee_0917 ref,2,10,-52.21366285426393
L1,mucap_ee_0917 ref,2,20,-94.7807002511782
L1,mucap_ee_0917 ref,2,30,-119.10772592698797
L1,mucap_ee_0917 ref,2,40,-147.21734791988135
L1,mucap_ee_0917 ref,2,50,-156.29257718638976
L1,mucap_ee_0917 ref,2,100,-168.52117046556472
L1,mucap_ee_0917 ref,3,10,-50.05213200751351
L1,mucap_ee_0917 ref,3,20,-112.37035582863638
L1,mucap_ee_0917 ref,3,30,-140.56325325873692
L1,mucap_ee_0917 ref,3,40,-143.50644979817073
L1,mucap_ee_0917 ref,3,50,-143.50644979817073
L1,mucap_ee_0917 ref,3,100,-143.50644979817073
L1,mucap_ee_0917 ref,4,10,-50.024369060530134
L1,mucap_ee_0917 ref,4,20,-106.1170332360706
L1,mucap_ee_0917 ref,4,30,-131.46706995595693
L1,mucap_ee_0917 ref,4,40,-155.14157242091497
L1,mucap_ee_0917 ref,4,50,-174.78087969962755
L1,mucap_ee_0917 ref,4,100,-174.78091823225023
L1,mucap_ee_0917 ref,5,10,-69.51608535073296
L1,mucap_ee_0917 ref,5,20,-128.29591311836836
L1,mucap_ee_0917 ref,5,30,-154.81696319081783
L1,mucap_ee_0917 ref,5,40,-170.23976679503917
L1,mucap_ee_0917 ref,5,50,-170.442916634051
L1,mucap_ee_0917 ref,5,100,-170.442916634051
L1,mucap_ee_0917 ref,6,10,-35.10974986285903
L1,mucap_ee_0917 ref,6,20,-97.89672378978133
L1,mucap_ee_0917 ref,6,30,-126.72062131239574
L1,mucap_ee_0917 ref,6,40,-126.72902987333936
L1,mucap_ee_0917 ref,6,50,-126.72902987333936
L1,mucap_ee_0917 ref,6,100,-126.72902987333936
L1,mucap_ee_0917 ref,7,10,-47.51498375792702
L1,mucap_ee_0917 ref,7,20,-107.97934436672529
L1,mucap_ee_0917 ref,7,30,-130.21897155373145
L1,mucap_ee_0917 ref,7,40,-151.87224364996754
L1,mucap_ee_0917 ref,7,50,-159.62702549260456
L1,mucap_ee_0917 ref,7,100,-159.62702549260456
L1,mucap_ee_0917 ref,8,10,-52.27823461443863
L1,mucap_ee_0917 ref,8,20,-109.78918399345353
L1,mucap_ee_0917 ref,8,30,-132.07078313918115
L1,mucap_ee_0917 ref,8,40,-132.28982966977756
L1,mucap_ee_0917 ref,8,50,-132.28982966977756
L1,mucap_ee_0917 ref,8,100,-132.28982966977756
L1,mucap_ee_0917 ref,9,10,-47.6335737970509
L1,mucap_ee_0917 ref,9,20,-111.25012501528884
L1,mucap_ee_0917 ref,9,30,-133.70617815838654
L1,mucap_ee_0917 ref,9,40,-144.09814516110717
L1,mucap_ee_0917 ref,9,50,-163.601797486194
L1,mucap_ee_0917 ref,9,100,-163.601797486194
L1,mucap_ee_0917 ref,0,slope41_50,0.0
L1,mucap_ee_0917 ref,1,slope41_50,0.0
L1,mucap_ee_0917 ref,2,slope41_50,-0.9075229266508416
L1,mucap_ee_0917 ref,3,slope41_50,0.0
L1,mucap_ee_0917 ref,4,slope41_50,-1.9639307278712579
L1,mucap_ee_0917 ref,5,slope41_50,-0.02031498390118145
L1,mucap_ee_0917 ref,6,slope41_50,0.0
L1,mucap_ee_0917 ref,7,slope41_50,-0.7754781842637015
L1,mucap_ee_0917 ref,8,slope41_50,0.0
L1,mucap_ee_0917 ref,9,slope41_50,-1.9503652325086818
