arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
R,std,15,5,0.0001,23,1,5,0.6827724359,0.8087999821,0.7040000558,0.8087999821,0,0,-0.4549065232,5.760339737,-3.199957848,0.4560000002,49.86679128,0,0,0.6474725604,3.110920668,-5.185483456,0.6024000049,38.22105841,0.8843767047,0.6815181375,0.7520530224
R,std,15,5,0.0001,24,0,1,0.9606169872,1,1,1,0,0,-4.520503998,4.19556284,-7.824801922,0.1100000069,26.11284069,0.01999999955,0.01999999955,-0.761715591,1.927236915,-7.883795738,0.2939999998,18.83456779,0.8532147408,0.6774420142,0.7103919387
R,std,15,5,0.0001,25,1,5,0.6259615385,0.7659999728,0.6500000358,0.7659999728,0,0,-0.4722145498,6.034330845,-2.220972538,0.4632000029,42.79765494,0,0,0.9501548409,3.339547873,-5.139410973,0.5780000091,31.22427411,0.8957992792,0.6821527481,0.7668443918
R,std,15,5,0.0001,26,0,1,0.9645432692,1,1,1,0,0,-1.313642383,5.584401131,-8.837366104,0.4120000303,36.4349309,0,0,-0.4139761031,3.434318066,-6.627559662,0.4700000286,20.8165602,0.8543115854,0.6823096275,0.7223896384
R,std,15,5,0.0001,27,1,5,0.5605769231,0.6987999678,0.5100000501,0.6987999678,0,0,-0.1166484356,5.381851196,-1.615890861,0.4951999784,46.45904748,0,0,0.4480222166,3.328680277,-4.299824715,0.5515999794,33.1276596,0.8949876428,0.6922438741,0.7629808784
R,std,15,5,0.0001,28,0,1,0.9584134615,1,1,1,0,0,-0.6578668952,3.904694557,-2.911490679,0.4320000112,39.3035402,0,0,-0.7801994681,2.895686865,-5.586560726,0.3640000224,22.83861864,0.8478850722,0.6923853755,0.7385401726
R,std,15,5,0.0001,29,1,5,0.559775641,0.7220000029,0.574000001,0.7220000029,0,0,-0.3250299096,4.680260181,-3.640988111,0.4723999798,48.91577226,0,0,0.6003553271,2.565459728,-3.936032772,0.6227999926,35.52533626,0.8836817741,0.6935744882,0.7836760283
R,std,15,5,0.0001,30,0,1,0.9652644231,1,1,1,0,0,-2.048495054,4.257358551,-9.512372971,0.30400002,35.49974146,0,0,-0.8326985836,2.735797405,-7.797138214,0.4040000141,23.62134086,0.854623735,0.6910797954,0.7347999215
R,std,16,6,0.0001,1,1,5,0.6524439103,0.7675999999,0.6640000343,0.7675999999,0,0,0.3102150559,5.504165649,-2.656934261,0.5263999701,32.84578378,0,0,1.569795489,2.50499773,-3.313636541,0.7784000039,22.10649214,0.7127970457,0.5894046426,0.6092147827
R,std,16,6,0.0001,2,0,1,0.9588541667,1,1,1,0,0,-1.465990424,2.914551973,-4.719786167,0.302000016,26.96989282,0,0,1.955930471,1.88540864,-5.003724098,0.7420000434,14.94984475,0.676579237,0.591886282,0.6271817684
