contrast,left_metric,right_metric,estimate,ci_low,ci_high,n_seed,bootstrap_B,bootstrap_seed
centered_final_minus_initial,unit_top_proj_mean_all,unit_top_proj_mean_all,0.07439056319725477,0.06346671198599406,0.0868111597748914,10,10000,20260822
centered_final_minus_std_final,unit_top_proj_mean_all,unit_top_proj_mean_all,-0.31102408174852936,-0.3248187531888305,-0.29806310684559617,10,10000,20260822
centered_final_minus_initial_alive,unit_top_proj_mean_alive,unit_top_proj_mean_alive,0.10392305284308581,0.0876274465821384,0.11980735676920078,10,10000,20260822
centered_final_minus_std_final_alive,unit_top_proj_mean_alive,unit_top_proj_mean_alive,-0.4512107889357919,-0.5008516917150434,-0.4006611789524634,10,10000,20260822
e1W_all_top_proj:centered_final_minus_initial,e1W_all_top_proj,e1W_all_top_proj,0.4639924784915566,0.3640865720417567,0.5672184078412162,10,10000,20260822
e1W_all_top_proj:centered_final_minus_std_final,e1W_all_top_proj,e1W_all_top_proj,0.13332181669717363,-0.062360646809369216,0.32518688851892485,10,10000,20260822
e1U_all_top_proj:centered_final_minus_initial,e1U_all_top_proj,e1U_all_top_proj,0.45220180978265995,0.3365610158720812,0.5663776594279217,10,10000,20260822
e1U_all_top_proj:centered_final_minus_std_final,e1U_all_top_proj,e1U_all_top_proj,0.35664740946681006,0.21505130568005532,0.49094185261870643,10,10000,20260822
e1W_alive_top_proj:centered_final_minus_initial,e1W_alive_top_proj,e1W_alive_top_proj,0.4807212260928472,0.3900312029582896,0.5768635679920812,10,10000,20260822
e1W_alive_top_proj:centered_final_minus_std_final,e1W_alive_top_proj,e1W_alive_top_proj,-0.1183709416456114,-0.2340008884192129,-0.014697542613483607,9,10000,20260822
e1U_alive_top_proj:centered_final_minus_initial,e1U_alive_top_proj,e1U_alive_top_proj,0.43294554240998373,0.32678098015593654,0.5546264224753014,10,10000,20260822
e1U_alive_top_proj:centered_final_minus_std_final,e1U_alive_top_proj,e1U_alive_top_proj,-0.20124759204610665,-0.32319443389430624,-0.08895333697352824,9,10000,20260822
centered_final_rho_beta_minus_cos,rho_p_beta,rho_p_cos,0.9480639178770376,0.8884887060446821,1.015253820605297,10,10000,20260822
