seed,region,n_points,mu_top_projection_mean,mu_top_projection_median,angle_to_top_space_mean_deg,angle_to_top_space_median_deg,angle_to_top_space_q25_deg,angle_to_top_space_q75_deg
0,post_boundary_1_100,9900,0.01957224055015312,0.013724725059754578,82.65043158445852,83.27220234200192,80.69153135404994,85.12624406643702
0,pre_boundary_-100_0,10000,0.9999999803158375,0.9999999862173787,0.007451116788352445,0.006726490687514572,0.005397169542078767,0.008702763641585249
0,bulk,1001,0.9991359297800354,0.9999999862810004,0.07850150315097033,0.006710947729532265,0.005304801891655969,0.009070652915621483
0,all,20901,0.5355676785950291,0.999999943785703,39.15565589486996,0.013584574152955399,0.006579355271369413,83.01970192132381
1,post_boundary_1_100,9900,0.020193528858539478,0.014445207849664434,82.53806212022926,83.09703468447569,80.49036938149662,85.1774087031304
1,pre_boundary_-100_0,10000,0.9999999813740078,0.9999999876443482,0.007119803944025227,0.006368768539009586,0.0051477722287782985,0.008119337823151275
1,bulk,1001,0.9991731713758583,0.9999999861974352,0.07563665813540348,0.006731355558128477,0.005308904791329029,0.00916730698194665
1,all,20901,0.5358637430738651,0.9999999435476106,39.10213508083361,0.013613312098121581,0.0062538068753442005,82.85687155929871
2,post_boundary_1_100,9900,0.020756512975822726,0.013814253058257358,82.46894750404633,83.25019309796934,80.45664937962528,85.07981610474488
2,pre_boundary_-100_0,10000,0.9999999825329041,0.9999999886699458,0.00680582028107066,0.0060987190755668955,0.004842734556914245,0.007798065880729644
2,bulk,1001,0.9991731715560342,0.9999999869378277,0.07528140695516161,0.006548326711930236,0.0050447002425676865,0.008643108729348405
2,all,20901,0.536130407565058,0.9999999478480169,39.0692309067141,0.013084527674629016,0.0060008117725379746,83.0413501126959
3,post_boundary_1_100,9900,0.017614447742544087,0.012912372861766275,83.00967025592024,83.47523691462816,81.13257947081105,85.37010920103914
3,pre_boundary_-100_0,10000,0.9999999810452745,0.9999999858693694,0.007369104935466527,0.006810882678633754,0.005528188195932471,0.008521355978135033
3,bulk,1001,0.9991731712194366,0.9999999849438594,0.07579011349955078,0.007030390735061677,0.005560172867582679,0.009499138547319432
3,all,20901,0.5346421313570924,0.9999999498839384,39.32564434651826,0.01282658675872032,0.0066912159125075985,83.23616912056494
4,post_boundary_1_100,9900,0.019154933124618696,0.01442277341986644,82.64509264628133,83.10242322738165,80.71320023566027,84.89604427880666
4,pre_boundary_-100_0,10000,0.9999999798371122,0.9999999862313271,0.007466034297281652,0.00672308613212598,0.005334905945532815,0.008767246714455994
4,bulk,1001,0.999135940765879,0.9999999844833357,0.07857155627815726,0.0071371005654950895,0.005708236041728142,0.009928343848159273
4,all,20901,0.5353700164112478,0.9999999420114725,39.153137537390194,0.013797286336687241,0.0066126454968768855,82.89665384171441
5,post_boundary_1_100,9900,0.01935274976816779,0.014352682365237786,82.63810968545327,83.11928512193185,80.81705493426571,84.97375459360723
5,pre_boundary_-100_0,10000,0.9999999816234797,0.9999999883628837,0.006993183132650131,0.006180808944990828,0.005004808535240074,0.008073348906256269
5,bulk,1001,0.9992387951188899,0.9999999872138107,0.0705044824518784,0.00647877950949498,0.005064766399824472,0.00865486453623085
5,all,20901,0.5354686413498716,0.9999999477299801,39.149217391715624,0.01309932655032313,0.006074245196528449,82.90237989652006
6,post_boundary_1_100,9900,0.01922387591515234,0.014040803394610136,82.67717656440539,83.19481103245344,80.73822010102792,85.02101107477503
6,pre_boundary_-100_0,10000,0.9999999786644576,0.999999985813111,0.007671427845976601,0.006824427395853935,0.005573004437086305,0.008841794039149318
6,bulk,1001,0.9991359252901766,0.9999999858347155,0.07871537018908221,0.006819229132701092,0.0051629013924252695,0.009475903708981912
6,all,20901,0.5354026706578657,0.9999999400108707,39.16843961301528,0.014033271142650598,0.006680628323451823,82.96205801027503
7,post_boundary_1_100,9900,0.019381709454840343,0.013754854675091886,82.66693550695439,83.2647874644186,80.81527039686817,85.10868652977356
7,pre_boundary_-100_0,10000,0.9999999813471,0.9999999869748131,0.007247668576570041,0.006539049350080525,0.005272196091230165,0.00839900979414513
7,bulk,1001,0.9991522945982029,0.9999999860409318,0.07728541568154879,0.006769410480885352,0.005301105459962216,0.0092567831082203
7,all,20901,0.5354782155861787,0.999999945405269,39.16331758794849,0.013387454293820326,0.00641189391627246,83.03390226766477
8,post_boundary_1_100,9900,0.019402959343166697,0.01390732579448621,82.63362002871608,83.22738701215181,80.70181543674592,85.04386768258131
8,pre_boundary_-100_0,10000,0.999999983850716,0.999999989228106,0.006634147138497084,0.0059465992422111525,0.004758806750686003,0.007642925968163317
8,bulk,1001,0.999122762126851,0.9999999877822683,0.07926185967780185,0.006333123028831564,0.005009826558973402,0.008620478991568929
8,all,20901,0.5354868676567383,0.9999999521651698,39.14733844683085,0.012531260383807767,0.005852454067038068,82.97801680809725
9,post_boundary_1_100,9900,0.02048570175343658,0.014746329123026442,82.45324523908187,83.0251031835262,80.57977213076643,84.91413843764808
9,pre_boundary_-100_0,10000,0.999999983510999,0.9999999885754993,0.006635302297175448,0.006124085543879237,0.004733809027281704,0.007777440363074014
9,bulk,1001,0.9991731751938437,0.999999989061543,0.07494940850581264,0.0059923982033073106,0.004525261122479724,0.008572587286595245
9,all,20901,0.5360021353446269,0.9999999520087843,39.061695863728836,0.01255172778373329,0.005972462466797328,82.80207916679821
