quantity,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
P1,10,0.759859375,0.016072176861529598,0.975,False,10,0,0.7462128917234911,0.7735058582765089,+
P2,10,0.25949583333333337,0.06763942205470905,0.975,False,10,0,0.20206489228192523,0.3169267743847415,+
P1_95,10,0.759859375,0.016072176861529598,0.95,False,10,0,0.7483620322881246,0.7713567177118754,+
P2_95,10,0.25949583333333337,0.06763942205470905,0.95,False,10,0,0.21110950565063985,0.3078821610160269,+
natural_gap,10,0.6420989583333333,0.026500898181152144,0.95,False,10,0,0.6231413578050234,0.6610565588616432,+
