arm,E_k1,E_k2,floor_k1,memo_k1,first75_k1,logg2_start,neff2_start,logg1_start,pf_eps_w2,pf_eps_w1,pf_zero_w2,gtr2_start,zero2_start,deadunits2_start,neffT2_start,gtr2_end_k1,zero2_end_k1,step_w2_k1,step_w1_k1,effbar2_move_k1,logg2_end_k1,neff2_end_k1,lowgate2_end_k1,reset
S2_5r,0.7836041666666667,0.8964260416666667,0,1.0,0.10158333333333333,-2.2650812689086823,0.1985054156495258,-1.0486285887888422,0.0,0.2130497448979592,0.0,0.1745419404616952,0.14020916666666666,0.0,0.198505406888083,0.40666445207193497,0.08757583333333334,0.12174216362263905,0.09536403209382721,4.4288455420560515,-1.2157442055370438,0.43383549845879993,0.49412500000000004,True
S2_7r,0.683775,0.7668458333333333,0,0.9894166707992553,0.10108333333333333,-4.895332323629345,0.049149437699494494,-1.0486285887888422,0.0055,0.21474107142857143,0.0,0.04365310709685087,0.6450275,0.0,0.0491464965480674,0.1362943782854577,0.5122491666666666,0.1691593479066796,0.1422050941534811,4.631193017183813,-2.866255279065156,0.14604591327978958,0.8273008333333335,True
S2_10r,0.46439375,0.4623541666666666,0,0.779750007390976,0.10124999999999999,-10.590500225822568,0.00755842332051659,-1.0486285887888422,0.1663,0.2369923469387755,0.047,0.00629943715468049,0.9391808333333334,0.047,0.0074391631021684754,0.039426735593577227,0.8491808333333333,0.19390503935204226,0.1922491297272548,4.9476046316105045,-7.317130042622336,0.04230988709848767,0.95061,True
S2_15r,0.30432395833333337,0.29554375000000005,0,0.4989166647195816,0.10133333333333334,-22.741985265151357,0.002052950886738236,-1.0486285887888422,0.65423,0.342827806122449,0.49000000000000005,0.000998891433129708,0.9924425000000001,0.49000000000000005,0.0013837017402309538,0.009667385360995928,0.9646166666666666,0.13369096343690218,0.20866155240740528,3.7578292359188836,-19.572591179408064,0.011005483717590367,0.9882358333333332,True
S2_20r,0.24738541666666664,0.25945625,0,0.3660833328962326,0.10133333333333334,-31.887782172897186,0.0014517363770553348,-1.0486285887888422,0.8451600000000001,0.49083673469387756,0.752,0.0003783382572233677,0.9977833333333332,0.752,0.000547987717053153,0.003453578588118156,0.9883391666666667,0.09058193704484101,0.1945805328189863,2.755424603345479,-28.427727899662717,0.0045305244153054204,0.9959400000000003,True
S2_10,0.38870104166666664,0.442921875,0,0.625083327293396,0.10100000000000002,-10.590500225822568,0.00755842332051659,-1.0486285887888422,0.1663,0.2369923469387755,0.047,0.00629943715468049,0.9391808333333334,0.047,0.0074391631021684754,0.01890026555155714,0.9066141666666667,0.10664246371649519,0.1424413644361266,1.3747593946481516,-9.542070170019624,0.020890270278284,0.97568,False
S2u5r,0.6476552083333333,0.8137979166666668,0,0.9997500002384185,0.10116666666666667,-3.5801721562523405,0.11401105839734312,-1.0486285887888422,0.0,0.2137512755102041,0.0,0.036182500374366836,2.5e-06,0.0,0.11401105783087753,0.29375692680984733,0.06758416666666667,0.19003418501981742,0.14529597309860948,0.12484998593859498,-1.3549885134003317,0.3204796029345939,0.6088883333333333,True
S2u10r,0.6793583333333333,0.7411322916666666,0,0.9979166686534882,0.10133333333333334,-8.270041953333626,0.05972073382156997,-1.0486285887888422,0.0,0.22007908163265305,0.0,0.00045679105997085577,0.0019374999999999996,0.0,0.0597180899685282,0.21997041707322001,0.24361666666666668,0.23492221610338976,0.1824058189650335,0.9340188893998412,-1.674787291627542,0.23584473059941713,0.7210283333333334,True
S2u15r,0.6340572916666667,0.6609906249999999,0,0.9846666812896728,0.10133333333333334,-13.244410501517445,0.05961891964988196,-1.0486285887888422,0.00304,0.28420663265306123,0.0,4.101611425479253e-06,0.20415166666666668,0.0,0.05832482707625516,0.16885081232130528,0.3947583333333333,0.26166398912201505,0.20673336406213516,2.0305138611329534,-2.020008622407872,0.1798748348168055,0.7894641666666666,True
S2u20r,0.5609322916666667,0.5934562500000001,0,0.954666656255722,0.10133333333333334,-18.244410501517443,0.05961891964988196,-1.0486285887888422,0.68795,0.6814566326530611,0.016,2.2506316502888998e-08,0.9616841666666668,0.016,0.01175240342099786,0.11977647682175041,0.5508824999999999,0.2699613380898844,0.22412635750538973,2.0421567632655466,-2.792961934657675,0.1274066692897718,0.8511383333333333,True
