task,online_acc,memo_acc,g1_end,g2_end,logg2_end,neff2_end,zbar2_end,sigma2_end,mu2_end
1,0.7965989583333333,0.9930000007152557,0.6062250911088323,0.7762329477864374,-0.2579949975609151,0.8644824831754144,0.22240424081201496,1.2701811759612058,2.470869273859845
2,0.7606791666666666,0.996749997138977,0.39544314646807655,0.6603631646010735,-0.46000332036768843,0.752947770617739,-0.11449414883627532,1.7390038583064285,5.54566891968039
3,0.7788239583333334,0.9999166667461395,0.3816796574054698,0.48329675368710767,-0.8481503634403044,0.5592967351696284,-1.2413210425723575,2.699236616094901,7.034965421133537
4,0.74580625,0.9997500002384185,0.4081435851675687,0.2921062872063219,-1.4734015412685726,0.3378747759846756,-3.950410042292333,4.439716775193721,11.165565477961795
5,0.6736041666666667,0.9840833306312561,0.42158477458641874,0.17454194166508225,-2.2650812691868287,0.1985054156468614,-8.286619950654545,6.5311273658998275,17.77119136532762
6,0.55516875,0.9276666700839996,0.43238604594670216,0.09748203211477781,-3.29592012766366,0.109682608685719,-14.675292174644373,9.131555321572748,26.46097958129834
7,0.3515583333333333,0.6854999929666519,0.4306247314997037,0.04365310886736575,-4.895332324598995,0.04914943771076556,-23.771737058036198,11.85610031720457,37.93275847956251
8,0.2693416666666667,0.5113333344459534,0.4284942486250528,0.024113928697992063,-6.127496464336797,0.02713497936018815,-31.631500676660814,14.342391578103221,47.95383328203206
9,0.195340625,0.35733333081007,0.40806049325984545,0.012456790006343667,-7.984638330676503,0.01425249504273933,-40.7359407880334,16.698621980614416,58.395470066467524
10,0.15802291666666668,0.26158333420753477,0.38670492053645156,0.0062994376232228,-10.590500221094445,0.007558423308897345,-50.870413848435895,19.10808800519978,69.60041027459782
11,0.136725,0.19600000083446503,0.3571211891516115,0.0032869755917765892,-13.64713949437866,0.004394152142861192,-59.775007018347914,20.9435903586892,79.85419265862558
12,0.12295937500000001,0.16024999916553498,0.3357142936557968,0.001933617894524274,-16.662876800509896,0.0030176915248430764,-67.8720217629798,22.935306177062273,89.6181644633452
13,0.12046874999999999,0.154500000923872,0.3288431322338573,0.0017709839162272111,-19.39410293657115,0.00287144188095976,-74.39299915423231,24.710785267138128,98.38171921281457
14,0.11702708333333334,0.14866666719317437,0.3255473096868089,0.0013183282133916014,-20.335123710061335,0.002349483216187473,-79.2277682011466,25.901419738226814,105.88791355445137
15,0.11193645833333332,0.1352499984204769,0.31314388860881315,0.000998891497139945,-22.74198526059763,0.0020529508911490205,-85.52362092533238,27.36547244085883,113.81493641163925
16,0.11051354166666667,0.12791666835546495,0.3104424313069468,0.000809241178345707,-24.023249785346252,0.0018457751096679874,-90.04372889245299,28.67535348757783,119.80237008984284
17,0.10729166666666667,0.12074999958276748,0.30474809267582825,0.0004776704039543939,-27.107138172909742,0.0015422943597754118,-96.65881679853315,30.289363194840274,127.38971962529942
18,0.1051,0.11691666841506958,0.29717240555132424,0.0004355313445594851,-29.7766666454188,0.0014920957682488638,-102.22274818668745,31.698010635578253,134.31920184226607
19,0.106790625,0.1199166677892208,0.29424586614906517,0.00037731261327207893,-31.0018533768755,0.0014517806707212359,-105.6770938287223,32.45722930628553,138.81075839125063
20,0.10561875000000001,0.12100000008940696,0.29716357817786204,0.0003783382738887172,-31.887782166475347,0.0014517363674284645,-107.9436830240249,33.04153974942175,142.5466853031147
21,0.10546979166666666,0.11174999922513962,0.2968348979044008,0.00023113544040267146,-32.71129024360259,0.0012888358414308299,-110.88328510786809,33.97982509171773,147.13298975281015
22,0.10378229166666667,0.11658333390951156,0.29831316019398413,0.00021025058155508904,-33.50632894847098,0.0012820617944121816,-113.21937816019847,34.77707055944966,150.34958216589195
