contrast,what,k,n,mean,sd,level,degenerate,n_pos,n_neg,lo,hi,sign
R2_10 - N10,P1,1,10,0.759859375,0.016072176861529598,0.95,False,10,0,0.7483620322881246,0.7713567177118754,+
R2_10 - N10,P1,2,10,0.752371875,0.015922183885074898,0.95,False,10,0,0.7409818307996785,0.7637619192003215,+
N2r - S2_10r,P2,1,10,0.25949583333333337,0.06763942205470905,0.95,False,10,0,0.21110950565063985,0.3078821610160269,+
N2r - S2_10r,P2,2,10,0.28532812500000004,0.047770238032039704,0.95,False,10,0,0.25115535532392297,0.3195008946760771,+
R2_5 - N5,restore at t5,1,10,0.36053854166666666,0.09321303476844141,0.95,False,10,0,0.29385795351858823,0.4272191298147451,+
R2_5 - N5,restore at t5,2,10,0.5555697916666666,0.0983091648306948,0.95,False,10,0,0.4852436516848311,0.6258959316485022,+
R2_7 - N7,restore at t7,1,10,0.6453531250000001,0.06586932370982401,0.95,False,10,0,0.5982330493925672,0.692473200607433,+
R2_7 - N7,restore at t7,2,10,0.7042520833333333,0.03063003344249353,0.95,False,10,0,0.6823406773801364,0.7261634892865303,+
R2_15 - N15,restore at t15,1,10,0.7488500000000001,0.020134779992712574,0.95,False,10,0,0.7344464460820154,0.7632535539179849,+
R2_15 - N15,restore at t15,2,10,0.7162541666666666,0.03764067691273728,0.95,False,10,0,0.6893276484917334,0.7431806848415998,+
R2_20 - N20,restore at t20,1,10,0.7155552083333333,0.04298263820168115,0.95,False,10,0,0.6848072812589266,0.74630313540774,+
R2_20 - N20,restore at t20,2,10,0.6576729166666666,0.11694750550642107,0.95,False,10,0,0.5740137109666182,0.741332122366715,+
N2r - S2_5r,sink to the t5 field,1,10,-0.059714583333333314,0.009611280706596186,0.95,False,0,10,-0.0665900793620185,-0.05283908730464813,-
N2r - S2_5r,sink to the t5 field,2,10,-0.14874375,0.030943763862703276,0.95,False,0,10,-0.17087958517590704,-0.12660791482409298,-
N2r - S2_7r,sink to the t7 field,1,10,0.04011458333333333,0.04670366242916972,0.95,False,8,2,0.0067047958805089986,0.07352437078615766,+
N2r - S2_7r,sink to the t7 field,2,10,-0.019163541666666662,0.06069675101492139,0.95,False,4,6,-0.06258338167516626,0.024256298341832936,0
N2r - S2_15r,sink to the t15 field,1,10,0.419565625,0.03571146712622551,0.95,False,10,0,0.394019180368914,0.445112069631086,+
