width,seed,task1_eval_loss,task1_nmse,early_median_nmse_t1_10,task1_dead,task50_dead,final_dead,final_eval_loss,final_nmse,first_task_nmse_le_001
5,0,0.317999,0.2006352285890327,0.25836993077816495,0.0,0.8,1.0,1.37643,1.001751471215352,
5,1,0.222545,0.19937539807524055,0.21670962962962964,0.0,1.0,0.8,1.76105,0.6792147645951035,
5,2,0.110724,0.09842133333333333,0.38439248899058376,0.0,0.4,0.6,0.72251,0.3063562070393376,
5,3,0.0479201,0.07142675749636097,0.0997398963609898,0.0,0.2,0.4,0.302583,0.24282522884012542,
5,4,0.0602161,0.028560114126910608,0.18329335886251635,0.0,0.4,0.8,0.41193,0.5802150206327374,
100,0,0.00249873,0.002134027956630525,0.002021764795657125,0.0,0.13,0.19,0.0037395,0.0026031597552685255,1.0
100,1,0.00514503,0.002425649502762431,0.0027880859134607255,0.0,0.2,0.38,0.00209908,0.0019260375627240137,1.0
100,2,0.00477992,0.0015789155096774196,0.001168866208890495,0.0,0.22,0.27,0.0100024,0.0038005408534322834,1.0
100,3,0.00228672,0.0014644160600375236,0.0024361134071538186,0.0,0.25,0.34,0.00332964,0.0022730342400000005,1.0
100,4,0.00162108,0.0009227270261256252,0.001749525242987578,0.0,0.21,0.29,0.00347022,0.0006256171267605633,1.0
