width,statistic,value,n_seed,seed
5,spearman_early_nmse_vs_final_dead,0.35909242322980395,5,
100,spearman_early_nmse_vs_final_dead,0.7,5,
5,spearman_first1k_nmse_vs_within_task_dead_change,0.006009496651528956,1,0.0
5,spearman_mean_nmse_vs_within_task_dead_change,0.05185286684931593,1,0.0
5,spearman_first1k_nmse_vs_within_task_dead_change,0.013157912150585455,1,1.0
5,spearman_mean_nmse_vs_within_task_dead_change,0.03626608622599175,1,1.0
5,spearman_first1k_nmse_vs_within_task_dead_change,0.08392295700020579,1,2.0
5,spearman_mean_nmse_vs_within_task_dead_change,0.12146104318228172,1,2.0
5,spearman_first1k_nmse_vs_within_task_dead_change,0.04833214675376011,1,3.0
5,spearman_mean_nmse_vs_within_task_dead_change,0.04217950658133082,1,3.0
5,spearman_first1k_nmse_vs_within_task_dead_change,-0.10913082147244416,1,4.0
5,spearman_mean_nmse_vs_within_task_dead_change,-0.19001332292967557,1,4.0
100,spearman_first1k_nmse_vs_within_task_dead_change,0.15113077881556314,1,0.0
100,spearman_mean_nmse_vs_within_task_dead_change,0.08964835610972278,1,0.0
100,spearman_first1k_nmse_vs_within_task_dead_change,0.09537697005103798,1,1.0
100,spearman_mean_nmse_vs_within_task_dead_change,0.14181498598518577,1,1.0
100,spearman_first1k_nmse_vs_within_task_dead_change,0.07346709144335678,1,2.0
100,spearman_mean_nmse_vs_within_task_dead_change,-0.03297077886783506,1,2.0
100,spearman_first1k_nmse_vs_within_task_dead_change,0.017577841618884305,1,3.0
100,spearman_mean_nmse_vs_within_task_dead_change,0.03966807407707966,1,3.0
100,spearman_first1k_nmse_vs_within_task_dead_change,0.10627814263964862,1,4.0
100,spearman_mean_nmse_vs_within_task_dead_change,0.10771970771754842,1,4.0
