width,seed,step,task,eval_loss,signal_var,nmse,log10_nmse,dead_frac
5,0,10000,1,0.317999,1.5849609374999996,0.2006352285890327,-0.6975928089100524,0.0
5,0,20000,2,0.247097,0.9375,0.26357013333333335,-0.5791038037267536,0.2
5,0,30000,3,0.321026,1.5849609374999996,0.20254505483672217,-0.6934783557059725,0.2
5,0,40000,4,0.52633,1.6240234374999998,0.32409015033072763,-0.4893341677398223,0.4
5,0,50000,5,0.479849,1.2958984375000002,0.370282875659382,-0.43146637214878125,0.2
5,0,60000,6,0.172223,1.484375,0.11602391578947367,-0.9354524812485046,0.2
5,0,70000,7,0.148119,1.6523437499999998,0.08964175886524824,-1.0474896307405266,0.0
5,0,80000,8,0.283827,1.12109375,0.2531697282229965,-0.59658822460915,0.2
5,0,90000,9,0.480783,1.7773437499999996,0.2705064791208792,-0.5678223282921742,0.2
5,0,100000,10,0.226848,0.5537109375,0.40968668783068785,-0.3875481475811572,0.2
5,0,110000,11,0.312898,0.7148437499999998,0.4377152349726777,-0.35880833721275,0.4
5,0,120000,12,0.378717,2.1250000000000004,0.17821976470588233,-0.7490441340437344,0.2
5,0,130000,13,0.273594,1.8710937499999996,0.14622142797494783,-0.8349889791608625,0.2
5,0,140000,14,0.300524,2.249999999999999,0.13356622222222228,-0.874303357408681,0.2
5,0,150000,15,0.363417,1.4599609375000004,0.24892241337792634,-0.6039359970510765,0.2
5,0,160000,16,0.229389,1.0380859375000002,0.22097303480714953,-0.6556607197491067,0.2
5,0,170000,17,0.0888484,0.9335937499999998,0.09516816066945609,-1.0215083242876262,0.2
5,0,180000,18,0.147188,1.0380859375000002,0.14178787582314203,-0.8483609037666586,0.2
5,0,190000,19,0.325039,1.7490234374999996,0.1858402769402569,-0.7308601560191867,0.2
5,0,200000,20,0.243439,1.2490234374999996,0.19490346833463648,-0.7101804324822159,0.2
5,0,210000,21,0.49624,1.125,0.44110222222222223,-0.35546075429047125,0.2
5,0,220000,22,0.255358,1.33984375,0.19058789504373175,-0.7199046865028187,0.0
5,0,230000,23,0.160966,0.9990234375,0.1611233470185728,-0.7928415250886254,0.2
5,0,240000,24,0.251583,1.6943359375000002,0.14848472161383283,-0.828318230927003,0.0
5,0,250000,25,0.540926,1.7460937500000002,0.30979207158836686,-0.5089297011974822,0.2
5,0,260000,26,0.254964,2.234375,0.11410976223776224,-0.9426771995376952,0.2
5,0,270000,27,0.799462,1.7460937500000002,0.45785743176733773,-0.3392697321174716,0.2
5,0,280000,28,0.218297,1.2958984375000002,0.16845224415975882,-0.773523198872783,0.4
5,0,290000,29,0.529659,1.7460937500000002,0.30333938255033555,-0.518071201578673,0.2
5,0,300000,30,0.678455,2.15234375,0.3152168421052632,-0.5013905861127803,0.4
5,0,310000,31,0.627347,2.2958984374999996,0.2732468430455126,-0.5634448469659399,0.4
5,0,320000,32,0.620566,3.1249999999999996,0.19858112,-0.7020620442071366,0.6
5,0,330000,33,0.585809,2.234375,0.26218025174825177,-0.5814000238578345,0.6
5,0,340000,34,0.209897,0.9023437499999999,0.23261312554112556,-0.6333657832049288,0.6
5,0,350000,35,0.473172,1.7724609375000007,0.2669576462809916,-0.5735576354350871,0.6
5,0,360000,36,0.346268,1.9023437500000009,0.18202178234086236,-0.7398766373754412,0.6
5,0,370000,37,0.272355,2.4335937499999996,0.11191473515248798,-0.9511127287164065,0.6
5,0,380000,38,0.412136,1.1240234374999998,0.36666139357080807,-0.43573481526934943,0.6
5,0,390000,39,0.489602,2.7773437499999996,0.17628426441631506,-0.7537864522052695,0.4
5,0,400000,40,0.893631,2.0468749999999996,0.4365830839694657,-0.35993309565629084,0.8
5,0,410000,41,0.915319,1.296875,0.7057881445783133,-0.15132564094269987,0.8
5,0,420000,42,1.19077,3.0224609375,0.3939736607431341,-0.4045328121243875,0.8
5,0,430000,43,1.70349,4.527343749999999,0.37626698878343406,-0.4245038821799407,0.8
5,0,440000,44,1.38805,1.9843750000000002,0.6994897637795274,-0.15521863652110887,0.8
5,0,450000,45,1.93225,2.6874999999999996,0.7189767441860466,-0.1432851569537156,0.8
5,0,460000,46,0.539773,1.7333984374999987,0.3113958039436622,-0.5066872438436567,0.8
5,0,470000,47,0.4837,0.9365234375000006,0.5164846715328464,-0.2869425631423967,0.8
5,0,480000,48,0.45874,1.27734375,0.35913590214067276,-0.4447411771011611,0.8
5,0,490000,49,0.690705,2.0693359374999996,0.33378099103350645,-0.47653840020418714,0.8
5,0,500000,50,0.582725,3.0693359375000013,0.18985377028316888,-0.7215807738367109,0.8
5,0,510000,51,1.5918,2.8818359374999996,0.5523562182311083,-0.2577807524941746,0.8
5,0,520000,52,1.9218,3.077148437499999,0.6245392573786102,-0.20444025748672218,0.8
5,0,530000,53,1.79341,2.3398437499999996,0.7664657095158599,-0.11550727003487032,0.8
