width,seed,window,dead_frac_slope_per_task
5,0,t1_50,0.015644657863145253
5,0,t51_100,0.004436974789915963
5,0,t76_100,0.008615384615384624
5,1,t1_50,0.015337334933973585
5,1,t51_100,0.001843937575030014
5,1,t76_100,-3.8656082549019842e-19
5,2,t1_50,-0.0016710684273709483
5,2,t51_100,0.0073469387755102
5,2,t76_100,-0.010461538461538463
5,3,t1_50,0.01120768307322929
5,3,t51_100,0.00586794717887155
5,3,t76_100,-0.00230769230769231
5,4,t1_50,0.004552220888355339
5,4,t51_100,0.002535414165666262
5,4,t76_100,-3.8656082549019842e-19
100,0,t1_50,0.003586074429771908
100,0,t51_100,0.000947899159663865
100,0,t76_100,0.0004615384615384623
100,1,t1_50,0.003548139255702279
100,1,t51_100,0.0014665066026410551
100,1,t76_100,0.0020076923076923097
100,2,t1_50,0.0029810324129651853
100,2,t51_100,0.0005527010804321717
100,2,t76_100,0.0018307692307692335
100,3,t1_50,0.00453925570228091
100,3,t51_100,0.0012854741896758696
100,3,t76_100,0.0023076923076923083
100,4,t1_50,0.0035102040816326506
100,4,t51_100,0.00024777911164465603
100,4,t76_100,0.0017076923076923085
