step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.4263,12.9418,0.174239,0.502005,0,1.42174,78.6095,0.0180861,15.8925,0.160289,6.23872,6.23872,0,1.47976,-0.00112249,nan,0.0060614,-0.0146182,-0.000898337,-0.00661654,-0.0107726,0.4895,0.500975,nan,nan
0,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.5843,13.4375,0.166093,0.49599,0,1.63508,93.6543,0.0174587,16.2647,0.164125,6.0929,6.0929,0,1.86235,-0.000825821,nan,0.00300916,-0.00779612,-0.000508278,-0.00331807,-0.00467252,0.485,0.498075,nan,nan
1000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.5617,13.1568,0.172791,0.496742,0,0.0414125,5.09589,0.00812665,15.8563,0.165408,6.04564,6.04564,0,0.295916,-0.0628263,nan,0.0402878,-0.109564,-0.0481901,-0.0801376,-0.0940677,0.462,0.482575,nan,nan
1000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.7296,13.8436,0.158473,0.489474,0,0.041432,5.79428,0.00715051,16.2834,0.149539,6.6872,6.6872,0,0.23354,-0.0739858,nan,0.0395415,-0.145719,-0.0533162,-0.0825523,-0.0971118,0.4515,0.47535,nan,nan
2000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6202,13.1174,0.175627,0.496491,0,0.0718707,8.50174,0.00845364,16.0338,0.172231,5.80616,5.80616,0,0.300136,-0.10888,nan,0.0482563,-0.163102,-0.0860894,-0.131662,-0.146864,0.4455,0.46755,nan,nan
2000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.85,13.9226,0.158966,0.49198,0,0.0254208,3.82441,0.00664699,16.4151,0.148202,6.74756,6.74756,0,0.190406,-0.120162,nan,0.0544162,-0.206989,-0.0909083,-0.126208,-0.145568,0.4365,0.46095,nan,nan
3000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6754,13.0268,0.177989,0.497494,0,0.0336885,5.67436,0.00593697,15.8758,0.186672,5.35698,5.35698,0,0.208372,-0.142651,nan,0.0600168,-0.201381,-0.116277,-0.165186,-0.193356,0.424,0.456775,nan,nan
3000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.8924,13.7411,0.163441,0.497243,0,0.0364336,4.88747,0.00745449,16.3967,0.156774,6.3786,6.3786,0,0.187462,-0.160527,nan,0.0587258,-0.250956,-0.125272,-0.175457,-0.182957,0.417,0.446875,nan,nan
4000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6885,12.8424,0.181527,0.493985,0,0.0373629,5.37602,0.00694992,15.7393,0.193643,5.16413,5.16413,0,0.209253,-0.170188,nan,0.0515706,-0.242145,-0.141763,-0.191734,-0.206475,0.422,0.4462,nan,nan
4000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.0139,14.0625,0.160783,0.487719,0,0.0680536,7.27044,0.00936032,16.3159,0.148596,6.72965,6.72965,0,0.218613,-0.199379,nan,0.0647679,-0.302706,-0.160412,-0.209291,-0.233184,0.404,0.433975,nan,nan
5000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6732,12.3882,0.187495,0.492481,0,0.146398,10.5144,0.0139236,15.6344,0.20437,4.89308,4.89308,0,0.414025,-0.205272,nan,0.0495125,-0.28958,-0.176225,-0.228259,-0.23786,0.408,0.4322,nan,nan
5000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.0624,14.0613,0.162174,0.488972,0,0.0203508,3.21078,0.00633829,16.1916,0.154105,6.48907,6.48907,0,0.137697,-0.234381,nan,0.0582745,-0.336767,-0.192482,-0.251866,-0.267266,0.3895,0.42155,nan,nan
6000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.7389,12.5822,0.182532,0.488722,0,0.0383433,4.85533,0.00789714,15.7351,0.194578,5.13933,5.13933,0,0.208707,-0.237276,nan,0.0585451,-0.318907,-0.209461,-0.264386,-0.312284,0.378,0.419575,nan,nan
6000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.1145,14.1261,0.158999,0.494737,0,0.0341554,4.28834,0.00796472,16.1737,0.150902,6.62681,6.62681,0,0.162447,-0.262248,nan,0.0689085,-0.363248,-0.220236,-0.27812,-0.296341,0.3845,0.414,nan,nan
7000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6959,12.1882,0.183454,0.489724,0,0.0376856,4.50545,0.00836444,16.0144,0.207772,4.81296,4.81296,0,0.224808,-0.247911,nan,0.0718718,-0.337294,-0.225365,-0.30057,-0.327688,0.364,0.413025,nan,nan
7000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.1096,13.91,0.161574,0.494486,0,0.0191853,3.81267,0.005032,16.1683,0.164635,6.07405,6.07405,0,0.120634,-0.287795,nan,0.0609602,-0.384848,-0.245021,-0.31084,-0.330694,0.3775,0.404025,nan,nan
8000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.741,12.068,0.18269,0.494236,0,0.0145919,3.78582,0.00385436,16.0963,0.210462,4.75145,4.75145,0,0.139446,-0.27686,nan,0.0596805,-0.348568,-0.254399,-0.324926,-0.355196,0.3545,0.401125,nan,nan
8000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.1133,13.8617,0.166711,0.493734,0,0.0282659,4.41926,0.00639608,16.1735,0.168682,5.92832,5.92832,0,0.132225,-0.309918,nan,0.0576861,-0.398724,-0.26688,-0.335695,-0.342729,0.364,0.3955,nan,nan
9000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.7375,12.2456,0.175163,0.490476,0,0.0286333,4.88441,0.00586219,16.2098,0.201075,4.97328,4.97328,0,0.147061,-0.287379,nan,0.063755,-0.369784,-0.268529,-0.357394,-0.411716,0.3335,0.39635,nan,nan
9000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.134,13.8352,0.165386,0.506266,0,0.041462,4.55075,0.00911102,16.3344,0.16959,5.89658,5.89658,0,0.170109,-0.331064,nan,0.0607376,-0.437539,-0.290758,-0.355785,-0.388309,0.3475,0.385575,nan,nan
10000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6366,11.7427,0.183648,0.491228,0,0.0371946,5.92282,0.00627988,15.7749,0.213085,4.69296,4.69296,0,0.154492,-0.305565,nan,0.0659011,-0.397537,-0.289093,-0.381296,-0.453593,0.3145,0.387,nan,nan
