step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.7813,4.64647,0.143387,0.447619,0,1.11433,55.0827,0.02023,4.89462,0.292505,3.41875,3.41875,0,1.33418,-0.00319977,nan,0.00391922,-0.00807861,-0.00248206,-0.00623281,-0.00634349,0.484,0.4967,nan,nan
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70903,4.06559,0.21612,0.466667,0,6.62182,324.55,0.0204031,4.77337,0.411789,2.42843,2.42843,0,4.82067,-0.00762103,nan,0.0114513,-0.029542,-0.00604977,-0.0169796,-0.0244003,0.4925,0.4992,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.70617,3.95864,0.264209,0.457143,0,0.0134097,3.35575,0.00399604,4.71284,0.437138,2.28761,2.28761,0,0.22631,0.0381951,nan,0.100727,-0.0612368,0.0245677,-0.043714,-0.0598929,0.483,0.5068,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.78593,4.28751,0.205746,0.47619,0,0.0229489,5.56011,0.00412741,4.83699,0.384098,2.6035,2.6035,0,0.272484,-0.051555,nan,0.117539,-0.169531,-0.0383839,-0.125734,-0.144561,0.4505,0.4837,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.55564,3.22961,0.354842,0.466667,0,0.0182905,3.87132,0.00472461,4.43004,0.5592,1.78827,1.78827,0,0.18538,0.080081,nan,0.177938,-0.0981769,0.0514094,-0.0751442,-0.101303,0.469,0.5178,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.75923,4.07713,0.246058,0.447619,0,0.0250397,5.06865,0.00494011,4.73777,0.370673,2.69779,2.69779,0,0.257733,-0.0411753,nan,0.192438,-0.235294,-0.0317044,-0.14692,-0.15748,0.4385,0.4909,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.58349,3.28018,0.35157,0.47619,0,0.0117106,2.58068,0.00453781,4.42254,0.566327,1.76576,1.76576,0,0.181069,0.0385998,nan,0.162465,-0.127788,0.0164286,-0.103414,-0.137282,0.452,0.5052,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.74681,3.8803,0.268518,0.447619,0,0.0189108,5.00558,0.00377795,4.67458,0.398553,2.50908,2.50908,0,0.219467,-0.0679117,nan,0.209779,-0.259525,-0.056911,-0.203445,-0.219915,0.426,0.4773,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.56737,3.20566,0.342367,0.47619,0,0.0254791,4.66106,0.00546638,4.39765,0.574582,1.74039,1.74039,0,0.190109,0.0379347,nan,0.184749,-0.137483,0.0132351,-0.129355,-0.149735,0.452,0.5024,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.73398,3.81737,0.25973,0.476191,0,0.0113831,4.30734,0.00264273,4.70069,0.402136,2.48672,2.48672,0,0.195907,-0.115639,nan,0.193224,-0.327241,-0.0945941,-0.234678,-0.24054,0.4055,0.463,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.52685,3.19385,0.339164,0.476191,0,0.0841987,7.84702,0.01073,4.37966,0.570698,1.75224,1.75224,0,0.247335,-0.00839886,nan,0.197969,-0.184514,-0.0266004,-0.177548,-0.210711,0.419,0.4825,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.72482,3.71659,0.277314,0.419048,0,0.0174032,4.37214,0.00398047,4.65648,0.429036,2.33081,2.33081,0,0.20529,-0.121172,nan,0.203685,-0.355597,-0.0991161,-0.242096,-0.269528,0.3945,0.4631,nan,nan
