arm,A_depth,B_width,C_dissoc,D_dissoc,E_dose,rho_dclamp,rho_wclamp,rho_wcap2,dslope_dclamp,dslope_wclamp,sigma_slope_ratio_dclamp,L_ref_pt,acc_base,zbar_late,g3,g4,g5,arbitration
LR,MIXED,MIXED,NOT_TESTABLE_DEPTH_ALSO_STOPPED,NOT_SHOWN,NOT_TESTABLE_NO_WIDTH_EFFECT,+0.179;+0.166;+0.244,+0.709;+0.775;+0.875,+0.396;+0.414;+0.559,-0.20;-0.02;+0.10,-0.03;+0.34;+0.47,+0.766;+0.765;+0.532,4.65;4.23;4.21,0.9255;0.9242;0.9193,-7.93/-2.78/-2.54;-8.29/-2.90/-2.59;-8.69/-2.91/-2.63,1111,111,000,UNDECIDED
ELU1,DEPTH_NO_EFFECT,WIDTH_REMOVES_LOSS,WIDTH_WITHOUT_DEPTH,NOT_SHOWN,DOSE_GRADED,+0.092;+0.066;+0.032,+0.905;+0.894;+0.817,+0.540;+0.532;+0.512,+0.07;-0.07;-0.05,+0.60;+0.42;+0.76,+0.578;+0.877;+1.086,4.00;4.15;4.25,0.9218;0.9235;0.9254,-8.45/-10.58/-2.96;-8.18/-8.35/-2.67;-8.11/-10.64/-2.66,1111,111,111,CLAUDE_WIDTH
