arm,seed,clamp,acc_late,acc_base,slope_late,slope_sigma_late,ce_frac,zbar_late,z20,sigma_late,star_sd_late,cnorm_late,pos_late,w2col_late,dead_hard_late,dead_soft_late,sat_late,pressure,L_ref,rho
LR,0,ref,0.8789499998092651,0.9254999756813049,-0.41469085906812786,0.716811329632887,1.0,-7.925706921103107,-1.7742515933768737,4.646867111250598,4.343190329153444,14.270488756602548,0.11068359375,3.693554197435956,0.0,0.0,0.0,0.0,0.046549975872039795,0.0
LR,0,dclamp,0.8872999846935272,0.9254999756813049,-0.6185713810066593,0.5493725054751276,1.0,-2.5428702097285987,-1.7742515933768737,3.8641702416956503,5.3599214630256995,13.205830632567833,0.30275390625,3.6623795633315877,0.0,0.0,0.0,0.36702027583694463,0.046549975872039795,0.17937678221821585
LR,0,wclamp,0.9119499921798706,0.9254999756813049,-0.44558584743743185,-0.005205184098227219,1.0,-2.782080880369109,-1.7742515933768737,1.3783741640100344,1.3509591384252881,3.715067173809933,0.0965234375,3.9638201889883513,0.0,0.0,0.0,8.117823072201539,0.046549975872039795,0.7089153485561072
LR,0,wcap2,0.8974000215530396,0.9254999756813049,-0.10007182077498246,0.02718041129340767,1.0,-4.68009365105231,-1.7742515933768737,2.5112060501212885,2.33793582367085,7.4155441217217515,0.102119140625,3.899337540522614,0.0,0.0,0.0,205736.0,0.046549975872039795,0.39634868543200263
LR,1,ref,0.8819499909877777,0.9241999983787537,-0.3016794868821743,0.7597908963443571,1.0,-8.28567661836624,-1.8746849766250415,4.465537943188295,4.513019989342794,14.28353921691686,0.1126171875,3.685433663382918,0.0,0.0,0.0,0.0,0.04225000739097595,0.0
LR,1,dclamp,0.888949990272522,0.9241999983787537,-0.31766035232749107,0.5814534923527683,1.0,-2.585964074934741,-1.8746849766250415,3.7862699659536134,5.600467750437063,13.222847933510932,0.289091796875,3.6847113125588313,0.0,0.0,0.0,0.3517714098512324,0.04225000739097595,0.1656804274604546
LR,1,wclamp,0.9147000014781952,0.9241999983787537,0.04061127867813566,0.046239481010105915,1.0,-2.902163924111398,-1.8746849766250415,1.333566297838395,1.5795306635900712,3.7163948252683614,0.09783203125,3.911144216190359,0.0,0.0,0.0,8.09994334340978,0.04225000739097595,0.775148041687975
LR,1,wcap2,0.8994500041007996,0.9241999983787537,0.19153850843268166,0.05919395128895971,1.0,-4.563807632146209,-1.8746849766250415,2.3839158624548302,2.5659768619048617,7.419404471730631,0.10763671875,3.8671190367258235,0.0,0.0,0.0,207114.0,0.04225000739097595,0.41420142134128063
LR,2,ref,0.8772500157356262,0.9193000197410583,-0.5963816107696357,0.9372750137945073,1.0,-8.68920132588596,-1.8337053943866517,4.644345120220727,3.6424228460223995,14.344018941622181,0.07902343749999999,3.6544094860182064,0.0,0.0,0.0,0.0,0.04205000400543213,0.0
LR,2,dclamp,0.887499988079071,0.9193000197410583,-0.4979598675981586,0.49822231702857117,1.0,-2.62619029172492,-1.8337053943866517,3.8096501699956518,5.27287611568306,13.170807924736263,0.278369140625,3.7088082218485434,0.0,0.0,0.0,0.37084761482003814,0.04205000400543213,0.24375675070377414
