seed,unit_updates,cert_down,cert_up,uncertain,cert_total_down,raw_down,raw_up,fail,certificate_violation,nonfinite,S_sum,S_positive,S_negative,S_positive_count,S_negative_count,U_sum,U_positive,U_negative,U_positive_count,U_negative_count,total_sum,total_positive,total_negative,total_positive_count,total_negative_count,S_conf_sum,S_conf_positive,S_conf_negative,S_conf_positive_count,S_conf_negative_count,S_label_sum,S_label_positive,S_label_negative,S_label_positive_count,S_label_negative_count,S_hist_sum,S_hist_positive,S_hist_negative,S_hist_positive_count,S_hist_negative_count,Qminus,Qplus,T,R,H,move_error,S_error,native_closure,closure,grad_defect,grad_bound,adam_defect,component_defect,SGD_T,SGD_R,p_down,p_up,S_positive_per_update,S_negative_per_update,U_positive_per_update,U_negative_per_update,total_positive_per_update,total_negative_per_update,S_conf_positive_per_update,S_conf_negative_per_update,S_label_positive_per_update,S_label_negative_per_update,S_hist_positive_per_update,S_hist_negative_per_update
0,12000000,958763,2060404,8980833,5059888,6415849,2536107,0,0,0,-3216.092936,13525.04804,-16741.14098,3843822,2267255,-1449.126435,16087.65369,-17536.78012,5125288,6874712,-4665.219371,26256.66019,-30921.87956,5552718,6447282,-4.696728257e+10,2524017400,-4.949129997e+10,1048359,8080384,4.696727935e+10,4.949129855e+10,-2524019205,5867022,6132978,0.01477814423,0.118925161,-0.1041470168,5857386,6055925,-4.40294128e+13,3.750437861e+13,-3.262519978e+13,4.07668957e+14,3206399.444,44063.59375,6.637098901e-09,2.808423103,3.391277764e-08,0.1772645353,73.0009284,0.1055240003,1.025061495,-64582660.79,1523805020,0.07989691667,0.1717003333,0.1127087337,-0.1395095082,0.1340637807,-0.1461398344,0.2188055015,-0.2576823296,21033.47834,-412427.4997,412427.488,-21033.49337,9.910430084e-07,-8.678918065e-07
1,12000000,791240,2069415,9139345,5025755,6682425,2745771,0,0,0,-3464.966883,19178.15788,-22643.12476,3574299,1886168,-3358.166223,34671.81809,-38029.98431,5378077,6621923,-6823.133106,49862.7047,-56685.8378,5798322,6201678,-2.620227625e+10,2153943763,-2.835622001e+10,949211,7515785,2.620227278e+10,2.835621852e+10,-2153945734,5645217,6354783,0.3105368148,0.3661269936,-0.05559017881,5769003,6115633,-3.258241899e+13,2.983089214e+13,-1.375766539e+13,3.120665556e+14,3462202.413,33747.1783,8.759530906e-09,3.046075415,4.182938436e-08,0.1465626116,61.55171783,0.09769513985,1.052766501,-107669916.3,1298307762,0.06593666667,0.17245125,0.1598179823,-0.1886927063,0.2889318174,-0.316916536,0.4155225392,-0.4723819817,17949.53136,-236301.8334,236301.821,-17949.54779,3.05105828e-06,-4.632514901e-07
2,12000000,1086258,2389995,8523747,4575569,5925891,2913216,0,0,0,-3678.76093,22907.02928,-26585.79021,4205160,2476744,-2199.052097,34390.17287,-36589.22497,5515657,6484343,-5877.813027,52212.89762,-58090.71065,5942269,6057731,-3.688469665e+10,1887411938,-3.877210859e+10,1053797,8629018,3.688469297e+10,3.877210739e+10,-1887414416,6528854,5471146,0.3399705519,0.3976358295,-0.05766527754,6524727,5361318,-3.821277415e+13,3.271790578e+13,-2.747437494e+13,3.546533997e+14,3676054.666,38161.12234,1.031402123e-08,3.111678754,3.749447926e-08,0.1617336841,66.28526875,0.1194282774,1.206448616,-103756309.3,1361019010,0.0905215,0.19916625,0.1908919107,-0.2215482518,0.2865847739,-0.3049102081,0.4351074802,-0.4840892554,15728.43282,-323100.9049,323100.8949,-15728.45347,3.313631912e-06,-4.805439795e-07
3,12000000,893808,2099931,9006261,4995064,6278401,2601271,0,0,0,-3032.847672,12548.10422,-15580.95189,3924514,2229060,-1377.301589,16019.86644,-17397.16802,5144115,6855885,-4410.149261,25444.95737,-29855.10663,5581919,6418081,-3.247264054e+10,1784107443,-3.425674799e+10,1164672,7797898,3.247263751e+10,3.42567467e+10,-1784109188,6010651,5989349,0.2039258541,0.3224449138,-0.1185190597,5629996,6285271,-3.183808092e+13,2.760458745e+13,-2.116749445e+13,2.972133418e+14,3010024.599,31927.23398,6.20757876e-09,2.69579958,3.255931414e-08,0.1722375076,71.41663648,0.1094553963,1.011359869,-59189863.37,1409626350,0.074484,0.17499425,0.1045675351,-0.1298412657,0.133498887,-0.1449764002,0.2120413114,-0.2487925553,14867.56202,-285472.8999,285472.8892,-14867.57657,2.687040948e-06,-9.876588309e-07
4,12000000,1014940,2676867,8308193,5006745,6401240,3355106,0,0,0,-5270.801677,38795.44347,-44066.24514,3990534,1972524,-9796.411523,40457.64245,-50254.05397,5605212,6394788,-15067.2132,72421.34412,-87488.55732,5946315,6053685,-1.214343767e+10,626610428.6,-1.27700481e+10,828761,8344075,1.21434324e+10,1.277004582e+10,-626613423.1,6262143,5737857,0.3953014099,5.94717765,-5.55187624,5905870,6032418,-1.144902662e+13,1.067573815e+13,-3.866489762e+12,1.106238239e+14,5267623.064,11904.95799,1.569742228e-08,5.171337708,7.675676938e-08,0.1006378493,40.77612856,0.1059093318,1.567157555,-109096385.6,768624689.3,0.08457833333,0.22307225,0.3232953622,-0.3672187095,0.3371470204,-0.4187837831,0.603511201,-0.729071311,5221.753572,-106417.0675,106417.0485,-5221.778526,4.955981375e-05,-4.626563534e-05
