seed,task,unit_updates,cert_down,cert_up,uncertain,cert_total_down,raw_down,raw_up,fail,certificate_violation,nonfinite,S_sum,S_positive,S_negative,S_positive_count,S_negative_count,U_sum,U_positive,U_negative,U_positive_count,U_negative_count,total_sum,total_positive,total_negative,total_positive_count,total_negative_count,S_conf_sum,S_conf_positive,S_conf_negative,S_conf_positive_count,S_conf_negative_count,S_label_sum,S_label_positive,S_label_negative,S_label_positive_count,S_label_negative_count,S_hist_sum,S_hist_positive,S_hist_negative,S_hist_positive_count,S_hist_negative_count,Qminus,Qplus,T,R,H,move_error,S_error,native_closure,closure,grad_defect,grad_bound,adam_defect,component_defect,SGD_T,SGD_R
0,2,3000000,224354,339065,2436581,913307,1106958,417493,0,0,0,-1047.902371,2901.293126,-3949.195497,1193677,856084,-155.2183945,2459.825522,-2615.043916,1308326,1691674,-1203.120766,4640.653492,-5843.774257,1423535,1576465,-9817748123,419632771.3,-1.023738089e+10,270705,2699115,9817747075,1.023738018e+10,-419633105.1,1885410,1114590,0.02318576759,0.02785466294,-0.004668895355,2315991,645447,-1.47028388e+13,1.349092599e+13,-6.059573442e+12,1.409688239e+14,1041026.854,15245.0417,1.56036957e-09,0.362730473,3.713122447e-09,0.05515036178,22.27489855,0.02744146548,0.1887490528,-15344053.95,368820697.4
1,2,3000000,227315,435216,2337469,909035,1048608,491900,0,0,0,-1076.164865,3479.170024,-4555.33489,1272504,858586,-502.8195242,2415.25093,-2918.070454,1253921,1746079,-1578.984389,5083.829856,-6662.814246,1419642,1580358,-1.21614788e+10,528091189.1,-1.268956999e+10,240006,2729992,1.216147772e+10,1.268956931e+10,-528091588.9,1983948,1016052,0.02768095945,0.03056502758,-0.002884068126,2270849,697162,-1.712748311e+13,1.583250689e+13,-6.4748907e+12,1.6479995e+14,1066728.923,17790.38356,1.811861073e-09,0.4333124855,4.367438687e-09,0.0568793617,22.78436739,0.03089330392,0.2384009087,-19554373.26,378899003.2
2,2,3000000,238466,426153,2335381,767903,862627,475537,0,0,0,-1057.162029,3998.963156,-5056.125185,1366477,972307,-340.9372311,2550.423813,-2891.361044,1294172,1705828,-1398.09926,5598.535488,-6996.634748,1451707,1548293,-1.623175446e+10,1037631305,-1.726938577e+10,264957,2709553,1.623175341e+10,1.726938522e+10,-1037631811,2153958,846042,0.02887657436,0.03299309683,-0.004116522467,2346156,619275,-2.332274601e+13,2.13599799e+13,-9.813839954e+12,2.234136296e+14,1047722.14,23928.84032,2.073604395e-09,0.4412150935,4.044942444e-09,0.0639718352,26.92152916,0.03345003663,0.2581993165,-19502971.69,443813211.8
3,2,3000000,168247,425599,2406154,816687,866430,524856,0,0,0,-851.7198808,3062.788743,-3914.508623,1362439,850052,-303.9366457,2283.96075,-2587.897396,1323251,1676749,-1155.656527,4645.365256,-5801.021782,1465959,1534041,-1.085685368e+10,485536450.3,-1.134239013e+10,243496,2696503,1.085685283e+10,1.134238959e+10,-485536761.1,2095450,904550,0.02779696061,0.031649443,-0.003852482392,2212563,748888,-1.533396491e+13,1.40936135e+13,-6.201764589e+12,1.47137892e+14,836640.6646,15862.31128,1.631231166e-09,0.3668149367,3.732705516e-09,0.0631599163,26.27297678,0.0304759158,0.2140506692,-18662503.19,400434461.2
4,2,3000000,322093,601131,2076776,905110,948434,632983,0,0,0,-1102.137047,3753.90336,-4856.040407,1406444,948937,-488.3984061,2611.829258,-3100.227664,1261928,1738072,-1590.535453,5450.947282,-7041.482735,1428690,1571310,-7566105886,608048783,-8174154669,381289,2618690,7566104784,8174154080,-608049296.4,2110339,889661,0.04652631146,0.05491917589,-0.008392864427,2236489,732759,-1.13528662e+13,1.064526788e+13,-3.538001482e+12,1.099906704e+14,1096676.703,11821.18904,1.949415172e-09,0.4744114938,4.475391819e-09,0.06136573758,24.83526444,0.03405670391,0.272662749,-19151214.74,416503417.8
0,3,3000000,286141,507622,2206237,1255688,1590772,597224,0,0,0,-763.6916054,3620.874576,-4384.566181,977959,640441,-661.9559496,3286.110615,-3948.066565,1255162,1744838,-1425.647555,6068.885539,-7494.533094,1368661,1631339,-1.673663566e+10,779948850.9,-1.751658451e+10,367117,2116087,1.673663489e+10,1.751658425e+10,-779949359.1,1476296,1523704,-0.01721446573,0.02520931629,-0.04242378202,1508557,1472161,-1.47609953e+13,1.224380284e+13,-1.258596912e+13,1.350239907e+14,757927.0305,14645.17572,1.790791823e-09,0.6214873254,6.894414045e-09,0.04824251337,19.97243062,0.02796003894,0.2589369762,-18597044.51,387458741.3
1,3,3000000,257862,560486,2181652,1345575,1622419,682693,0,0,0,-821.5823572,4209.445466,-5031.027823,974296,549586,-692.9514042,4297.497027,-4990.448431,1201523,1798477,-1514.533761,7489.294609,-9003.82837,1335466,1664534,-1.386027199e+10,1622069011,-1.5482341e+10,285790,1988871,1.386027117e+10,1.548234073e+10,-1622069561,1443009,1556991,0.06277604854,0.08007627803,-0.01730022948,1532428,1446214,-1.540856388e+13,1.397921418e+13,-7.146755877e+12,1.469388903e+14,820131.5472,15916.43907,2.014419809e-09,0.7261195227,8.185435008e-09,0.04508947532,20.07314029,0.0288702091,0.2895644124,-23040891.38,415062916
2,3,3000000,337137,681664,1981199,1168562,1341555,839268,0,0,0,-909.5864402,3988.910333,-4898.496773,1156117,697708,-447.7081901,3678.769578,-4126.477768,1314475,1685525,-1357.29463,6610.659901,-7967.954531,1445435,1554565,-1.32425603e+10,642280775.1,-1.388484107e+10,348369,2222775,1.324255939e+10,1.388484076e+10,-642281368.3,1764632,1235368,0.04505522928,0.05510250178,-0.0100472725,1813958,1167911,-1.087532391e+13,8.981256196e+12,-9.470346742e+12,9.928290051e+13,910176.0726,10620.62891,1.957918788e-09,0.7277636733,7.541373031e-09,0.04791192751,19.41019034,0.03374609406,0.3221936207,-18079761.5,380680835.5
3,3,3000000,285740,505567,2208693,1263099,1504943,683785,0,0,0,-867.0139,4001.542241,-4868.556141,974898,642903,-590.4427479,3981.60343,-4572.046178,1231069,1768931,-1457.456648,7026.353533,-8483.810181,1350748,1649252,-1.670412421e+10,1161059746,-1.786518395e+10,398306,1988214,1.670412334e+10,1.786518363e+10,-1161060292,1564779,1435221,0.02309586425,0.03570109089,-0.01260522664,1522420,1459884,-1.384550356e+13,1.15802255e+13,-1.132639807e+13,1.271286453e+14,863854.9636,13626.51345,1.9658836e-09,0.6674043767,7.045926925e-09,0.04506951953,19.48274083,0.02992535992,0.2726587137,-12566949.71,384788268.4
4,3,3000000,316138,775745,1908117,1080120,1373263,915606,0,0,0,-1293.486263,19017.92344,-20311.4097,1212504,595778,-1457.256054,19170.21888,-20627.47493,1537963,1462037,-2750.742317,34460.88146,-37211.62378,1594696,1405304,-79866884.25,16174898.41,-96041782.66,369840,2243783,79865590.72,96041756.32,-16176165.6,1847069,1152931,0.08324105882,0.1021685194,-0.01892746062,1571314,1399251,-1.717929016e+10,1.317919208e+10,-2.001210476e+10,1.517924112e+11,1290485.018,19.76228975,7.546913983e-09,0.9764917456,1.06964864e-08,0.03309750924,13.77289627,0.0356510315,0.4502647904,-64624966.23,293792603
