arm,activation,seed,window,layer,n_intervals,n_submerged_start,beta_seed,rho_seed,bin,n,zbar_bin_median,zbar_bin_lo,zbar_bin_hi,dzbar_median,dzbar_sd,rho,eligible
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,0,3493,-10.08588981628418,-18.12566375732422,-8.470427513122559,0.0,0.3995467693496344,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,1,3493,-7.376826286315918,-8.46950626373291,-6.628177165985107,0.0,0.24190800552736028,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,2,3491,-5.998147964477539,-6.6278605461120605,-5.537963390350342,0.0,0.19334001632495237,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,3,3494,-5.1357622146606445,-5.53792667388916,-4.773825645446777,0.0,0.1741345592675436,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,4,3492,-4.476539134979248,-4.7736077308654785,-4.232246398925781,0.0,0.1460178678955594,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,5,3493,-4.030318737030029,-4.232102870941162,-3.7962453365325928,0.0,0.11411151722572598,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,6,3488,-3.591322898864746,-3.7961370944976807,-3.4263150691986084,0.0,0.0967093709422861,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,7,3498,-3.2329282760620117,-3.426192283630371,-3.044858455657959,0.0,0.09282569134772711,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,8,3492,-2.875836968421936,-3.044844388961792,-2.7030043601989746,0.0,0.0647209756822668,0.0,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,9,3493,-2.5222830772399902,-2.7028987407684326,-2.3347222805023193,-0.0005136964609846473,0.06535156760478168,-0.00786050709741599,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,10,3493,-2.118281364440918,-2.334545373916626,-1.8766463994979858,-0.0009823089931160212,0.06071495147017414,-0.01617902953605381,1
R_none,relu,0,late,2,450,41913,-0.26053519708499995,0.0,11,3493,-1.5535067319869995,-1.8764311075210571,-0.7656422853469849,-0.0005249815876595676,0.04219052402169483,-0.012443116074823256,1
R_none,relu,0,early,2,90,2373,-0.2874187256829462,-6.79582224980808e-07,0,198,-1.519609808921814,-2.7931883335113525,-1.3498198986053467,4.686448207280591e-08,0.007936069067964362,5.905251286431516e-06,1
R_none,relu,0,early,2,90,2373,-0.2874187256829462,-6.79582224980808e-07,1,198,-1.188631296157837,-1.3497929573059082,-1.1199467182159424,4.802131470249549e-09,0.004463750210906644,1.0758064952909125e-06,1
