metric,arm,baseline,activation,contrast_type,pairing,verdict,decision_basis,improved,censored,pair_ok,g0a_unfit_median,g0b_submerged_median,floor_frac_late_arm,floor_frac_late_baseline,na_frac_late_arm,degenerate,seed_values,point,studentized_ci_lo,studentized_ci_hi,percentile_ci_lo,percentile_ci_hi,se0,degenerate_se_fraction,studentized_width_ratio,ci_degenerate,boot_ok,sign_test_p,n_seed,statistic,layer,lever_label,label,window,registered_endpoint,n_undefined_seeds,n_unit_intervals_median,n_dropped_unit_intervals_median,numeric_divergence,divergent_arms,divergence_detected_step
P2b_drift_to_noise,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.00018504922329664987, -0.0004813622213097135, -9.510456586368611e-06, -2.4683961205848853e-05, -3.0627651925134336e-05, -1.5927696362679358e-05, -0.0002316269353013693, -0.00012501856769966653, -0.00010507811930380283, -1.618879390073509e-05]",-6.785288561446859e-05,-0.0005713601277970472,0.00010835799129771192,-0.00018504922329664987,-1.618879390073509e-05,0.00011167570106800274,0.3716,10.017527079936297,1,6284,0.001953125,10,median,2,,NOISE_DOMINATED,all,0,0,332292.0,0.0,,,
P2a_mobility_slope,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.6571865295655706, -0.5418545192145687, -0.7832677553689402, -0.4644434859524696, -0.7800435541692025, -0.5584956393403364, -0.668443764469495, -0.6813691101849392, -0.6045473556246269, -0.7299854292122521]",-0.6628151470175327,-0.6826871905123713,-0.6522843265424546,-0.7307063321770708,-0.5584956393403364,0.016885852355886743,0.3711,0.04586929569536895,1,6289,0.001953125,10,median,2,,PARTIAL_SCALING,late,0,0,40789.0,0.0,,,
P2b_drift_to_noise,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.02464658390428215, -0.005758803836264975, 0.0005763093051000976, 0.004207499633221529, -0.0216272392338114, 0.0025235694099734925, 0.0009183240472994187, -0.004197091609308667, -0.0023700088107411832, -0.02737179882954693]",-0.003283550210024925,-0.024816913081395945,-0.0013012358655081105,-0.0216272392338114,0.001549939357536795,0.0027406241978512255,0.3701,7.16166213755243,1,6299,0.75390625,10,median,2,,NOISE_DOMINATED,late,0,0,40789.0,0.0,,,
P2a_mobility_slope,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-1.9421924544502143, -1.803109802272182, -1.87029885763131, -1.4079123604530617, -1.0924334141613665, -1.07932277912274, -1.7476787953690371, -1.5445047334373891, -1.9744256698095244, -1.0163533134349108]",-1.6460917644032131,-1.9010705748770982,51288192591324.945,-1.8726511283611982,-1.0924334141613665,0.304761092897472,0.3477,31157553728434.613,1,6523,0.001953125,10,median,2,,PARTIAL_SCALING,early,0,0,1330.5,0.0,,,
P2b_drift_to_noise,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[0.00972771630024808, 0.09013018849449334, 0.0517011366573775, 0.020646196196446698, -0.060261230623004314, 0.008398960935357355, 0.04364268785364389, 0.02834996317914306, 0.0003856173942360999, 0.03454505683680859]",0.02449807968779488,0.0121385340706419,0.11398456590134382,0.00505666684724209,0.04364268785364389,0.011555650474044544,0.3687,4.1573067411256055,1,6313,0.021484375,10,median,2,,NOISE_DOMINATED,early,0,0,1330.5,0.0,,,
P2a_mobility_slope,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.6954953931648118, -0.7348563833320862, -0.6539385240766897, -0.6543123574760432, -0.7308875331632171, -0.7888657344185678, -0.8118980922437236, -0.7441983329235676, -0.7746248004683282, -0.7945634473797136]",-0.739527358127827,-0.7551929558567188,-0.7118327152018532,-0.7888657344185678,-0.6925999453196301,0.01401292438722207,0.3758,0.05863236860450367,1,6242,0.001953125,10,median,2,,PARTIAL_SCALING,all,0,0,362630.5,0.0,,,
P2b_drift_to_noise,R_A1,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.0037999876752616217, -0.013614154101776443, -0.003737421485223313, -0.010909301611953623, -0.009801324730702183, -0.003366855980484538, 0.0013033245191804567, -0.001464497586435614, -0.007262229312527927, -0.008740446853409448]",-0.005531108493894775,-0.10305771524095694,0.006673889793786189,-0.009824874232681535,-0.002600959535829463,0.005193362455899459,0.3758,19.838989807533995,1,6242,0.021484375,10,median,2,,NOISE_DOMINATED,all,0,0,362630.5,0.0,,,
P2a_mobility_slope,E_A1,,elu,q2,single_arm,PARTIAL_SCALING,percentile,,,,,,,,,,"[-0.05580626642993845, 0.07140022140765785, -0.34165711142971067, -0.25676589521417165, -0.29387337735044977, -0.28783655503499644, -0.22728433838455772, -0.37873781217136915, -0.25390090354566436, -0.4510584315084317]",-0.27230122512458405,-0.45631625993487135,-0.17680777724619878,-0.34165711142971067,-0.1548535849878014,0.046605989731237196,0.3691,1.0264679586395216,1,6309,0.021484375,10,median,2,,PARTIAL_SCALING,late,1,0,679.5,0.0,,,
P2b_drift_to_noise,E_A1,,elu,q2,single_arm,NOISE_DOMINATED,percentile,,,,,,,,,,"[-0.0004012980150690966, 0.023982189337031338, 0.07822399935897248, 0.04153850087543845, 0.08495299218070557, 0.04667107321145828, 0.01674185934608474, 0.023851339777030203, 0.06630409426665487, 0.12963770661185867]",0.04410478704344836,0.031979737676386705,0.8359797137289853,0.020362024341558038,0.07822399935897248,0.007698858504029747,0.3728,18.22931318681042,1,6272,0.021484375,10,median,2,,NOISE_DOMINATED,late,1,0,679.5,0.0,,,
P2a_mobility_slope,E_A1,,elu,q2,single_arm,REPORT_ONLY,insufficient_data,,,,,,,,,,"[-0.16782231594168673, -0.09275849655178305, NaN, NaN, -0.18543462721070475, NaN, -0.11763664658525035, NaN, NaN, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,early,0,6,164.0,0.0,,,
P2b_drift_to_noise,E_A1,,elu,q2,single_arm,REPORT_ONLY,insufficient_data,,,,,,,,,,"[0.1584631938757755, 0.10872270693257247, NaN, NaN, 0.14313660166037243, NaN, 0.18207204233048968, NaN, NaN, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,early,0,6,164.0,0.0,,,
P2a_mobility_slope,E_A1,,elu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.24882151930357033, -0.17733034628471492, -0.19802811593619965, -0.25014716990918945, -0.23511298441234568, -0.23770103018416455, -0.1966151230464811, -0.22227006299815796, -0.23622271354600521, -0.21087149086528653]",-0.2286915237052518,-0.2529323880056806,-0.14795434691567555,-0.24252211642478777,-0.19802811593619965,0.01926438212128158,0.3762,0.45903774389690793,1,6238,0.001953125,10,median,2,,PARTIAL_SCALING,all,0,0,16951.0,0.0,,,
P2b_drift_to_noise,E_A1,,elu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[0.05073274819146377, 0.031860730682961746, 0.1096604920555708, 0.047022712390730574, 0.06974408801436227, 0.10449182983765526, 0.11999377358522816, 0.07873969130546468, 0.0509570966419925, 0.05930923352888848]",0.06452666077162537,0.053257044219878355,0.7008891963951756,0.04898990451636154,0.10449182983765526,0.01565228172821069,0.3819,10.036659954672313,1,6181,0.001953125,10,median,2,,NOISE_DOMINATED,all,0,0,16951.0,0.0,,,
P2a_mobility_slope,E_Aall,,elu,q2,single_arm,INSUFFICIENT_DATA,insufficient_data,,,,,,,,,,"[NaN, 0.129008722136683, -0.4378794018851543, NaN, -0.8131804801066137, NaN, NaN, -0.2707275618399736, -0.014350685613757477, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,late,1,5,318.5,0.0,,,
P2b_drift_to_noise,E_Aall,,elu,q2,single_arm,INSUFFICIENT_DATA,insufficient_data,,,,,,,,,,"[NaN, 0.48516574520781275, 0.19357494089699037, NaN, 0.16595701331200238, NaN, NaN, 0.36979462593435497, 0.3763871034289718, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,late,1,5,318.5,0.0,,,
P2a_mobility_slope,E_Aall,,elu,q2,single_arm,REPORT_ONLY,insufficient_data,,,,,,,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,early,0,10,17.5,0.0,,,
P2b_drift_to_noise,E_Aall,,elu,q2,single_arm,REPORT_ONLY,insufficient_data,,,,,,,,,,"[NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN]",,,,,,,,,,,,,,2,,INSUFFICIENT_DATA,early,0,10,17.5,0.0,,,
P2a_mobility_slope,E_Aall,,elu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.27570718381131526, 0.02672702490736956, -0.26874425143610736, -0.08453676607422336, -0.26829399064010784, -0.1763570987550215, -0.2407784112003482, -0.21762480129116216, -0.15830039025847975, -0.2036751829320096]",-0.21064999211158586,-0.24411760172856245,-0.18840092897806437,-0.26829399064010784,-0.13044693241462244,0.02092442753872885,0.3724,0.26449881242332896,1,6276,0.021484375,10,median,2,,PARTIAL_SCALING,all,0,0,5963.0,0.0,,,
P2b_drift_to_noise,E_Aall,,elu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[0.15374849431596982, 0.08233798903273995, 0.17014515968817306, 0.11173563145406405, 0.19689239498937747, 0.2860435948295015, 0.27667186425875007, 0.0608733230530364, 0.19091532192570698, 0.24812762213451234]",0.18053024080694002,0.13405729236766223,0.20415558173495538,0.11173563145406405,0.24812762213451234,0.031155243356300877,0.3859,0.3882911198365742,1,6141,0.001953125,10,median,2,,MIXED,all,0,0,5963.0,0.0,,,
P2c_delta_rho,E_Aall,E_A1,elu,p2c_intervention,paired,INSUFFICIENT_DATA,insufficient_data,,,1,,,,,,,"[NaN, 0.4611835558707814, 0.11535094153801789, NaN, 0.08100402113129682, NaN, NaN, 0.3459432861573248, 0.3100830091623169, NaN]",,,,,,,,,,,,,,2,,,late,,5,,,,,
P2c_delta_beta,E_Aall,E_A1,elu,p2c_intervention,paired,INSUFFICIENT_DATA,insufficient_data,,,1,,,,,,,"[NaN, 0.05760850072902514, -0.09622229045544362, NaN, -0.519307102756164, NaN, NaN, 0.10801025033139555, 0.2395502179319069, NaN]",,,,,,,,,,,,,,2,,,late,,5,,,,,
P2c_delta_submerged_frac,E_Aall,E_A1,elu,p2c_intervention,paired,INSUFFICIENT_DATA,percentile,,,1,,,,,,,"[-0.005800000000000004, -0.0288, 0.0006000000000000016, -0.02380000000000001, -0.010800000000000008, -0.012400000000000008, -0.010800000000000006, 0.007600000000000006, -0.009800000000000007, -0.012800000000000004]",-0.010800000000000008,-0.010800000000000008,-0.010800000000000008,-0.01810000000000001,-0.0046000000000000025,3.6799042000400975e-18,0.4818,0.0,1,5182,0.109375,10,median,2,,,late,,5,,,,,
C_delta_log10_unfit_late,E_A1,R_A1,elu_vs_relu,elu_vs_relu_A1,paired,REPORT_ONLY,percentile,1,0,1,,,0.0,0.0,0.0,0,"[-1.012508782565612, -1.0436073617498323, -0.6959944131202049, -1.4199270973815754, -0.09161578746256271, -0.8105948968687542, -0.8424338849800352, -0.6592800571355708, -1.1669866820713, -1.0283372107071018]",-0.9274713337728236,-1.466754857969241,0.28098353515370367,-1.0976619463892008,-0.6959944131202049,0.2551123463783652,0.3777,1.8844123041661995,1,6223,0.001953125,10,median,2,,,,,,,,,,
C_delta_dose_late,E_A1,R_A1,elu_vs_relu,elu_vs_relu_A1,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[-0.5585784282141635, -1.5602447185859383, -2.4277927585591517, -2.1382190449157195, -1.0796307407904733, -1.5713263722926554, -2.095313331670061, -1.8638967945111053, -2.248858468987656, -0.9061548520904914]",-1.7176115834018804,-5.726021267196872,124416848588571.11,-2.1720859003288586,-1.0796307407904733,0.43885563332767497,0.3081,72435962700110.78,1,6919,0.001953125,10,median,2,,,,,,,,,,
C_delta_dose_trend,E_A1,R_A1,elu_vs_relu,elu_vs_relu_A1,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[-0.14180149520598084, -0.24403710414841662, -0.3891999567998272, -0.3789696758787035, 0.13033655334621336, -0.03213977655910616, 0.03195334381337522, -0.0851648206592826, -0.3462542810171241, 0.3516533426133705]",-0.11348315793263172,-0.2136815751678602,-0.012827258723797572,-0.3462542810171241,0.0490983883935536,0.08495501182004736,0.3808,1.76990418757379,1,6192,0.34375,10,median,2,,,,,,,,,,
C_delta_log10_unfit_late,E_none,R_none,,elu_vs_relu_none,paired,NUMERIC_DIVERGENCE,numeric_divergence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"[""E_none""]",281000
C_delta_log10_unfit_late,E_Aall,E_A1,elu_vs_elu,A2_given_A1_elu,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[0.13498684865253985, 0.2016536677357763, 0.24097081608100357, 0.005152708687413021, 0.07922073358631065, 0.12157914822637039, 0.1577676159807253, 0.1661049601448834, 0.08666478174494996, 0.10218089848512069]",0.12828299843945512,0.07416345908245811,0.15754204996625443,0.08666478174494996,0.1797106418582508,0.020111550639254183,0.3702,0.6499582321748424,1,6298,0.001953125,10,median,2,,,,,,,,,,
C_delta_dose_late,E_Aall,E_A1,elu_vs_elu,A2_given_A1_elu,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[-5.090618105119202, -4.642915292451604, -3.7732998411156586, -4.593113033802847, -4.824417709720416, -4.5960818107532395, -3.89440038468788, -4.796219294106715, -4.520733369099776, -4.9089909417410835]",-4.619498551602422,-2603934786404.262,-4.302574268585705,-4.852605117923899,-4.243756709245364,0.07025022254754631,0.2662,563683429556.8079,1,7338,0.001953125,10,median,2,,,,,,,,,,
C_delta_dose_trend,E_Aall,E_A1,elu_vs_elu,A2_given_A1_elu,paired,REPORT_ONLY,percentile,1,0,1,,,0.0,0.0,0.0,0,"[0.6091063084252337, 0.7067024108096432, 0.8231647006588027, 0.6162928011712047, 0.2852232848931396, 0.5361818247272989, 0.5581206004824019, 0.5035220140880563, 0.6456751587006349, 0.0956817587270349]",0.5836134544538178,0.37725752120849854,0.6831525191397279,0.4107025548102192,0.661497605990424,0.07647856191424779,0.3802,0.5241397291251708,1,6198,0.001953125,10,median,2,,,,,,,,,,
C_delta_log10_unfit_late,R_A1,R_none,relu_vs_relu,relu_A1_vs_none,paired,REPORT_ONLY,percentile,1,0,1,,,0.0,0.0,0.0,0,"[-1.2549993530155397, -1.1213693972397445, -0.9920372740619712, -0.13482863139675993, -1.395730782070134, -0.8387272629063086, -0.6040567701170327, -1.1677229453334599, -0.05981369584671725, -0.6107312293618513]",-0.91538226848414,-7.989765852999729,-0.15744416147903606,-1.188184375127642,-0.3727799303793056,0.22996501673349384,0.3737,8.556339751359731,1,6263,0.001953125,10,median,2,,,,,,,,,,
C_delta_dose_late,R_A1,R_none,relu_vs_relu,relu_A1_vs_none,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[-6.134022566889064, -1.8566461563698757, -1.2762406422947272, -0.4580054890887002, 0.21721297771837111, -0.3404053594822427, -1.6011956056911547, -0.8280649035897198, 0.9216404610816751, -2.528398220841166]",-1.0521527729422235,-3.540544250902356,0.13520441211208967,-2.0647969132661603,-0.12039625568516454,0.6722636080575111,0.3713,3.493550326095363,1,6287,0.109375,10,median,2,,,,,,,,,,
C_delta_dose_trend,R_A1,R_none,relu_vs_relu,relu_A1_vs_none,paired,REPORT_ONLY,percentile,0,0,1,,,0.0,0.0,0.0,0,"[-0.3912613730454922, -0.18612727250909003, -0.3312626690506762, 0.06824465697862792, -0.25862436249745, 0.02647152988611945, -0.16372251089004353, -0.41880858723434894, 0.19325386101544406, -0.44695695582782335]",-0.22237581750327,-0.375917019883109,-0.05455809935055719,-0.3912613730454922,0.02647152988611945,0.10874563498253999,0.3733,1.445116308691372,1,6267,0.34375,10,median,2,,,,,,,,,,
S53_spearman_zbar_vs_log_v2,E_A1,,elu,secondary,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-1.0, -0.75, -0.5, -0.4, -0.5, -0.5, -0.6, -0.45, -0.48214285714285715, -0.5]",-0.5,-0.5,-0.5,-0.625,-0.475,0.0,0.7673,0.0,1,2327,0.001953125,10,median,2,,,,,,,,,,
S53_spearman_zbar_vs_log_v2,E_Aall,,elu,secondary,single_arm,REPORT_ONLY,insufficient_data,,,,,,,,,,"[NaN, -0.25, -0.45, 0.5, NaN, NaN, NaN, 0.5, -0.2, NaN]",,,,,,,,,,,,,,2,,,,,,,,,,
