metric,arm,baseline,activation,contrast_type,pairing,verdict,decision_basis,improved,censored,pair_ok,g0a_unfit_median,g0b_submerged_median,floor_frac_late_arm,floor_frac_late_baseline,na_frac_late_arm,degenerate,seed_values,point,studentized_ci_lo,studentized_ci_hi,percentile_ci_lo,percentile_ci_hi,se0,degenerate_se_fraction,studentized_width_ratio,ci_degenerate,boot_ok,sign_test_p,n_seed,statistic,layer,lever_label,label,window,registered_endpoint,n_undefined_seeds,n_unit_intervals_median,n_dropped_unit_intervals_median,numeric_divergence,divergent_arms,divergence_detected_step
G0_paired_delta_log10_unfit,E_A1,R_A1,elu,g0,paired,LOP_REDUCED,percentile,1,0,1,0.0028205734454908246,0.015100000000000006,0.0,0.0,0.0,0,"[-1.012508782565612, -1.0436073617498323, -0.6959944131202049, -1.4199270973815754, -0.09161578746256271, -0.8105948968687542, -0.8424338849800352, -0.6592800571355708, -1.1669866820713, -1.0283372107071018]",-0.9274713337728236,-1.466754857969241,0.28098353515370367,-1.0976619463892008,-0.6959944131202049,0.2551123463783652,0.3777,1.8844123041661995,1,6223,0.001953125,10,median,,,,,,,,,,,
P1a_dose_level_late,E_A1,,elu,q1,single_arm,MU_INTERMEDIATE,seed_median_vs_frozen_thresholds,,,,,,0.0,,0.0,0,"[6.090669682741589, 5.620894433434329, 4.794414948742999, 5.578315926554795, 5.809922056118872, 5.612848936625685, 4.868260545827949, 5.771328411433708, 5.563251519689861, 5.89967275098718]",5.6168716850300076,,,,,,,,,,,,,2,,,,,,,,,,
P1b_dose_trend_spearman,E_A1,,elu,q1,single_arm,DECREASING,percentile,,,,,,,,0.0,0,"[-0.5795328141312566, -0.6271140604562419, -0.7839736958947836, -0.4720760323041292, -0.3259106476425906, -0.5462053208212833, -0.5405431221724887, -0.5370067560270241, -0.6011946287785151, -0.1524748178992716]",-0.543374221496886,-0.5507382922698886,-0.5310915994034783,-0.6033234372937493,-0.43145870183480733,0.008493297973191871,0.3737,0.036156836465829456,1,6263,0.001953125,10,median,2,,,,,,,,,,
P1c_dose_over_closed_form,E_A1,,elu,q1_lever,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[19.26091420617097, 15.615475814559673, 11.075867597169559, 13.575137007527001, 18.365401337457975, 15.361545497571594, 13.250483215102552, 17.43723791091236, 16.15055744178792, 16.32824782718193]",15.883016628173797,-33528600387855.844,20147440357065.5,13.575137007527001,17.43723791091236,0.8026224408423719,0.2192,3379461345504.675,1,7808,0.001953125,10,median,2,MU_FROM_SUBMERGENCE,,,,,,,,,
P1c_excess_vs_layer1_submergence,E_A1,,elu,q1_lever,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[0.25850174526588277, 0.44189899232007923, 0.5249228774942766, 0.4293624434551645, 0.20355259097654857, 0.496205572144752, 0.3480705397253177, 0.4676228085897558, 0.45411459136128063, 0.3430332873153593]",0.43563071788762187,0.41220814551220925,0.6598158967782047,0.30328614249560026,0.47516008175301633,0.018804823297372097,0.3759,0.5683890990668615,1,6241,0.001953125,10,median,2,MU_FROM_SUBMERGENCE,,,,,,,,,
P2a_mobility_slope,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.26053519708499995, -0.268408807562665, -0.27595581291305704, -0.5970918039052537, -0.29781004161405605, -0.48709582989459377, -0.3073574293588187, -0.2814889462237294, -0.49765237713777255, -0.37452415935430317]",-0.30258373548643736,-0.34375635943640553,-0.2917086564441232,-0.48709582989459377,-0.2749488768931972,0.014321081617143988,0.3735,0.17201090768679225,1,6265,0.001953125,10,median,2,,PARTIAL_SCALING,late,0,0,39589.5,0.0,,,
P2b_drift_to_noise,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[0.0, -0.005187511698192189, 0.004383709030118546, -0.001645858616220196, -0.003256956127483155, -0.002937361354427474, -0.019809520277302525, -0.002637921067956412, -0.01009825577897713, 0.009815950745328192]",-0.002787641211191943,-0.003145092263970114,-0.002497642670558702,-0.006517808566702301,0.0008852947617275893,0.0004491604297065929,0.3764,0.23225714658400204,1,6236,0.1796875,10,median,2,,NOISE_DOMINATED,late,0,0,39589.5,0.0,,,
P2a_mobility_slope,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.2874187256829462, 0.5606205767104946, 0.3363324629650449, -0.48991624418183755, -0.8317607025562984, 0.6535248166898456, 0.060567108175659766, -0.5957786509445588, -0.64780454406473, -0.6572148585043976]",-0.3886674849323919,-0.8197941231406242,0.5187086592713589,-0.64780454406473,0.3363324629650449,0.303746277748337,0.3842,3.4438249514101074,1,6158,0.75390625,10,median,2,,NO_SCALING,early,0,0,2292.5,0.0,,,
P2b_drift_to_noise,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-6.79582224980808e-07, -2.8320679364658424e-06, -3.683400170726919e-06, -3.047154480344596e-06, -1.8314203922454803e-06, -2.6320866809133714e-06, -1.0915234777960456e-06, -8.61614917770956e-06, -3.7789249106811812e-06, -2.207288442805116e-06]",-2.7320773086896067e-06,-3.111282773010952e-06,-2.5330533525373104e-06,-3.683400170726919e-06,-1.829530509457454e-06,2.9997188332870644e-07,0.3731,0.21164460413859199,1,6269,0.001953125,10,median,2,,NOISE_DOMINATED,early,0,0,2292.5,0.0,,,
P2a_mobility_slope,R_none,,relu,q2,single_arm,REPORT_ONLY,percentile,,,,,,,,,,"[-0.5250039841916933, -0.4932265726643829, -0.3121878786914801, -0.5478737822890736, -0.31663862597285874, -0.648401222291877, -0.28269319784249325, -0.3135683689140342, -0.6193061898264725, -0.44556215242565794]",-0.4693943625450204,-2.8646936786268697,-0.3296625557524747,-0.5562663812454277,-0.3135683689140342,0.07149663035808745,0.3771,5.400642455801236,1,6229,0.001953125,10,median,2,,PARTIAL_SCALING,all,0,0,332292.0,0.0,,,
