arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA3,2,0.001,35,none,0.5077333333,0.728333354,0.728333354,0,0,-26.19008827,12.37305927,-132.6319733,-0.01080351509,1.287228037,0,0,-230.3218231,75.41637421,-12545.91699,-0.001079537091,10.92285848,43.37333679,31.13892937,100.3410339,0.2496316731,0.008958400227,0.4639940262,0,3,0.03918112069,0.001000000047,0.2285640538,0.009999999776,3
SWA3,2,0.001,36,none,0.474675,0.6933333278,0.6933333278,0,0,-23.35107803,13.0480938,-144.1049194,-0.005830396898,1.436525048,0,0,-3797.192139,1044.955811,-15094.41992,-0.001402485883,12.14795619,45.70747375,37.29986572,101.1055298,0.2352179587,0.006193828769,0.426987201,0,3,0.002956117503,0.001000000047,0.09716438502,0.1099999994,3
SWA3,2,0.001,37,none,0.44265,0.6041666865,0.6041666865,0,0,-37.94231796,19.05821419,-163.3937531,-0.002038716804,1.38399206,0,0,-6353.405273,1658.989868,-19307.29102,-0.001679680892,9.022606478,50.45158386,38.02300644,98.97903442,0.1624562144,0.004858665634,0.3325741291,0,3,0.001776958583,0.001000000047,0.0961483717,0.2300000042,3
SWA3,2,0.001,38,none,0.4236541667,0.6816666722,0.6816666722,0,0,-29.39346695,18.10009575,-203.0823975,0.006778724957,1.444523288,0,0,-10356.74414,2941.23877,-22157.48047,-0.001826302381,6.169193003,52.65296173,40.6672821,97.39554596,0.1708243489,0.003769682022,0.3562117517,0,3,0.001052617794,0.001000000047,0.03918532282,0.4199999869,3.000000238
SWA3,2,0.001,39,none,0.4728375,0.6708333492,0.6708333492,0,0,-35.24172211,20.08298492,-199.5950623,-0.003904243,1.378581041,0,0,-10404.11816,2863.936279,-23262.54102,-0.00150711555,5.351155107,56.68361664,40.77079773,97.20670319,0.1541845948,0.003761543427,0.2867900431,0,3,0.001075799577,0.001000000047,0.03898862749,0.400000006,3
SWA3,2,0.001,40,none,0.4588333333,0.6191666722,0.6191666722,0,0,-37.35113144,19.17806053,-204.2004395,0.0003029925574,1.428859553,0,0,-9879.253906,2602.584961,-22867.26953,-0.00110918167,4.932338707,59.20772171,41.01802063,97.20987701,0.1566201746,0.004120440222,0.2820643187,0,3,0.001185088884,0.001000000047,0.02770204842,0.3600000143,3
SWA3,2,0.001,41,none,0.4782854167,0.6266666651,0.6266666651,0,0,-37.75234222,20.56847,-235.01651,-2.663483247e-05,1.531919955,0,0,-9045.532227,2357.419678,-20468.85352,-0.0008677987498,5.868446843,61.55176163,42.35412979,97.31851959,0.1510275006,0.004658769816,0.3020084798,0,3,0.001317337621,0.001000000047,0.0246174261,0.25,3
SWA3,2,0.001,42,none,0.4582520833,0.6374999881,0.6374999881,0,0,-37.28404999,20.31178093,-263.102478,0.0008648515795,1.592268203,0,0,-8291.976562,2157.211182,-18979.09375,-0.0008288274985,7.21682783,63.86426926,43.48721695,97.7957077,0.1519699246,0.005042579025,0.3139044344,0,3,0.001428518444,0.001000000047,0.02255017683,0.200000003,3
SWA3,2,0.001,43,none,0.4432604167,0.6108333468,0.6108333468,0,0,-39.04637909,20.59830284,-233.0356445,-0.002494776854,1.568290294,0,0,-8004.013184,2053.666016,-18272.26367,-0.0007525171968,8.283893224,64.64804077,44.20487595,96.78612518,0.1489393413,0.005415965803,0.2736586928,0,3,0.001497366698,0.001000000047,0.0252199471,0.1700000018,3
SWA3,2,0.001,44,none,0.44454375,0.6266666651,0.6266666651,0,0,-41.78914642,21.13580132,-214.4515686,-0.003928110003,1.534859709,0,0,-8360.985352,2079.007324,-18606.43359,-0.0007564132684,7.670718957,66.87115479,44.64232635,96.51459503,0.1446098089,0.005476686172,0.2381993234,0,3,0.001490115654,0.001000000047,0.02741679177,0.200000003,3
SWA3,2,0.001,45,none,0.4526604167,0.6408333182,0.6408333182,0,0,-47.2037735,23.2563324,-219.7897644,-0.003715960076,1.574613174,0,0,-7886.066895,1999.937378,-18009.81445,-0.0007929037674,8.339312021,69.74910736,45.52825928,95.79102325,0.1320573688,0.005649864674,0.2497730553,0,3,0.001549785957,0.001000000047,0.0333545953,0.1299999952,3
SWA3,2,0.001,46,none,0.4374729167,0.584166646,0.584166646,0,0,-50.1953392,24.91563606,-228.2434082,-0.004793022294,1.579771427,0,0,-7807.09082,1944.449585,-17587.71094,-0.0007894554874,8.049875134,71.61882782,46.27893448,95.69962311,0.1240494996,0.00581443822,0.2369375527,0,3,0.001562591759,0.001000000047,0.03075365536,0.1400000006,3
SWA3,2,0.001,47,none,0.4316229167,0.5966666937,0.5966666937,0,0,-60.12800598,25.97915268,-220.0713806,-0.00552831497,1.538071299,0,0,-6995.629883,1745.567383,-16606.79883,-0.0008264168864,8.039648594,73.10036469,47.06008148,94.34737396,0.1179229841,0.006176556461,0.2581717968,0,3,0.00171159755,0.001000000047,0.03565466031,0.1599999964,3
SWA3,2,0.001,48,none,0.4070333333,0.5891666412,0.5891666412,0,0,-61.38819504,26.64790726,-223.4550476,-0.006337375846,1.533458999,0,0,-7345.706055,1827.774536,-16608.23828,-0.0008889550809,8.016636999,74.21494293,47.74092865,94.87818146,0.1155365855,0.006251324899,0.2492809296,0,3,0.001628467231,0.001000000047,0.04073939472,0.1599999964,3
SWA3,2,0.001,49,none,0.40896875,0.5224999785,0.5224999785,0,0,-63.03500748,27.27554703,-195.0493011,-0.007065713406,1.528421314,0,0,-7247.910156,1882.249146,-17196.71289,-0.0009041498997,8.079137683,76.96714783,47.82546997,94.76335144,0.113052547,0.006288196892,0.4266855419,0,3,0.001623885473,0.001000000047,0.03054398671,0.1700000018,3
SWA3,2,0.001,50,none,0.4008583333,0.5541666746,0.5541666746,0,0,-64.21684265,28.37518692,-204.5154419,-0.007665453944,1.499178913,0,0,-7403.017578,1870.992798,-16815.64844,-0.0008644866175,8.109851509,78.10247803,48.23382187,94.35157013,0.1078863591,0.006393391639,0.2595919967,0,3,0.001647206256,0.001000000047,0.02199759521,0.1700000018,3
