seed,arm,type,reasons,omega_compatible,B,W,D,Z,pair
0,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.9875915625000001,0.49414218748999994,0.4934493750100002,-1.8284713611645003,B_ROUTE_DELAY
0,CHB,HOLDS,RESPONSE_ERODING,False,0.98763135416,0.9904123958450002,-0.002781041685000152,-0.005552650921687821,B_ROUTE_DELAY
1,CH,UNCLASSIFIED,RESPONSE_ERODING|EXCESS_DROP,False,0.987279166675,0.808568229165,0.17871093751,-1.1076302797382085,INCONCLUSIVE
1,CHB,HOLDS,RESPONSE_ERODING,False,0.985701041665,0.989246041675,-0.00354500000999991,-0.0024335980224124355,INCONCLUSIVE
2,CH,COLLAPSE,RESPONSE_ERODING|DEPTH_ONLY,False,0.9860970833300001,0.508233854165,0.4778632291650001,-1.6572392063562318,B_ROUTE_DELAY
2,CHB,HOLDS,RESPONSE_ERODING,False,0.98352708333,0.9911376041700001,-0.0076105208400000235,-0.00925690831715519,B_ROUTE_DELAY
3,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.9868928125,0.429228125,0.5576646875,-2.008692712220953,B_ROUTE_DELAY
3,CHB,HOLDS,RESPONSE_ERODING,False,0.9834092708250001,0.987516562505,-0.004107291679999903,-0.0024362355276347125,B_ROUTE_DELAY
4,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.9867548958350001,0.42363260418,0.563122291655,-1.9094694206126435,B_ROUTE_DELAY
4,CHB,HOLDS,RESPONSE_ERODING,False,0.9861184375000001,0.9913346874899999,-0.0052162499899998105,-0.008557409308557539,B_ROUTE_DELAY
5,CH,UNCLASSIFIED,RESPONSE_ERODING|EXCESS_DROP,False,0.986485000015,0.7073516666599999,0.279133333355,-1.2213566004477034,INCONCLUSIVE
5,CHB,HOLDS,RESPONSE_ERODING,False,0.9850856250000002,0.9910883333250002,-0.00600270832500005,-0.00899300864348356,INCONCLUSIVE
6,CH,UNCLASSIFIED,RESPONSE_ERODING|EXCESS_DROP,False,0.9866829166650002,0.68069875,0.30598416666500017,-1.2394141109199674,INCONCLUSIVE
6,CHB,HOLDS,RESPONSE_ERODING,False,0.9879784375,0.9915097916600001,-0.0035313541600000553,-0.01073554687206284,INCONCLUSIVE
7,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.986651041655,0.4325423958300001,0.5541086458249999,-1.835449736557436,B_ROUTE_DELAY
7,CHB,HOLDS,RESPONSE_ERODING,False,0.9884058333250001,0.9912709374999998,-0.002865104174999744,-0.008301653575830297,B_ROUTE_DELAY
8,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.98784833332,0.37520781249999996,0.6126405208200001,-2.0879384693843788,B_ROUTE_DELAY
8,CHB,HOLDS,RESPONSE_ERODING,False,0.98504010417,0.9907465625049999,-0.005706458334999942,-0.006938015036633187,B_ROUTE_DELAY
9,CH,COLLAPSE,RESPONSE_ERODING|BOTH,False,0.9865276041650001,0.4222087500000001,0.5643188541649999,-2.2928890996990625,B_ROUTE_DELAY
9,CHB,HOLDS,RESPONSE_ERODING,False,0.984519687495,0.9900133333249999,-0.005493645829999894,-0.005059906829963223,B_ROUTE_DELAY
