step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac,p_zero_frac,p_zero_persist_frac
3000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.5435,12.6669,0.186963,0.503759,0,0.0161893,2.6726,0.00605752,15.9517,0.202165,4.94646,4.94646,0,0.202105,-0.0580671,nan,0.0811161,-0.157761,-0.045799,-0.112839,-0.128046,0.4445,0.484725,nan,nan,0,nan
3000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.7243,14.248,0.149548,0.495489,0,0.0125746,3.4513,0.00364342,17.1451,0.128355,7.7909,7.7909,0,0.203771,-0.0146487,nan,0.0884473,-0.130295,-0.0129514,-0.087794,-0.108635,0.4565,0.49525,nan,nan,0,nan
4000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7688,13.8566,0.166454,0.502256,0,0.0194188,5.03989,0.00385301,16.4268,0.150637,6.63848,6.63848,0,0.249737,-0.0821094,nan,0.0859215,-0.162869,-0.0659706,-0.128652,-0.132999,0.442,0.47315,nan,nan,0,nan
4000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.7597,13.9223,0.168898,0.493985,0,0.0147391,3.46783,0.00425025,15.9292,0.145976,6.85044,6.85044,0,0.194818,-0.0757027,nan,0.0925088,-0.172282,-0.05909,-0.132418,-0.146279,0.439,0.479375,nan,nan,0,nan
4000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.5913,13.4664,0.168716,0.500501,0,0.0223433,4.51591,0.00494768,16.4225,0.166894,5.99182,5.99182,0,0.234597,-0.0695466,nan,0.0967447,-0.214907,-0.0537329,-0.111345,-0.165632,0.4425,0.479025,nan,nan,0,nan
4000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.5885,13.0151,0.175368,0.491729,0,0.0245532,4.75352,0.00516527,15.8386,0.18772,5.32708,5.32708,0,0.300331,-0.0603253,nan,0.11913,-0.191271,-0.0498799,-0.138674,-0.157194,0.4405,0.483825,nan,nan,0,nan
4000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.7224,14.1405,0.147514,0.493985,0,0.0565773,7.80248,0.00725119,17.1303,0.126794,7.8868,7.8868,0,0.271588,-0.0135767,nan,0.146791,-0.158001,-0.0142462,-0.103799,-0.13537,0.4455,0.494825,nan,nan,0,nan
5000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.677,12.7905,0.176259,0.487719,0,0.0475504,7.25071,0.00655804,16.1654,0.182776,5.47117,5.47117,0,0.232519,-0.0837147,nan,0.0944623,-0.185019,-0.0695724,-0.128923,-0.164288,0.4265,0.4713,nan,nan,0,nan
5000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.8125,13.9398,0.165879,0.489975,0,0.0422073,5.44743,0.00774812,16.0316,0.145063,6.89355,6.89355,0,0.265287,-0.0738257,nan,0.110211,-0.218659,-0.0584747,-0.163569,-0.183482,0.4225,0.478,nan,nan,0,nan
5000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.659,13.6411,0.172329,0.5,0,0.0192923,3.66939,0.00525763,16.5049,0.156967,6.37077,6.37077,0,0.212892,-0.0873009,nan,0.0931554,-0.222927,-0.06876,-0.141233,-0.17476,0.44,0.474275,nan,nan,0,nan
5000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.488,12.485,0.175918,0.488471,0,0.048329,6.31776,0.0076497,16.0083,0.178382,5.60596,5.60596,0,0.219481,-0.0582778,nan,0.141866,-0.225761,-0.0516852,-0.164009,-0.186999,0.425,0.482175,nan,nan,0,nan
5000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.8367,14.4419,0.144748,0.499749,0,0.0204739,4.05019,0.00505504,17.2209,0.1325,7.54717,7.54717,0,0.188887,-0.0209857,nan,0.136834,-0.177036,-0.0176377,-0.134632,-0.158135,0.4355,0.492725,nan,nan,0,nan
6000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7793,13.4989,0.175281,0.488221,0,0.013807,4.32181,0.00319473,16.5417,0.163523,6.11536,6.11536,0,0.225079,-0.107489,nan,0.0865168,-0.239367,-0.0908606,-0.182849,-0.196338,0.4015,0.461375,nan,nan,0,nan
6000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.8279,13.8215,0.169697,0.489223,0,0.0418113,6.62688,0.00630935,15.9069,0.152112,6.57411,6.57411,0,0.245308,-0.0725368,nan,0.100715,-0.253134,-0.0580684,-0.162946,-0.21047,0.407,0.4772,nan,nan,0,nan
6000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7497,13.7727,0.167614,0.493484,0,0.025049,5.18322,0.00483272,16.6229,0.155469,6.43214,6.43214,0,0.202541,-0.0858134,nan,0.122092,-0.240248,-0.0678173,-0.146988,-0.193688,0.4295,0.473375,nan,nan,0,nan
6000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.6402,13.1403,0.173241,0.488972,0,0.017064,3.68268,0.00463358,15.9266,0.172127,5.80968,5.80968,0,0.191346,-0.0690647,nan,0.123157,-0.216119,-0.0589371,-0.172194,-0.188879,0.422,0.47775,nan,nan,0,nan
6000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.7295,13.8935,0.157748,0.492481,0,0.0232068,4.71247,0.00492454,17.1276,0.159577,6.26656,6.26656,0,0.22276,-0.0200432,nan,0.160109,-0.193075,-0.0183299,-0.128912,-0.175936,0.4375,0.4933,nan,nan,0,nan
7000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7235,13.2325,0.1722,0.488722,0,0.0784935,11.7452,0.00668304,16.0048,0.157199,6.36138,6.36138,0,0.275933,-0.111048,nan,0.110224,-0.266119,-0.0960914,-0.198289,-0.218617,0.4055,0.458775,nan,nan,0,nan
7000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.9233,14.0928,0.169321,0.493233,0,0.0186714,4.47183,0.00417533,16.0684,0.155751,6.42051,6.42051,0,0.187537,-0.0838283,nan,0.108652,-0.237152,-0.0683741,-0.175905,-0.204525,0.4165,0.47435,nan,nan,0,nan
7000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.825,13.8788,0.167936,0.492231,0,0.0274296,5.70176,0.00481072,16.7092,0.15176,6.58937,6.58937,0,0.192848,-0.102768,nan,0.122275,-0.246172,-0.0847919,-0.15722,-0.200846,0.4315,0.4664,nan,nan,0,nan
7000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.6771,13.2005,0.175251,0.488221,0,0.0218006,4.45525,0.00489322,16.0069,0.167543,5.96863,5.96863,0,0.238989,-0.0812778,nan,0.1248,-0.248262,-0.0715751,-0.18581,-0.218066,0.4105,0.473275,nan,nan,0,nan
7000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.7631,13.8492,0.163734,0.497995,0,0.0179171,3.7039,0.00483737,16.8792,0.148601,6.72945,6.72945,0,0.20867,-0.0378435,nan,0.153009,-0.211898,-0.0324879,-0.139541,-0.195737,0.4355,0.486025,nan,nan,0,nan
8000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7442,13.0934,0.171946,0.491479,0,0.0233521,5.55425,0.00420437,16.221,0.153251,6.52524,6.52524,0,0.246131,-0.131666,nan,0.123805,-0.271858,-0.118687,-0.211665,-0.274923,0.3735,0.450775,nan,nan,0,nan
8000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.8961,13.7341,0.175575,0.487218,0,0.0533261,7.73719,0.00689217,16.1987,0.168063,5.95015,5.95015,0,0.232568,-0.0927683,nan,0.110019,-0.278437,-0.0767848,-0.177484,-0.24268,0.401,0.471575,nan,nan,0,nan
8000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7803,13.9992,0.159592,0.493734,0,0.0235982,6.70804,0.0035179,16.9205,0.143968,6.94601,6.94601,0,0.221176,-0.10299,nan,0.141958,-0.244037,-0.0868626,-0.180937,-0.197885,0.413,0.465675,nan,nan,0,nan
8000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.6822,13.4253,0.171566,0.485714,0,0.0166565,4.56922,0.00364537,16.0886,0.162296,6.16157,6.16157,0,0.225189,-0.0823052,nan,0.141464,-0.276226,-0.0737798,-0.208721,-0.252206,0.3975,0.472125,nan,nan,0,nan
8000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.7355,13.6332,0.164656,0.489223,0,0.0279465,6.86453,0.00407114,16.6981,0.152109,6.57423,6.57423,0,0.197518,-0.0308978,nan,0.150019,-0.201899,-0.0262755,-0.162226,-0.178012,0.4205,0.48965,nan,nan,0,nan
9000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7836,13.4439,0.168393,0.487469,0,0.0271671,4.61393,0.00588806,16.3601,0.165907,6.02747,6.02747,0,0.2312,-0.133902,nan,0.118635,-0.282485,-0.121886,-0.22148,-0.289962,0.366,0.451125,nan,nan,0,nan
9000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.6949,12.5628,0.177352,0.486717,0,0.0563777,8.31213,0.00678258,16.1162,0.17109,5.84487,5.84487,0,0.247957,-0.0780672,nan,0.165495,-0.277542,-0.068667,-0.197262,-0.246658,0.402,0.473925,nan,nan,0,nan
9000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.6618,12.6192,0.188107,0.496241,0,0.0224376,5.88719,0.00381126,16.5481,0.217669,4.59412,4.59412,0,0.19407,-0.0857438,nan,0.153644,-0.311303,-0.0731266,-0.228759,-0.250981,0.4,0.47215,nan,nan,0,nan
9000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.6716,13.0784,0.17806,0.496742,0,0.0388395,8.16585,0.00475633,15.7726,0.21437,4.66484,4.66484,0,0.216474,-0.0803491,nan,0.11988,-0.242362,-0.0719158,-0.184079,-0.23729,0.4025,0.473825,nan,nan,0,nan
9000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.8719,14.3475,0.152523,0.494236,0,0.0229036,8.12565,0.00281868,16.8544,0.146552,6.82354,6.82354,0,0.228158,-0.0420952,nan,0.131288,-0.206759,-0.0351852,-0.145864,-0.189162,0.425,0.4878,nan,nan,0,nan
10000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7896,13.4614,0.171146,0.487719,0,0.0270779,5.26504,0.00514297,16.3946,0.167631,5.9655,5.9655,0,0.181062,-0.132429,nan,0.116445,-0.310917,-0.124192,-0.251179,-0.329424,0.3515,0.449475,nan,nan,0,nan
10000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.7311,13.0536,0.174989,0.489724,0,0.0311787,7.87914,0.00395712,16.2944,0.166951,5.98979,5.98979,0,0.288635,-0.0944991,nan,0.162555,-0.337757,-0.084747,-0.223842,-0.313521,0.3715,0.462725,nan,nan,0,nan
10000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7709,13.2723,0.187233,0.49198,0,0.0179045,4.74674,0.00377195,16.7502,0.202781,4.93143,4.93143,0,0.208544,-0.0891865,nan,0.145398,-0.350984,-0.0740337,-0.191256,-0.281789,0.383,0.4708,nan,nan,0,nan
10000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.7372,13.6422,0.171663,0.5,0,0.0125654,4.13858,0.00303617,16.078,0.187658,5.32885,5.32885,0,0.192633,-0.0935435,nan,0.132553,-0.266266,-0.0850646,-0.192435,-0.247313,0.394,0.470475,nan,nan,0,nan
10000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.9921,14.8411,0.15264,0.488722,0,0.0475946,7.00176,0.00679752,16.7073,0.135229,7.39487,7.39487,0,0.244807,-0.0673666,nan,0.125213,-0.230582,-0.0583421,-0.180512,-0.190329,0.4225,0.48145,nan,nan,0,nan
11000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7859,13.5237,0.164014,0.484211,0,0.0253349,5.88826,0.00430261,16.2155,0.157204,6.36115,6.36115,0,0.193394,-0.129361,nan,0.119698,-0.332871,-0.122953,-0.235482,-0.359364,0.3445,0.448975,nan,nan,0,nan
11000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.8656,13.5922,0.167135,0.485213,0,0.0243186,7.76031,0.00313372,16.1972,0.151878,6.58422,6.58422,0,0.21915,-0.102834,nan,0.167466,-0.327716,-0.0933244,-0.265654,-0.269206,0.3885,0.460375,nan,nan,0,nan
11000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7404,13.3054,0.17951,0.499749,0,0.0315328,6.18855,0.00509535,16.6046,0.195524,5.11445,5.11445,0,0.220667,-0.0845644,nan,0.149756,-0.355603,-0.0712063,-0.213504,-0.322294,0.3855,0.469625,nan,nan,0,nan
11000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.7895,13.6386,0.171264,0.493985,0,0.0371269,7.9191,0.00468828,16.3591,0.165061,6.05838,6.05838,0,0.228784,-0.101737,nan,0.135431,-0.249876,-0.0947256,-0.209762,-0.229614,0.401,0.46595,nan,nan,0,nan
11000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.9412,13.9243,0.159427,0.492481,0,0.0486279,8.21408,0.00592007,17.1238,0.168632,5.93007,5.93007,0,0.301105,-0.0709318,nan,0.125801,-0.234194,-0.0657047,-0.178919,-0.219646,0.4125,0.47545,nan,nan,0,nan
12000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.8993,14.1624,0.148622,0.486216,0,0.0248427,4.6633,0.00532728,16.4958,0.149961,6.6684,6.6684,0,0.197027,-0.129667,nan,0.126685,-0.344626,-0.125883,-0.242838,-0.379833,0.329,0.44975,nan,nan,0,nan
12000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.7259,13.0562,0.175127,0.488722,0,0.0221138,5.38593,0.00410585,16.0659,0.160765,6.22025,6.22025,0,0.195812,-0.0998614,nan,0.173154,-0.382281,-0.0927633,-0.286671,-0.356617,0.358,0.46145,nan,nan,0,nan
12000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7497,13.0974,0.185893,0.492231,0,0.0233031,4.94667,0.00471087,16.6674,0.206907,4.8331,4.8331,0,0.174652,-0.0823317,nan,0.125096,-0.317194,-0.0694634,-0.172404,-0.281322,0.3995,0.473725,nan,nan,0,nan
12000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.7575,13.3235,0.169361,0.497995,0,0.0280147,4.38176,0.00639348,16.5043,0.168918,5.92002,5.92002,0,0.148683,-0.104608,nan,0.144431,-0.270608,-0.0991186,-0.23622,-0.256512,0.392,0.463675,nan,nan,0,nan
12000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.9596,14.1569,0.152838,0.490977,0,0.0110529,3.62524,0.00304888,17.0892,0.145873,6.85529,6.85529,0,0.172466,-0.0729889,nan,0.128817,-0.247976,-0.0678443,-0.196832,-0.220448,0.401,0.4729,nan,nan,0,nan
13000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.6376,12.2435,0.176854,0.499248,0,0.05079,8.54963,0.00594062,16.1998,0.210247,4.75632,4.75632,0,0.218068,-0.123435,nan,0.151748,-0.358862,-0.122721,-0.28032,-0.382893,0.3295,0.451525,nan,nan,0,nan
13000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.6501,13.3585,0.164167,0.490977,0,0.0213725,6.00122,0.00356136,16.2799,0.164726,6.0707,6.0707,0,0.220975,-0.0976441,nan,0.192808,-0.381984,-0.0919405,-0.314849,-0.361831,0.366,0.461675,nan,nan,0,nan
13000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.6334,13.0483,0.181389,0.504511,0,0.0638032,9.31013,0.00685309,16.622,0.182941,5.46623,5.46623,0,0.282168,-0.0845635,nan,0.153308,-0.313287,-0.0764862,-0.21199,-0.280645,0.3985,0.469225,nan,nan,0,nan
13000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.8749,13.7249,0.16758,0.488471,0,0.0149234,4.12061,0.00362164,16.4502,0.172954,5.78188,5.78188,0,0.180814,-0.111443,nan,0.144937,-0.281148,-0.108262,-0.25457,-0.296117,0.39,0.461325,nan,nan,0,nan
13000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.9212,14.0703,0.157428,0.486717,0,0.0169768,5.29571,0.00320576,16.9163,0.156233,6.40069,6.40069,0,0.195908,-0.0839297,nan,0.135898,-0.233739,-0.0798921,-0.213238,-0.234079,0.3985,0.46715,nan,nan,0,nan
14000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7117,12.8379,0.174328,0.491479,0,0.0170925,4.69077,0.00364386,16.2073,0.176892,5.65318,5.65318,0,0.153825,-0.123262,nan,0.136795,-0.400025,-0.12371,-0.286832,-0.447354,0.309,0.452675,nan,nan,0,nan
14000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.7197,13.2396,0.172457,0.484211,0,0.0313781,6.23575,0.00503197,16.1804,0.181699,5.50359,5.50359,0,0.219228,-0.0879226,nan,0.181592,-0.403602,-0.0837372,-0.26938,-0.394106,0.3555,0.468175,nan,nan,0,nan
14000,B_w20_K1000_c0.0_lr0.01_s2,0,0,0,17.7305,13.4761,0.179085,0.500251,0,0.0123839,3.94221,0.00314137,16.7329,0.181734,5.50254,5.50254,0,0.188008,-0.105263,nan,0.144074,-0.344181,-0.0947954,-0.228438,-0.317654,0.38,0.461675,nan,nan,0,nan
14000,B_w20_K1000_c0.0_lr0.01_s3,0,0,0,17.7393,13.3047,0.172921,0.491479,0,0.0283262,7.39846,0.00382866,16.2205,0.168217,5.94471,5.94471,0,0.207084,-0.102337,nan,0.166266,-0.29827,-0.101425,-0.255968,-0.328587,0.3725,0.46275,nan,nan,0,nan
14000,B_w20_K1000_c0.0_lr0.01_s4,0,0,0,17.865,13.8299,0.162794,0.485965,0,0.0286846,6.05848,0.00473462,16.8878,0.151664,6.5935,6.5935,0,0.215182,-0.0778402,nan,0.150145,-0.245999,-0.0752631,-0.215847,-0.258933,0.3985,0.472,nan,nan,0,nan
