seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
0,RL,10,2,A,11,0,5.665879726409912,0.09083333611488342,,
0,RL,10,2,B20,11,0,5.665879726409912,0.09083333611488342,,
0,RL,10,2,C20,11,0,12.329854965209961,0.1041666716337204,,
0,RL,10,2,D20,11,0,12.329854965209961,0.1041666716337204,,
0,RL,10,2,C5,11,0,9.781389236450195,0.10916666686534882,,
0,RL,10,2,D5,11,0,9.781389236450195,0.10916666686534882,,
0,RL,10,2,C10,11,0,12.329854965209961,0.1041666716337204,,
0,RL,10,2,D10,11,0,12.329854965209961,0.1041666716337204,,
0,RL,10,2,RB20,11,0,5.665879726409912,0.09083333611488342,,
0,RL,10,2,RC20,11,0,29.356067657470703,0.10916666686534882,,
0,RL,10,2,RD20,11,0,29.356067657470703,0.10916666686534882,,
1,RL,10,2,A,11,0,3.7064974308013916,0.09333333373069763,,
1,RL,10,2,B20,11,0,3.7064974308013916,0.09333333373069763,,
1,RL,10,2,C20,11,0,18.894250869750977,0.08666666597127914,,
1,RL,10,2,D20,11,0,18.894250869750977,0.08666666597127914,,
1,RL,10,2,C5,11,0,10.653470039367676,0.08666666597127914,,
1,RL,10,2,D5,11,0,10.653470039367676,0.08666666597127914,,
1,RL,10,2,C10,11,0,16.706321716308594,0.0741666704416275,,
1,RL,10,2,D10,11,0,16.706321716308594,0.0741666704416275,,
1,RL,10,2,RB20,11,0,3.7064974308013916,0.09333333373069763,,
1,RL,10,2,RC20,11,0,37.08419418334961,0.09083333611488342,,
1,RL,10,2,RD20,11,0,37.08419418334961,0.09083333611488342,,
2,RL,10,2,A,11,0,5.851452827453613,0.09583333879709244,,
2,RL,10,2,B20,11,0,5.851452827453613,0.09583333879709244,,
2,RL,10,2,C20,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,D20,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,C5,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,D5,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,C10,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,D10,11,0,12.345829963684082,0.09750000387430191,,
2,RL,10,2,RB20,11,0,5.851452827453613,0.09583333879709244,,
2,RL,10,2,RC20,11,0,18.910268783569336,0.09750000387430191,,
2,RL,10,2,RD20,11,0,18.910268783569336,0.09750000387430191,,
0,RL,10,2,A,11,75,2.328238010406494,0.10083333402872086,3.088550567626953,0.09916666895151138
0,RL,10,2,B20,11,75,2.326448678970337,0.10083333402872086,3.08713436126709,0.10083333402872086
0,RL,10,2,C20,11,75,2.374908208847046,0.10249999910593033,3.8886353969573975,0.11083333939313889
0,RL,10,2,D20,11,75,2.5782690048217773,0.09833333641290665,4.353251934051514,0.09750000387430191
0,RL,10,2,C5,11,75,2.3732500076293945,0.10000000149011612,3.7454440593719482,0.10249999910593033
0,RL,10,2,D5,11,75,2.559321403503418,0.09916666895151138,4.130484580993652,0.10166666656732559
0,RL,10,2,C10,11,75,2.374908208847046,0.10249999910593033,3.8886353969573975,0.11083333939313889
