arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_c1,zeroout_c1,zbar_c1,zsd_c1,zbar_min_c1,mob_c1,mob_pool_c1,eff_rank_c1,dead_frac_c2,zeroout_c2,zbar_c2,zsd_c2,zbar_min_c2,mob_c2,mob_pool_c2,eff_rank_c2,dead_frac_f1,zeroout_f1,zbar_f1,zsd_f1,zbar_min_f1,mob_f1,eff_rank_f1,dead_frac_f2,zeroout_f2,zbar_f2,zsd_f2,zbar_min_f2,mob_f2,eff_rank_f2,w_norm_c1,w_norm_c2,w_norm_f1,w_norm_f2,w_norm_f3,alpha_med_c1,alpha_min_c1,alpha_max_c1,alpha_clip_frac_c1,two_alpha_W_med_c1,alpha_med_c2,alpha_min_c2,alpha_max_c2,alpha_clip_frac_c2,two_alpha_W_med_c2,alpha_med_f1,alpha_min_f1,alpha_max_f1,alpha_clip_frac_f1,two_alpha_W_med_f1,alpha_med_f2,alpha_min_f2,alpha_max_f2,alpha_clip_frac_f2,two_alpha_W_med_f2
SNAc3,1,0.001,1,none,0.9644770833,1,1,0,0,-0.09576716274,0.1490165591,-0.3759038746,0.5908878446,0.790299654,12.63198988,0,0,-0.3020520508,0.2700854838,-0.3837861121,0.609769702,0.6342888474,14.18096917,0,0,-0.02707415074,0.6444510818,-0.6748979092,0.9604567885,77.42158913,0,0,0.379883796,1.454920888,-0.9578422308,0.9948888421,39.69862639,0.6851631403,1.364480972,2.467708588,1.203645825,1.87095356,3,3,3,1,0.8887650967,3,3,3,1,1.611996651,3,2.926761866,3,0.9799999595,3.750293732,2.129531145,1.540738583,3,0.009999999776,6
SNAc3,1,0.001,2,none,0.96783125,1,1,0,0,-0.1147274449,0.1316545606,-0.2552497983,0.6217322946,0.814073205,13.15079476,0,0,-0.315430522,0.2573774457,-0.3952213824,0.5869573951,0.5946128368,14.25926216,0,0,-0.1894948781,0.6017426848,-2.091329575,0.9723205566,67.34493895,0,0,0.1747611165,1.577108264,-3.798410654,0.9910882711,35.42566429,0.7330161929,1.68202579,3.034669399,1.436878324,2.091045141,3,3,3,1,0.787827909,3,3,3,1,1.536287427,3,2.227177143,3,0.9899999499,3.465607166,1.967578053,1.548181772,3,0.009999999776,6
SNAc3,1,0.001,3,none,0.9647333333,1,1,0,0,-0.1337258667,0.1402655542,-0.3712805808,0.5563333631,0.7489910126,12.92125209,0,0,-0.3119592369,0.2560607791,-0.4710709751,0.6142247915,0.6114208698,14.05405901,0,0,-0.142866239,0.645827353,-1.942378759,0.9759184718,70.16764569,0,0,0.2555029988,1.686485171,-3.04719162,0.9986285567,38.81333719,0.7551755905,1.877920985,3.499389648,1.505342245,1.967201471,3,3,3,1,0.8372331858,3,3,3,1,1.535940886,3,1.974266768,3,0.9799999595,3.747574329,1.834072113,1.502749443,2.818734407,0,6
SNAc3,1,0.001,4,none,0.9637770833,1,1,0,0,-0.1004768685,0.1385549605,-0.2614727318,0.6368785501,0.8485777974,13.40447527,0,0,-0.3746706247,0.2870928049,-0.5183788538,0.6697903872,0.570035398,14.04994157,0,0,-0.1562646627,0.8004635572,-2.690084457,0.9875303507,71.17924474,0,0,-0.5607504249,2.046631813,-4.776397705,1.000821114,40.61346203,0.8324651718,2.147600651,3.939219713,1.571219683,1.727702379,3,3,3,1,0.8231400847,3,3,3,1,1.720088005,3,1.854519844,3,0.9499999881,4.63756752,1.503656745,1.034341335,2.492465973,0,6
SNAc3,1,0.001,5,none,0.96544375,1,1,0,0,-0.1441224217,0.1453662515,-0.2952850759,0.4620828331,0.6128063202,12.80598958,0,0,-0.3587985337,0.2856046259,-0.5113031864,0.6795570254,0.5704595447,14.1264175,0,0,-0.1610159576,0.8899199963,-2.963304996,0.9834212661,72.50879546,0,0,-0.03792437166,2.282562256,-4.352387428,1.005533934,41.48538146,0.8592506051,2.299951792,4.347413063,1.658149004,1.781390548,3,3,3,1,0.8704146147,3,3,3,1,1.711187601,3,1.653040767,3,0.8700000048,5.173574448,1.359799385,0.7713501453,2.031908035,0,6
SNAc3,1,0.001,6,none,0.95404375,1,1,0,0,-0.1704450399,0.1484307796,-0.2475988865,0.491161108,0.7165904641,13.25667386,0,0,-0.4279053211,0.3364832103,-0.5421844721,0.7507698536,0.639629364,14.31617294,0,0,-0.1614135057,1.270660281,-2.411493301,0.9954271913,78.18191929,0,0,0.2284868211,3.259750605,-2.850070953,1.002713084,47.09462123,0.9719042182,2.625430584,4.881420612,1.66785121,1.56246376,3,3,3,1,0.8889507055,3,3,3,1,2.014360905,2.442276716,1.009338617,2.908863068,0,6,0.9469232559,0.5050690174,1.397525787,0,6
SNAc3,1,0.001,7,none,0.9710333333,1,1,0,0,-0.1762670875,0.1571285874,-0.4125851989,0.46305269,0.5786747336,12.65814459,0,0,-0.4068737924,0.3110190928,-0.5840958953,0.7054835558,0.6101149917,14.17526853,0,0,-0.2440135032,1.167363763,-5.786257267,0.9902935028,75.9412325,0,0,0.2637651861,3.030433178,-4.515842438,1.003558397,49.9484249,0.9578256607,2.693047523,5.152553082,1.784095287,1.763135076,3,3,3,1,0.9421650171,3,3,3,1,1.860597372,2.654126644,1.008975983,3,0.0700000003,6,1.021144271,0.6621274948,1.545293212,0,6
SNAc3,1,0.001,8,none,0.9603729167,1,1,0,0,-0.2184683532,0.1795171201,-0.356701225,0.4575458765,0.5833491087,12.84945301,0,0,-0.4695563912,0.3393948376,-0.6513230801,0.7707740664,0.5985379219,14.05344003,0,0,-0.2121892571,1.306648135,-7.052434921,0.993719399,76.28531738,0,0,0.1284429133,3.445183039,-4.972532749,1.003849626,51.98112481,0.9733525515,2.837314129,5.525323868,1.813883305,1.660665751,3,3,3,1,1.075511217,3,3,3,1,2.03153038,2.37374258,0.7816981673,2.764291763,0,6,0.8958055973,0.5605857372,1.262652516,0,6
SNAc3,1,0.001,9,none,0.9663020833,1,1,0,0,-0.196475789,0.1670880467,-0.333083719,0.4136219025,0.5668985844,12.71000519,0,0,-0.4360093176,0.333473295,-0.5979271531,0.7564620376,0.6330829263,14.26175736,0,0,-0.1987295747,1.424207807,-4.216729164,0.9932848215,79.47749767,0,0,0.009602254257,3.823343754,-4.239507675,0.9989929199,54.52129215,1.009267211,2.934760332,5.902522087,1.871906757,1.592287064,3,3,3,1,1.000620127,3,3,3,1,1.996051311,2.169713974,0.7953280807,2.52218461,0,6,0.8007175326,0.5730960369,1.157509208,0,6
SNAc3,1,0.001,10,none,0.9670479167,1,1,0,0,-0.2349165082,0.1655040979,-0.3539942205,0.4127543271,0.5202878714,12.44910588,0,0,-0.4934980273,0.3630817533,-0.644294858,0.7815899849,0.623740375,14.06260937,0,0,-0.2228471488,1.525614381,-5.2283144,0.9965564013,80.06421012,0,0,-0.1011029556,4.002202034,-5.776659489,1.003045082,55.94292655,1.031229973,3.11285305,6.190319538,1.939841628,1.56575489,3,3,3,1,0.9910991192,3,3,3,1,2.171938896,2.035963774,0.8619589806,2.366383314,0,6,0.7721836567,0.4385422468,1.050682306,0,6
