fork_set,t,seed,src_arm,hit999_A,hit99_A,hit_full_A,hit_full_source_A,horizon_A,last_correct_A,correct_at_hit999_plus_500_A,hit_plus_500_observed_A,min_correct_after_hit999_A,stop_step_A,bundle_steps_A,correct_at_stop_A,stop_observed_A,min_correct_after_hit_A,memo_acc_A,tc_A,slot_status_A,parent_sha256_A,N_all_stop_A,sigma_med_stop_A,hit999_B,hit99_B,hit_full_B,hit_full_source_B,horizon_B,last_correct_B,correct_at_hit999_plus_500_B,hit_plus_500_observed_B,min_correct_after_hit999_B,stop_step_B,bundle_steps_B,correct_at_stop_B,stop_observed_B,min_correct_after_hit_B,memo_acc_B,tc_B,slot_status_B,parent_sha256_B,N_all_stop_B,sigma_med_stop_B,hit999_C,hit99_C,hit_full_C,hit_full_source_C,horizon_C,last_correct_C,correct_at_hit999_plus_500_C,hit_plus_500_observed_C,min_correct_after_hit999_C,stop_step_C,bundle_steps_C,correct_at_stop_C,stop_observed_C,min_correct_after_hit_C,memo_acc_C,tc_C,slot_status_C,parent_sha256_C,N_all_stop_C,sigma_med_stop_C,ratio_AC_hit999_lo,ratio_AC_hit999_hi,ratio_AC_hit999,sign_AC_hit999,censoring_AC_hit999,ratio_nextC_hit999_lo,ratio_nextC_hit999_hi,ratio_nextC_hit999,sign_nextC_hit999,censoring_nextC_hit999,ratio_AC_hit99_lo,ratio_AC_hit99_hi,ratio_AC_hit99,sign_AC_hit99,censoring_AC_hit99,ratio_nextC_hit99_lo,ratio_nextC_hit99_hi,ratio_nextC_hit99,sign_nextC_hit99,censoring_nextC_hit99,ratio_AC_hit_full_lo,ratio_AC_hit_full_hi,ratio_AC_hit_full,sign_AC_hit_full,censoring_AC_hit_full,ratio_nextC_hit_full_lo,ratio_nextC_hit_full_hi,ratio_nextC_hit_full,sign_nextC_hit_full,censoring_nextC_hit_full,status,hit999_next,hit99_next,hit_full_next,hit_full_source_next,horizon_next,last_correct_next,correct_at_hit999_plus_500_next,hit_plus_500_observed_next,min_correct_after_hit999_next,stop_step_next,bundle_steps_next,correct_at_stop_next,stop_observed_next,min_correct_after_hit_next,memo_acc_next,tc_next,slot_status_next,parent_sha256_next,N_all_stop_next,sigma_med_stop_next
LR_abab_fork,2,0,LR_abab,1300,1000,1400,bundle_trace,2500,1200,1200,True,1200,1800,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3427.294455,23.54019215,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3104.740778,24.49388158,1900,1600,1900,bundle_trace,3200,1200,1200,True,1200,2400,3200,1200,1,1200,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3614.494816,24.81198534,0.6842105263,0.6842105263,0.6842105263,-1,observed,,,,,branch_missing,0.625,0.625,0.625,-1,observed,,,,,branch_missing,0.7368421053,0.7368421053,0.7368421053,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,1,LR_abab,1000,900,1300,bundle_trace,2500,1200,1200,True,1199,1500,2500,1200,1,1199,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3205.190191,23.01805726,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,2827.231314,24.10090586,2300,1700,2300,bundle_trace,3200,1200,1200,True,1200,2800,3200,1200,1,1200,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3567.350939,25.26451937,0.4347826087,0.4347826087,0.4347826087,-1,observed,,,,,branch_missing,0.5294117647,0.5294117647,0.5294117647,-1,observed,,,,,branch_missing,0.5652173913,0.5652173913,0.5652173913,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,2,LR_abab,1300,1200,1300,bundle_trace,2500,1200,1200,True,1200,1800,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3463.671174,24.70379686,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3125.574271,24.490861,1800,1400,1800,bundle_trace,3200,1200,1200,True,1200,2300,3200,1200,1,1200,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3588.794447,25.5899744,0.7222222222,0.7222222222,0.7222222222,-1,observed,,,,,branch_missing,0.8571428571,0.8571428571,0.8571428571,-1,observed,,,,,branch_missing,0.7222222222,0.7222222222,0.7222222222,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,3,LR_abab,1200,1100,1200,bundle_trace,2500,1200,1200,True,1200,1700,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3531.385689,24.59180832,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3203.22031,25.42576559,1800,1500,1800,bundle_trace,3200,1200,1185,True,1090,2300,3200,1185,1,1090,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3876.550681,26.53055263,0.6666666667,0.6666666667,0.6666666667,-1,observed,,,,,branch_missing,0.7333333333,0.7333333333,0.7333333333,-1,observed,,,,,branch_missing,0.6666666667,0.6666666667,0.6666666667,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,4,LR_abab,1500,1200,1700,bundle_trace,2500,1200,1200,True,1193,2000,2500,1200,1,1193,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3552.830109,23.21187201,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3178.1031,23.36902643,2000,1900,2000,bundle_trace,3200,1200,1200,True,1200,2500,3200,1200,1,1200,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3700.838953,24.34741931,0.75,0.75,0.75,-1,observed,,,,,branch_missing,0.6315789474,0.6315789474,0.6315789474,-1,observed,,,,,branch_missing,0.85,0.85,0.85,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,5,LR_abab,1500,1200,1600,bundle_trace,2500,1200,1200,True,1200,2000,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3383.936756,23.24159617,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,2935.357975,24.10627445,1900,1700,1900,bundle_trace,3200,1200,1200,True,1194,2400,3200,1200,1,1194,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3536.092854,25.69867118,0.7894736842,0.7894736842,0.7894736842,-1,observed,,,,,branch_missing,0.7058823529,0.7058823529,0.7058823529,-1,observed,,,,,branch_missing,0.8421052632,0.8421052632,0.8421052632,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,6,LR_abab,1200,1000,1200,bundle_trace,2500,1200,1200,True,1200,1700,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3178.956637,22.56183095,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,2812.713144,23.43946103,1700,1500,2000,bundle_trace,3200,1200,1200,True,1196,2200,3200,1200,1,1196,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3320.638201,24.1676677,0.7058823529,0.7058823529,0.7058823529,-1,observed,,,,,branch_missing,0.6666666667,0.6666666667,0.6666666667,-1,observed,,,,,branch_missing,0.6,0.6,0.6,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,7,LR_abab,1300,1000,1300,bundle_trace,2500,1200,1200,True,1200,1800,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3533.003618,23.46446454,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3169.436879,23.76129645,1700,1500,1700,bundle_trace,3200,1200,1105,True,1105,2200,3200,1105,1,1105,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3795.954108,25.03603947,0.7647058824,0.7647058824,0.7647058824,-1,observed,,,,,branch_missing,0.6666666667,0.6666666667,0.6666666667,-1,observed,,,,,branch_missing,0.7647058824,0.7647058824,0.7647058824,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,8,LR_abab,2000,900,2000,bundle_trace,2500,1200,1200,True,1200,2500,2500,1200,1,1200,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3732.250306,23.87684505,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3132.396615,25.09912919,1800,1700,2500,bundle_trace,3200,1200,1191,True,1112,2300,3200,1191,1,1112,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3882.55882,26.16552376,1.111111111,1.111111111,1.111111111,1,observed,,,,,branch_missing,0.5294117647,0.5294117647,0.5294117647,-1,observed,,,,,branch_missing,0.8,0.8,0.8,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
LR_abab_fork,2,9,LR_abab,1200,1000,1200,bundle_trace,2500,1200,1200,True,1197,1700,2500,1200,1,1197,1,62500,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3620.159187,24.4726156,100,100,100,bundle_trace,600,1200,1200,True,1200,600,600,1200,1,1200,1,60600,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,3379.709564,25.29913664,2700,1700,2700,bundle_trace,3200,1200,1200,True,1200,3200,3200,1200,1,1200,1,63200,alive,dc2621acfeddf1f326681d25d10c51e3fd7fab958fd4c5f57850f0b67a02e48f,4130.473888,26.35935445,0.4444444444,0.4444444444,0.4444444444,-1,observed,,,,,branch_missing,0.5882352941,0.5882352941,0.5882352941,-1,observed,,,,,branch_missing,0.4444444444,0.4444444444,0.4444444444,-1,observed,,,,,branch_missing,ok,,,,,,,,,,,,,,,,,,,,
