arm,seed,t,band,N,d,e,dN,identity_residual,identity_residual_rel,V,sigma_med,sigma_med_lower,sigma_med_band,H,hit99,hit999,hit_full,hit99_per_task,hit999_per_task,hit_agrees_with_per_task,tc,tc_per_task,steps,stop_step,status
LR_iid,0,0,top,0.1048562588,,,,,,19.57768885,0.5226994766,0.5218027109,0.4002654191,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,mid1,0.9548484041,,,,,,8.173562358,0.5226994766,0.5218027109,0.2838298817,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,mid2,3.701234033,,,,,,2.520165973,0.5226994766,0.5218027109,0.1576780096,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,low,8.20191207,,,,,,0.323081047,0.5226994766,0.5218027109,0.05656258705,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,mu,0.009818736857,,,,,,0,0.5226994766,0.5218027109,0,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,comp,20.392002,,,,,,0,0.5226994766,0.5218027109,0,1.119796755,,,,,,,,,,,ok
LR_iid,0,0,all,33.3646715,,,,,,30.59449823,0.5226994766,0.5218027109,,1.119796755,,,,,,,,,,,ok
LR_iid,0,1,top,157.2196797,157.078132,0.03669145261,157.1148234,-1.68476344e-14,1.071598316e-16,23796.43288,16.86714032,16.82109263,14.17847006,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,mid1,607.1781012,602.6557876,3.567465134,606.2232528,1.71418435e-13,2.823198575e-16,7284.264865,16.86714032,16.82109263,8.338132443,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,mid2,440.9770453,435.8848827,1.39092854,437.2758112,-3.108624469e-15,7.049402009e-18,433.0084976,16.86714032,16.82109263,2.065813998,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,low,101.4288823,92.96782257,0.2591476177,93.22697019,-1.110223025e-14,1.094582726e-16,7.599105616,16.86714032,16.82109263,0.2745236166,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,mu,0.02514000292,0.01555918458,-0.0002379185169,0.01532126606,9.24282352e-18,3.676540353e-16,0,16.86714032,16.82109263,0,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,comp,22.51529035,2.122975957,0.0003123906547,2.123288347,1.543903894e-15,6.857135173e-17,0,16.86714032,16.82109263,0,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,1,all,1329.344139,1290.72516,5.254307216,1295.979467,-1.048050535e-13,7.883967023e-17,31521.30535,16.86714032,16.82109263,,1.107952848,1600,1700,2000,1600,1700,True,30000,,30000,,ok
LR_iid,0,2,top,303.2837018,253.4205111,-107.356489,146.0640221,4.263256415e-14,1.405699149e-16,46751.15456,24.41426648,24.37610552,20.4363443,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,mid1,1437.213201,892.738135,-62.70303534,830.0350996,-2.273736754e-13,1.582045554e-16,17143.09769,24.41426648,24.37610552,12.97350633,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,mid2,1094.019657,708.5681472,-55.52553532,653.0426119,7.105427358e-14,6.494789477e-17,1076.779531,24.41426648,24.37610552,3.32133066,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,low,240.4303916,143.7908583,-4.789348964,139.0015093,-2.664535259e-15,1.108235628e-17,18.30067814,24.41426648,24.37610552,0.4280973087,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,mu,0.09242053195,0.04313026377,0.02415026526,0.06728052903,1.387778781e-17,1.501591423e-16,0,24.41426648,24.37610552,0,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,comp,26.11848712,3.686701912,-0.08350514213,3.60319677,-2.206568261e-15,8.448300438e-17,0,24.41426648,24.37610552,0,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,2,all,3101.157859,2002.247484,-230.4337635,1771.81372,1.136868377e-13,3.665948104e-17,64989.33246,24.41426648,24.37610552,,1.090321849,1700,2700,2700,1700,2700,True,60000,,30000,,ok
LR_iid,0,3,top,387.1951345,253.1320102,-169.2205774,83.91143275,2.842170943e-14,7.340409756e-17,55455.47526,28.06306346,28.03523727,22.40694247,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,mid1,2084.771218,896.0335789,-248.4755617,647.5580172,2.273736754e-13,1.090640899e-16,24815.77967,28.06306346,28.03523727,15.58774822,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,mid2,1641.341125,681.1955275,-133.8740599,547.3214676,5.684341886e-14,3.463230038e-17,1615.713977,28.06306346,28.03523727,4.031114137,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,low,359.5591958,141.3366108,-22.20780654,119.1288043,1.065814104e-14,2.964224295e-17,27.55734476,28.06306346,28.03523727,0.5233232744,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,mu,0.1671939774,0.02544899335,0.04932445214,0.07477344549,5.551115123e-17,3.320164523e-16,0,28.06306346,28.03523727,0,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,comp,29.24500195,3.215206874,-0.0886920395,3.126514835,9.020562075e-16,3.084479902e-17,0,28.06306346,28.03523727,0,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,3,all,4502.278869,1974.938383,-573.8173731,1401.12101,4.547473509e-13,1.01003817e-16,81914.52626,28.06306346,28.03523727,,1.040137531,1700,1900,2000,1700,1900,True,90000,,30000,,ok
LR_iid,0,4,top,482.0687579,260.2297065,-165.3560831,94.8736234,-5.684341886e-14,1.179155835e-16,72098.36461,31.45047877,31.35827733,25.38673376,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,mid1,2814.248802,1043.322795,-313.8452115,729.4775838,0,0,32603.94513,31.45047877,31.35827733,17.86373488,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,mid2,2236.81046,769.041487,-173.5721516,595.4693353,-1.421085472e-13,6.35317787e-17,2209.852446,31.45047877,31.35827733,4.689632315,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,low,499.0901247,160.5629725,-21.03204358,139.5309289,4.618527782e-14,9.253895346e-17,38.32153517,31.45047877,31.35827733,0.6212103567,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,mu,0.2453794663,0.02831757563,0.04986791325,0.07818548888,-1.595945598e-16,6.503990011e-16,0,31.45047877,31.35827733,0,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,comp,33.78319329,4.643364711,-0.1051733759,4.538191335,5.051514762e-15,1.495274505e-16,0,31.45047877,31.35827733,0,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,4,all,6066.246717,2237.828644,-673.8607953,1563.967848,-2.273736754e-13,3.748177185e-17,106950.4837,31.45047877,31.35827733,,1.081255254,1600,2200,2200,1600,2200,True,120000,,30000,,ok
LR_iid,0,5,top,549.0642757,279.8163031,-212.8207853,66.99551782,1.136868377e-13,2.070556085e-16,77643.88933,33.58326283,33.57340373,26.49632556,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,mid1,3502.454205,1065.80507,-377.5996671,688.2054028,-2.842170943e-13,8.114798301e-17,39979.75846,33.58326283,33.57340373,19.94961058,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,mid2,2828.231499,807.1578198,-215.736781,591.4210388,4.547473509e-13,1.607885886e-16,2788.125569,33.58326283,33.57340373,5.275108017,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,low,625.4762902,157.291678,-30.9055125,126.3861655,-1.421085472e-13,2.27200534e-16,47.80789611,33.58326283,33.57340373,0.6939176011,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,mu,0.3550591555,0.03405535988,0.07562432926,0.1096796891,9.714451465e-17,2.736009286e-16,0,33.58326283,33.57340373,0,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,comp,37.7675569,4.17655206,-0.1921884419,3.984363618,-2.553512957e-15,6.761128243e-17,0,33.58326283,33.57340373,0,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,5,all,7543.348885,2314.281478,-837.1793101,1477.102168,3.410605132e-13,4.521340831e-17,120459.5813,33.58326283,33.57340373,,1.068059808,1700,1900,1900,1700,1900,True,150000,,30000,,ok
LR_iid,0,6,top,669.7590099,337.8999256,-217.2051914,120.6947342,-5.684341886e-14,8.487145081e-17,102652.1918,38.16030088,38.13206401,30.17847901,1.05543806,1700,2200,2300,1700,2200,True,180000,,30000,,ok
LR_iid,0,6,mid1,4195.649678,1145.98242,-452.7869468,693.195473,2.842170943e-13,6.774090216e-17,47626.5586,38.16030088,38.13206401,21.55441138,1.05543806,1700,2200,2300,1700,2200,True,180000,,30000,,ok
LR_iid,0,6,mid2,3420.679873,852.4071536,-259.9587796,592.4483739,-1.136868377e-13,3.323515849e-17,3356.592297,38.16030088,38.13206401,5.773867622,1.05543806,1700,2200,2300,1700,2200,True,180000,,30000,,ok
LR_iid,0,6,low,764.5665429,167.5912275,-28.5009748,139.0902527,1.563194019e-13,2.044549337e-16,58.45149912,38.16030088,38.13206401,0.7690427634,1.05543806,1700,2200,2300,1700,2200,True,180000,,30000,,ok
LR_iid,0,6,mu,0.4987589168,0.03312190669,0.1105778546,0.1436997613,-8.326672685e-17,1.66947846e-16,0,38.16030088,38.13206401,0,1.05543806,1700,2200,2300,1700,2200,True,180000,,30000,,ok
