arm,seed,j,band,cycle_len,tasks,x_j,E,M_sq,D_sq,D_sq_diameter,E_identity_residual,center_disp,ret_odd_t,ret_odd,a_odd,resid_odd,cos_odd,ret_even_t,ret_even,a_even,resid_even,cos_even,status,ret_third_t,ret_third,a_third,resid_third,cos_third
LR_iid,0,1,top,2,1+2,1.5,230.2516907,166.8965629,63.35512779,63.35512779,0,,1,,,,,2,302.5472205,4.011861386,301.5960369,0.07459651908,ok,,,,,
LR_iid,0,1,mid1,2,1+2,1.5,1022.195651,799.0111173,223.1845337,223.1845337,0,,1,,,,,2,1433.026678,2.692244977,1430.292285,0.06939388305,ok,,,,,
LR_iid,0,1,mid2,2,1+2,1.5,767.4983512,590.3563144,177.1420368,177.1420368,-5.684341886e-14,,1,,,,,2,1088.962784,1.183133336,1088.838653,0.06881678858,ok,,,,,
LR_iid,0,1,low,2,1+2,1.5,170.9296369,134.9819223,35.94771456,35.94771456,7.105427358e-15,,1,,,,,2,231.8943873,1.020366725,231.8909851,0.1884599885,ok,,,,,
LR_iid,0,1,mu,2,1+2,1.5,0.05878026743,0.04799770149,0.01078256594,0.01078256594,1.387778781e-17,,1,,,,,2,0.07751064361,1.259256947,0.07685068541,0.4104478017,ok,,,,,
LR_iid,0,1,comp,2,1+2,1.5,24.31688873,23.39521325,0.9216754781,0.9216754781,6.661338148e-16,,1,,,,,2,5.760258752,0.9991718902,5.760244768,0.8828687226,ok,,,,,
LR_iid,0,1,all,2,1+2,1.5,2215.250999,1714.689128,500.5618709,500.5618709,-1.705302566e-13,,1,,,,,2,3062.268839,1.082787391,3062.040166,0.1123116169,ok,,,,,
LR_iid,0,2,top,2,3+4,3.5,434.6319462,369.5745196,65.05742663,65.05742663,0,268.2315513,3,395.3100812,0.4741923318,351.842974,0.3021642181,4,428.9373025,0.5875936543,377.3551156,0.4660656974,ok,,,,,
LR_iid,0,2,mid1,2,3+4,3.5,2449.51001,2188.679311,260.8306988,260.8306988,1.136868377e-13,1152.420761,3,1586.987642,0.9099156202,1582.060273,0.4910548095,4,1716.682152,0.8818384946,1696.615578,0.6301855009,ok,,,,,
LR_iid,0,2,mid2,2,3+4,3.5,1939.075792,1746.815421,192.2603717,192.2603717,2.842170943e-14,910.9182735,3,1263.696161,0.9281911811,1261.42226,0.4811117945,4,1305.150807,0.9257965782,1299.126973,0.6474608923,ok,,,,,
LR_iid,0,2,low,2,3+4,3.5,429.3246603,389.1839171,40.14074312,40.14074312,-2.842170943e-14,197.3435585,3,264.9950691,0.9661597593,264.8789166,0.5131502735,4,282.0496471,0.9513582419,281.4807838,0.6603121346,ok,,,,,
LR_iid,0,2,mu,2,3+4,3.5,0.2062867219,0.199207328,0.007079393907,0.007079393907,-6.938893904e-18,0.07256331763,3,0.09715471393,1.892984395,0.07710754441,0.7340394159,4,0.07412816524,1.426478659,0.05731834487,0.875448095,ok,,,,,
LR_iid,0,2,comp,2,3+4,3.5,31.51409762,30.35325644,1.160841178,1.160841178,0,5.20009138,3,6.818240503,0.9980340272,6.81815348,0.8757059429,4,7.736058604,0.9986340626,7.736009872,0.878071811,ok,,,,,
LR_iid,0,2,all,2,3+4,3.5,5284.262793,4724.805632,559.4571609,559.4571609,4.547473509e-13,2534.186799,3,3517.904349,0.8702481892,3495.524132,0.4728742277,4,3740.630095,0.8749594068,3692.143027,0.6255900129,ok,,,,,
LR_iid,0,3,top,2,5+6,5.5,609.4116428,524.9366614,84.4749814,84.4749814,8.526512829e-14,312.4933523,5,425.5076347,0.6595534525,380.6302273,0.5538642704,6,525.4867353,0.6496386897,466.3113261,0.5511465493,ok,,,,,
LR_iid,0,3,mid1,2,5+6,5.5,3849.051941,3562.556336,286.495605,286.495605,0,1390.347205,5,1903.676373,0.8834420337,1875.353173,0.6815865747,6,2005.828095,0.8890596988,1971.191023,0.7281360937,ok,,,,,
LR_iid,0,3,mid2,2,5+6,5.5,3124.455686,2911.353897,213.1017884,213.1017884,-1.136868377e-13,1017.533695,5,1390.139265,0.9380845067,1383.847137,0.7146343895,6,1482.96808,0.933141705,1472.969467,0.754581192,ok,,,,,
LR_iid,0,3,low,2,5+6,5.5,695.0214165,653.1236097,41.89780687,41.89780687,-1.421085472e-14,215.5971611,5,294.897817,0.9596996504,294.3138503,0.7276375636,6,301.7568843,0.9636533921,301.0975483,0.7785790223,ok,,,,,
LR_iid,0,3,mu,2,5+6,5.5,0.4269090361,0.4186285594,0.008280476672,0.008280476672,1.734723476e-17,0.07286784933,5,0.0765295652,1.332953419,0.05799477873,0.9146921034,6,0.08905897355,1.334829314,0.06154931724,0.9362665507,ok,,,,,
LR_iid,0,3,comp,2,5+6,5.5,40.28452754,38.97242571,1.312101837,1.312101837,-1.554312234e-15,6.544897622,5,8.747263638,0.9961581694,8.746831992,0.8765863066,6,9.286381513,0.9960323967,9.285849702,0.8849002707,ok,,,,,
