arm,seed,band,window,window_lo,window_hi,window_hi_used,complete,n_increments,C1_cos,C1_energy,C1_energy_sym,n_pairs_1,n_cos_1,C2_cos,C2_energy,C2_energy_sym,n_pairs_2,n_cos_2,C3_cos,C3_energy,C3_energy_sym,n_pairs_3,n_cos_3,C4_cos,C4_energy,C4_energy_sym,n_pairs_4,n_cos_4,C5_cos,C5_energy,C5_energy_sym,n_pairs_5,n_cos_5,C6_cos,C6_energy,C6_energy_sym,n_pairs_6,n_cos_6,C2_minus_C13_cos,C3_minus_C2_cos,C2_minus_C13_energy,C3_minus_C2_energy,C2_minus_C13_energy_sym,C3_minus_C2_energy_sym,even_odd_pattern_cos,r_b,r_window,r_status,q20,qA,qB,q_points,status
LR_iid,0,low,late,26,50,50,True,25,-0.06320187604,-0.06315739926,-0.06316945655,24,24,-0.007180685412,-0.00715572834,-0.007167452903,23,23,-0.004857872599,-0.00489668933,-0.004901823579,22,22,-0.005061465941,-0.005089087662,-0.00509008024,21,21,-0.004136033887,-0.004234087935,-0.004235290623,20,20,-0.003196082175,-0.003219708236,-0.003235975199,19,19,0.02684918891,0.002322812813,0.02687131596,0.002259039011,0.02686818716,0.002265629324,-0.0632;-0.0072;-0.0049;-0.0051;-0.0041;-0.0032,0.8036315511,t6-50,ok,-0.04142132133,-0.04857278227,-0.04142132133,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,low,all,2,50,50,True,49,-0.06422492533,-0.06366865405,-0.06400126826,48,48,-0.008179627408,-0.008106492053,-0.008198951257,47,47,-0.004707699203,-0.004746931138,-0.004822006834,46,46,-0.003250664621,-0.003411504524,-0.003484164437,45,45,-0.002420736493,-0.002599285004,-0.002669584916,44,44,-0.001904221323,-0.001896069757,-0.001961535252,43,43,0.02628668486,0.003471928205,0.02610130054,0.003359560915,0.02621268629,0.003376944422,-0.0642;-0.0082;-0.0047;-0.0033;-0.0024;-0.0019,0.8036315511,t6-50,ok,-0.04142132133,-0.04857278227,-0.04142132133,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,mu,early,5,14,14,True,10,0.1149666288,0.1092801467,0.1105016665,9,9,0.1494196265,0.1426738291,0.1442185593,8,8,0.1844982349,0.1838185606,0.1825203613,7,7,0.2034229982,0.2074818561,0.2068172183,6,6,0.1223135291,0.1251348636,0.1252110804,5,5,0.1776872571,0.1771642762,0.1762734068,4,4,-0.0003128053675,0.03507860844,-0.003875524511,0.04114473147,-0.002292454591,0.03830180198,+0.1150;+0.1494;+0.1845;+0.2034;+0.1223;+0.1777,6.88896468,t6-50,ok,1.137471521,1.199478888,1.137471521,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,mu,late,26,50,50,True,25,0.07104745371,0.07315915364,0.07346635304,24,24,0.1053749899,0.104853988,0.1058341154,23,23,0.1155085836,0.1189522831,0.1204298475,22,22,0.1310351258,0.1347974827,0.1364442017,21,21,0.1044384903,0.1082923947,0.1102336868,20,20,0.1531980824,0.1504548124,0.1559194277,19,19,0.01209697122,0.01013359373,0.008798269623,0.01409829513,0.008886015116,0.01459573214,+0.0710;+0.1054;+0.1155;+0.1310;+0.1044;+0.1532,6.88896468,t6-50,ok,1.137471521,1.199478888,1.137471521,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,mu,all,2,50,50,True,49,0.09819743301,0.09327350195,0.09331083016,48,48,0.1357136374,0.1316203383,0.1326020262,47,47,0.1395523875,0.1381360916,0.1396393481,46,46,0.1478399955,0.1486191931,0.1504150849,45,45,0.1196680229,0.1201633385,0.1221271488,44,44,0.1558020599,0.151268302,0.1550785733,43,43,0.01683872713,0.003838750101,0.01591554159,0.006515753213,0.01612693707,0.007037321876,+0.0982;+0.1357;+0.1396;+0.1478;+0.1197;+0.1558,6.88896468,t6-50,ok,1.137471521,1.199478888,1.137471521,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,comp,early,5,14,14,True,10,-0.01068508042,-0.010581572,-0.01063987519,9,9,-0.003348449315,-0.003370378163,-0.003343370286,8,8,-0.002237216964,-0.002122344519,-0.002103920904,7,7,0.001973201966,0.001999466019,0.001984236614,6,6,-0.0006769510924,-0.0005805177587,-0.0005675636957,5,5,3.35899126e-05,0.0001783793614,0.0001763314423,4,4,0.003112699377,0.001111232351,0.002981580099,0.001248033643,0.003028527762,0.001239449383,-0.0107;-0.0033;-0.0022;+0.0020;-0.0007;+0.0000,0.9328884089,t6-50,ok,-0.01341286154,-0.01147929204,-0.01341286154,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,comp,late,26,50,50,True,25,-0.01834386141,-0.01827852633,-0.01825314204,24,24,-0.00345611509,-0.003397206571,-0.003393539089,23,23,-0.001506288687,-0.001562465548,-0.001557255886,22,22,-0.002462506492,-0.002438100131,-0.00242587132,21,21,-0.001931445571,-0.001949417719,-0.001951653358,20,20,-0.001829022487,-0.001823707103,-0.001830038774,19,19,0.00646895996,0.001949826403,0.006523289366,0.001834741022,0.006511659876,0.001836283203,-0.0183;-0.0035;-0.0015;-0.0025;-0.0019;-0.0018,0.9328884089,t6-50,ok,-0.01341286154,-0.01147929204,-0.01341286154,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,comp,all,2,50,50,True,49,-0.01594482907,-0.01572044227,-0.01574061166,48,48,-0.002906540017,-0.002850072141,-0.002860818334,47,47,-0.001568239937,-0.001497100448,-0.001499206363,46,46,-0.001556018679,-0.001534981489,-0.00153725108,45,45,-0.001674194561,-0.001622729689,-0.001622874338,44,44,-0.0007256165809,-0.0006949474416,-0.0006950038099,43,43,0.005849994487,0.00133830008,0.005758699217,0.001352971693,0.005759090678,0.001361611971,-0.0159;-0.0029;-0.0016;-0.0016;-0.0017;-0.0007,0.9328884089,t6-50,ok,-0.01341286154,-0.01147929204,-0.01341286154,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,all,early,5,14,14,True,10,-0.1003392955,-0.09812430983,-0.1003415796,9,9,-0.0285162239,-0.02729611694,-0.02831356502,8,8,-0.02067767307,-0.01962438771,-0.02079917759,7,7,-0.0222360529,-0.02007718787,-0.02175886395,6,6,-0.01552947632,-0.01425748041,-0.01580035798,5,5,-0.01002145772,-0.008770939331,-0.009928606385,4,4,0.03199226039,0.007838550827,0.03157823184,0.007671729224,0.03225681357,0.007514387436,-0.1003;-0.0285;-0.0207;-0.0222;-0.0155;-0.0100,0.4306071763,t6-50,ok,-0.310851335,-0.3140463834,-0.310851335,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
LR_iid,0,all,late,26,50,50,True,25,-0.0976870692,-0.09737678595,-0.09765065778,24,24,-0.03421814031,-0.03394760881,-0.03413113108,23,23,-0.02054561522,-0.02046191232,-0.02059357894,22,22,-0.01800327303,-0.0179428594,-0.01807935884,21,21,-0.01677296641,-0.01656090664,-0.01672635899,20,20,-0.0115548195,-0.01148790019,-0.0116679778,19,19,0.0248982019,0.01367252509,0.02497174032,0.01348569649,0.02499098727,0.01353755214,-0.0977;-0.0342;-0.0205;-0.0180;-0.0168;-0.0116,0.4306071763,t6-50,ok,-0.310851335,-0.3140463834,-0.310851335,"{""q20"": [20, 50], ""qA"": [19, 49], ""qB"": [20, 50]}",ok
