arm,seed,t,band,steps,hit99,hit999,stop_step,tc,tc_cum_check,N,V,sigma_med,H,sigma_med_band,memo_acc,online_acc,status
LR_abab_stop,0,1,top,2500,1600,2000,2500,2500,2500,84.43692617,12575.14938,12.32998227,1.092729696,10.59703413,1,0.815475,ok
LR_abab_stop,0,1,mid1,2500,1600,2000,2500,2500,2500,317.8176507,3812.667059,12.32998227,1.092729696,6.125483995,1,0.815475,ok
LR_abab_stop,0,1,mid2,2500,1600,2000,2500,2500,2500,223.1115625,221.0458697,12.32998227,1.092729696,1.462691049,1,0.815475,ok
LR_abab_stop,0,1,low,2500,1600,2000,2500,2500,2500,50.99920946,3.739286246,12.32998227,1.092729696,0.1924870713,1,0.815475,ok
LR_abab_stop,0,1,mu,2500,1600,2000,2500,2500,2500,0.01443566596,0,12.32998227,1.092729696,0,1,0.815475,ok
LR_abab_stop,0,1,comp,2500,1600,2000,2500,2500,2500,20.71763128,0,12.32998227,1.092729696,0,1,0.815475,ok
LR_abab_stop,0,1,all,2500,1600,2000,2500,2500,2500,697.0974157,16612.6016,12.32998227,1.092729696,,1,0.815475,ok
LR_abab_stop,0,2,top,2600,1500,2100,2600,5100,5100,161.3809696,26439.93491,18.05531232,1.097568638,15.34837437,1,0.8032692308,ok
LR_abab_stop,0,2,mid1,2600,1500,2100,2600,5100,5100,710.5664795,8849.131407,18.05531232,1.097568638,9.12754112,1,0.8032692308,ok
LR_abab_stop,0,2,mid2,2600,1500,2100,2600,5100,5100,481.7710214,483.4540804,18.05531232,1.097568638,2.176898765,1,0.8032692308,ok
LR_abab_stop,0,2,low,2600,1500,2100,2600,5100,5100,99.13776987,7.59190438,18.05531232,1.097568638,0.2735795267,1,0.8032692308,ok
LR_abab_stop,0,2,mu,2600,1500,2100,2600,5100,5100,0.03291576675,0,18.05531232,1.097568638,0,1,0.8032692308,ok
LR_abab_stop,0,2,comp,2600,1500,2100,2600,5100,5100,21.17065991,0,18.05531232,1.097568638,0,1,0.8032692308,ok
LR_abab_stop,0,2,all,2600,1500,2100,2600,5100,5100,1474.059816,35780.1123,18.05531232,1.097568638,,1,0.8032692308,ok
LR_abab_stop,0,3,top,1400,700,900,1400,6500,6500,164.9873016,23912.03518,17.34966264,1.130875736,14.26173519,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,mid1,1400,700,900,1400,6500,6500,808.1668104,9508.525422,17.34966264,1.130875736,9.528849558,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,mid2,1400,700,900,1400,6500,6500,619.910863,609.6997214,17.34966264,1.130875736,2.45720154,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,low,1400,700,900,1400,6500,6500,133.7670282,10.31994864,17.34966264,1.130875736,0.3183905686,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,mu,1400,700,900,1400,6500,6500,0.04706373238,0,17.34966264,1.130875736,0,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,comp,1400,700,900,1400,6500,6500,21.36388699,0,17.34966264,1.130875736,0,0.9991666675,0.8154910714,ok
LR_abab_stop,0,3,all,1400,700,900,1400,6500,6500,1748.242954,34040.58027,17.34966264,1.130875736,,0.9991666675,0.8154910714,ok
LR_abab_stop,0,4,top,1100,500,600,1100,7600,7600,170.8305353,28218.12358,19.31308422,1.058470673,16.18733991,1,0.8551136364,ok
LR_abab_stop,0,4,mid1,1100,500,600,1100,7600,7600,891.8472488,10544.83715,19.31308422,1.058470673,10.02312432,1,0.8551136364,ok
LR_abab_stop,0,4,mid2,1100,500,600,1100,7600,7600,721.0026745,705.3243967,19.31308422,1.058470673,2.641760898,1,0.8551136364,ok
LR_abab_stop,0,4,low,1100,500,600,1100,7600,7600,156.8128343,12.16525234,19.31308422,1.058470673,0.3449354247,1,0.8551136364,ok
LR_abab_stop,0,4,mu,1100,500,600,1100,7600,7600,0.06482165038,0,19.31308422,1.058470673,0,1,0.8551136364,ok
LR_abab_stop,0,4,comp,1100,500,600,1100,7600,7600,21.50789651,0,19.31308422,1.058470673,0,1,0.8551136364,ok
LR_abab_stop,0,4,all,1100,500,600,1100,7600,7600,1962.066011,39480.45037,19.31308422,1.058470673,,1,0.8551136364,ok
LR_abab_stop,0,5,top,1100,500,600,1100,8700,8700,174.5539813,26086.93166,18.83015249,1.07440573,15.34632997,1,0.8922727273,ok
LR_abab_stop,0,5,mid1,1100,500,600,1100,8700,8700,970.3340294,11198.67936,18.83015249,1.07440573,10.38999656,1,0.8922727273,ok
LR_abab_stop,0,5,mid2,1100,500,600,1100,8700,8700,820.6408439,796.024346,18.83015249,1.07440573,2.792533458,1,0.8922727273,ok
LR_abab_stop,0,5,low,1100,500,600,1100,8700,8700,180.96898,14.06741864,18.83015249,1.07440573,0.3694586562,1,0.8922727273,ok
LR_abab_stop,0,5,mu,1100,500,600,1100,8700,8700,0.07914741568,0,18.83015249,1.07440573,0,1,0.8922727273,ok
LR_abab_stop,0,5,comp,1100,500,600,1100,8700,8700,21.62414802,0,18.83015249,1.07440573,0,1,0.8922727273,ok
LR_abab_stop,0,5,all,1100,500,600,1100,8700,8700,2168.20113,38095.70279,18.83015249,1.07440573,,1,0.8922727273,ok
LR_abab_stop,0,6,top,1200,400,700,1200,9900,9900,182.8249638,30393.16286,20.02111973,1.082980226,16.66066968,1,0.9011458333,ok
LR_abab_stop,0,6,mid1,1200,400,700,1200,9900,9900,1058.295333,12106.2501,20.02111973,1.082980226,10.78551831,1,0.9011458333,ok
LR_abab_stop,0,6,mid2,1200,400,700,1200,9900,9900,924.9606193,895.3912196,20.02111973,1.082980226,2.968469314,1,0.9011458333,ok
LR_abab_stop,0,6,low,1200,400,700,1200,9900,9900,204.8409203,15.94214457,20.02111973,1.082980226,0.3966693952,1,0.9011458333,ok
LR_abab_stop,0,6,mu,1200,400,700,1200,9900,9900,0.1034258415,0,20.02111973,1.082980226,0,1,0.9011458333,ok
LR_abab_stop,0,6,comp,1200,400,700,1200,9900,9900,21.76551887,0,20.02111973,1.082980226,0,1,0.9011458333,ok
LR_abab_stop,0,6,all,1200,400,700,1200,9900,9900,2392.790781,43410.74632,20.02111973,1.082980226,,1,0.9011458333,ok
LR_abab_stop,0,7,top,1000,300,500,1000,10900,10900,189.999155,29731.39849,19.81937565,1.105023715,15.72981854,1,0.898875,ok
LR_abab_stop,0,7,mid1,1000,300,500,1000,10900,10900,1131.280624,12670.45645,19.81937565,1.105023715,11.12865499,1,0.898875,ok
LR_abab_stop,0,7,mid2,1000,300,500,1000,10900,10900,1023.424328,986.4858682,19.81937565,1.105023715,3.13920968,1,0.898875,ok
LR_abab_stop,0,7,low,1000,300,500,1000,10900,10900,229.0987579,17.83620042,19.81937565,1.105023715,0.4184294591,1,0.898875,ok
LR_abab_stop,0,7,mu,1000,300,500,1000,10900,10900,0.119475929,0,19.81937565,1.105023715,0,1,0.898875,ok
LR_abab_stop,0,7,comp,1000,300,500,1000,10900,10900,21.90033924,0,19.81937565,1.105023715,0,1,0.898875,ok
