arm,seed,T_present,provenance_present,report_only,provenance_path,tc_source,max_identity_abs,max_identity_rel,max_bandsum_err,max_bandsum_rel,max_V_sum_err,max_V_sum_rel,V_mu_max,V_comp_max,sigma_med_vs_trace_max_abs,tc_repair_bad_tasks,trace_tc_column_already_per_row,steps_vs_last_step_bad_tasks,nonfinite_snapshots
LR_iid,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.909938874e-11,9.996227306e-16,1.455191523e-11,2.722399886e-16,1.164153218e-10,3.132085378e-16,0,0,1.274100472e-05,,False,,
LR_abab,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,1.018563012e-11,7.384968751e-16,1.455191523e-11,3.684510689e-16,1.164153218e-10,4.392337151e-16,0,0,7.713072492e-06,,False,,
LR_aaaa,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,6.366462912e-12,1.115282581e-15,7.275957614e-12,3.456746146e-16,5.820766091e-11,3.44449847e-16,0,0,8.025033132e-06,,False,,
LR_abc,0,12,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abc/provenance.json,tc_at_task_end diff;trace last row,2.557953849e-12,6.02663415e-16,1.818989404e-12,2.16451318e-16,2.910383046e-11,1.77647554e-16,0,0,4.553977284e-06,,False,,
SNA_abab,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/SNA_abab/provenance.json,tc_at_task_end diff;trace last row,4.533262654e-12,7.652912011e-16,3.637978807e-12,2.980104135e-16,1.455191523e-11,3.29881396e-16,0,0,5.523296529e-06,,False,,
LR_abab_stop,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab_stop/seed0/provenance.json,tc_at_task_end diff;trace last row,2.515321285e-12,1.457052429e-15,1.818989404e-12,2.125268443e-16,2.910383046e-11,3.385195695e-16,0,0,3.415442919e-06,,False,,
LR_iid_stop,0,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid_stop/seed0/provenance.json,tc_at_task_end diff;trace last row,9.094947018e-12,1.457052429e-15,3.637978807e-12,2.204947269e-16,5.820766091e-11,3.030721643e-16,0,0,6.715208762e-06,,False,,
LR_iid_ext,0,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/LR/provenance.json,no trace,1.227817847e-11,7.303206978e-16,1.455191523e-11,4.1286425e-16,2.328306437e-10,4.037541751e-16,0,0,,,,,
SNA_iid_ext,0,50,False,True,/home/issan/Projects/obsidian-research-data/rlcifar_mlp_battle_0918/results/rlcifar_mlp_battle_0918/SNA/provenance.json,no trace,7.50333129e-12,4.698071679e-16,3.637978807e-12,2.38115263e-16,2.910383046e-11,2.267717876e-16,0,0,,,,,
LR_iid,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_iid/provenance.json,tc_at_task_end diff;trace last row,1.500666258e-11,1.006153877e-15,1.455191523e-11,2.185486268e-16,2.328306437e-10,3.098367953e-16,0,0,1.695185691e-05,,False,,
LR_abab,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_abab/provenance.json,tc_at_task_end diff;trace last row,7.915446076e-12,8.360419212e-16,7.275957614e-12,2.169996702e-16,1.164153218e-10,4.039628888e-16,0,0,7.952483998e-06,,False,,
LR_aaaa,1,50,True,False,/home/issan/Projects/claude/wt/altlabels_cifar_0923/results/altlabels_cifar_0923/LR_aaaa/provenance.json,tc_at_task_end diff;trace last row,7.105427358e-12,1.320458035e-15,7.275957614e-12,4.335051518e-16,1.164153218e-10,3.902558728e-16,0,0,9.537365365e-06,,False,,
