fork_set,t,seed,branch,slot,band,N,V,sigma_med,H,snap,status
LR_abab_fork,2,0,C,end,all,3663.793517,67231.78459,25.13427925,1.064245365,snap/fork_t02_C_seed0_end.npz,ok
LR_abab_fork,2,1,A,stop,top,258.7084236,40124.76595,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,mid1,1435.446396,16910.02415,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,mid2,1213.715644,1218.107354,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,low,268.5849585,20.93227525,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,mu,0.09641188964,0,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,comp,28.63835733,0,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,stop,all,3205.190191,58273.82973,23.01805726,1.099857014,snap/fork_t02_A_seed1_stop.npz,ok
LR_abab_fork,2,1,A,end,top,264.0503302,40984.92246,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,mid1,1454.426431,17131.14506,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,mid2,1231.245664,1234.61566,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,low,273.284683,21.28437278,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,mu,0.09745704313,0,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,comp,28.67477573,0,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,A,end,all,3251.779341,59371.96755,23.23879497,1.099396203,snap/fork_t02_A_seed1_end.npz,ok
LR_abab_fork,2,1,B,stop,top,290.1935692,45329.60844,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,stop,mid1,1317.699167,16171.58361,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,stop,mid2,985.2241303,1013.13913,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,stop,low,207.2860463,16.15176025,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,stop,mu,0.06342568171,0,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
LR_abab_fork,2,1,B,stop,comp,26.76497589,0,24.10090586,1.076527306,snap/fork_t02_B_seed1_stop.npz,ok
