arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,17,none,0.9815020833,1,1,0,0,-5.724600315,33.98941422,-17.20641327,0.4832501411,77.84526099,0,0,-41.6402626,31.84687996,-67.58576965,0.1652499586,78.92078417,9.242745399,1.640844703,0.7773938179,1600,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,18,none,0.98209375,1,1,0,0,-5.19206953,33.06700516,-17.02491951,0.4862501025,78.73132107,0,0,-37.96714401,31.91368103,-65.65130615,0.174249962,82.94821539,9.430281639,1.651405334,0.7647386789,1600,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,19,none,0.9815020833,1,1,0,0,-6.06166029,34.96075058,-18.20739555,0.4780001044,78.36425484,0,0,-43.14170837,34.26706696,-64.36781311,0.1719999611,82.96043506,9.753848076,1.69449544,0.8014793396,1600,2300,1200,1,1200,2800,2800,0,0,0,1,1,1
LR,std,0,0,0.001,20,none,0.9827229167,1,1,0,0,-6.288259029,35.34663773,-18.63941383,0.4697501361,79.14403336,0,0,-41.24200439,33.42850494,-69.23709106,0.1682499498,82.19245506,9.915507317,1.721030474,0.7690532207,1500,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,21,none,0.9812270833,1,1,0,0,-6.57074213,35.56474304,-15.95198441,0.4772500694,78.54150401,0,0,-44.54901123,34.89921951,-67.82633972,0.1599999517,80.95340703,10.06877232,1.730189204,0.7605626583,1700,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,22,none,0.9810125,1,1,0,0,-6.402641773,35.94195175,-16.25125122,0.4802500904,78.8387601,0,0,-46.34656143,36.1846199,-76.37361908,0.157749936,81.43096512,10.29000568,1.756836772,0.7535773516,1700,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,23,none,0.9826375,1,1,0,0,-7.034306049,35.49098969,-18.78152657,0.4772500694,78.73692678,0,0,-46.08409119,36.72908783,-69.15329742,0.1622499526,83.32177466,10.53377819,1.789563179,0.7650997639,1600,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,24,none,0.9822354167,1,1,0,0,-6.615186691,35.90868378,-15.74847412,0.4765000939,79.18041951,0,0,-48.68231201,38.33498383,-70.94705963,0.1697499603,83.24788635,10.72408485,1.798959494,0.7403064966,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,25,none,0.981975,1,1,0,0,-5.865744114,35.92403793,-16.95656776,0.4795001447,79.84673251,0,0,-48.4649086,36.87021637,-72.94155121,0.1637499481,83.04418657,10.88499737,1.833699822,0.7435737252,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,26,none,0.98186875,1,1,0,0,-6.991930485,36.5786171,-19.29021454,0.4742500782,79.71762994,0,0,-49.20716858,37.99785233,-71.41986084,0.1599999517,82.32996465,11.03624916,1.82601881,0.7395832539,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,27,none,0.9829145833,1,1,0,0,-7.366150856,38.083004,-18.5262661,0.4690001011,79.75045315,0,0,-49.62784195,38.22255707,-76.67166138,0.165999949,82.45200521,11.2595253,1.83296442,0.7402079105,1600,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,28,none,0.9833645833,1,1,0,0,-7.449984074,39.16336441,-20.23687553,0.4742501378,78.90801696,0,0,-51.59994125,40.81058884,-74.29309082,0.1682499647,83.33591571,11.37944031,1.852094412,0.713327527,1600,1800,1200,1,1198,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,29,none,0.9818,1,1,0,0,-8.023424149,38.56450272,-20.30972862,0.4750001132,79.40520864,0,0,-49.9916687,40.45571136,-71.59290314,0.1712499708,84.07264709,11.54048157,1.868258953,0.7273032069,1600,2300,1200,1,1200,2800,2800,0,0,0,1,1,1
LR,std,0,0,0.001,30,none,0.9822666667,1,1,0,0,-7.750076771,38.29254913,-23.38290024,0.4727500975,79.723101,0,0,-49.74462509,39.18407822,-84.09942627,0.1667499542,83.9994568,11.73731518,1.879423141,0.715210557,1600,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,31,none,0.9825729167,1,1,0,0,-8.951893806,39.37942505,-23.64237595,0.463750124,79.37881883,0,0,-49.10757828,39.95802307,-77.277565,0.1704999655,83.92439363,11.86774158,1.898336649,0.7196218967,1500,2000,1200,1,1198,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,32,none,0.9825,1,1,0,0,-8.435287476,39.44568253,-21.38471985,0.4697500765,79.10676494,0,0,-52.68699265,41.38449478,-82.20424652,0.1697499603,83.91767883,12.01152325,1.890952229,0.7131319642,1700,1900,1200,1,1198,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,33,none,0.98266875,1,1,0,0,-7.961339474,38.87348175,-21.37007523,0.4697501361,80.20176618,0,0,-51.97959137,41.48318481,-73.86725616,0.1704999655,84.09176632,12.15189266,1.910717249,0.721577704,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,34,none,0.9812729167,1,1,0,0,-7.187107086,39.80257034,-22.5609436,0.4772500694,79.80881242,0,0,-54.43454742,41.45913315,-73.28821564,0.1569999456,83.22100293,12.30410385,1.922113538,0.6962991953,1700,1800,1200,1,1198,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,35,none,0.9826166667,1,1,0,0,-8.201830864,40.22685242,-22.75286102,0.4690001607,79.80401826,0,0,-55.41134262,42.26610184,-88.90644836,0.1697499603,84.3404539,12.44578743,1.929247975,0.7226611972,1500,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,0,0,0.001,36,none,0.9818708333,1,1,0,0,-8.933700562,40.73963928,-20.46072197,0.4630000889,80.1443276,0,0,-53.73557281,42.82846451,-79.52529907,0.1667499542,82.95415168,12.53367329,1.946182966,0.7090755701,1600,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,37,none,0.98196875,1,1,0,0,-8.535043716,41.21030807,-21.68044662,0.4690001011,79.54436571,0,0,-55.05255508,44.0310173,-87.65738678,0.16899997,84.22207812,12.64614201,1.963262796,0.7193652391,1700,2200,1200,1,1199,2700,2700,0,0,0,1,1,1
LR,std,0,0,0.001,38,none,0.98230625,1,1,0,0,-9.320838928,41.10619736,-20.39395905,0.4592500925,80.15602566,0,0,-56.34502792,44.48751831,-79.48436737,0.1629999578,83.58833572,12.84818935,1.964597821,0.7145753503,1700,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,39,none,0.9812958333,1,1,0,0,-9.520005226,41.06070709,-22.87576485,0.4622500837,80.60108254,0,0,-56.85240936,44.81567001,-90.69915771,0.1629999578,83.05661148,12.94364262,1.979457617,0.7057090402,1700,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,40,none,0.9811541667,1,1,0,0,-8.71430397,41.04522324,-21.94452477,0.463750124,80.55921284,0,0,-56.64358139,43.92623901,-86.09901428,0.1674999595,83.95193429,13.12396717,1.989770412,0.7156502008,1700,2400,1200,1,1200,2900,2900,0,0,0,1,1,1
LR,std,0,0,0.001,41,none,0.9819729167,1,1,0,0,-8.809175491,41.37003708,-21.61227989,0.463750124,79.99559805,0,0,-59.21319962,45.59563828,-88.52157593,0.1569999456,82.60320064,13.24427986,2.011203051,0.6996942759,1800,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,42,none,0.9826270833,1,1,0,0,-10.07860184,42.35298538,-23.72419739,0.4607501328,79.94997633,0,0,-59.50066376,46.23192596,-96.13820648,0.1562499553,81.77066672,13.33194065,2.006803513,0.710034132,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,43,none,0.9812375,1,1,0,0,-10.25211716,42.95488739,-24.23661995,0.4592500925,79.82125721,0,0,-60.11786652,45.83854294,-86.80064392,0.1659999639,84.24721431,13.54624462,2.01804018,0.7122042179,1800,2100,1200,1,1200,2600,2600,0,0,0,1,1,1
LR,std,0,0,0.001,44,none,0.98230625,1,1,0,0,-11.30243587,41.98556137,-23.2785759,0.4510000646,80.10732228,0,0,-57.35356903,46.12177277,-83.65241241,0.1712499559,83.75280032,13.58617592,2.007836819,0.6816663146,1600,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,45,none,0.9825020833,1,1,0,0,-9.99930954,42.63974762,-22.82520676,0.4570001364,80.62993704,0,0,-57.95770264,45.35348129,-84.21820068,0.1659999639,83.90942773,13.69734764,2.020347357,0.7029519677,1800,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,46,none,0.9825625,1,1,0,0,-11.11858463,42.27591324,-23.78616905,0.4540001154,80.69640866,0,0,-58.76799011,45.4510231,-83.54360962,0.1674999595,84.0641414,13.83108616,2.030697107,0.6996734738,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,47,none,0.9816833333,1,1,0,0,-11.4213047,43.21512222,-24.45025253,0.4525001049,80.41898254,0,0,-59.75622559,46.71024323,-85.08657837,0.1614999622,85.04448469,13.95540905,2.044177294,0.7151424289,1700,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,0,0,0.001,48,none,0.9823229167,1,1,0,0,-10.40484715,42.87329483,-29.33288765,0.4517500997,80.09325811,0,0,-61.74610138,47.37027359,-100.4565125,0.1637499481,83.59366092,14.10425186,2.048237085,0.7029149532,1600,2100,1200,1,1200,2600,2600,0,0,0,1,1,1
LR,std,0,0,0.001,49,none,0.9824833333,1,1,0,0,-10.1873951,43.77908707,-24.42714882,0.4585000575,80.01614324,0,0,-61.72940063,48.09947205,-93.32810211,0.155499965,82.86983737,14.19201756,2.033214808,0.704072237,1700,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,0,0,0.001,50,none,0.9814375,1,1,0,0,-11.4299345,44.34024048,-26.90188217,0.4585000575,80.24921865,0,0,-63.83021545,48.5837822,-88.82682037,0.1569999605,83.32485772,14.38375568,2.069679737,0.727324307,1800,2600,1200,1,1199,3100,3100,0,0,0,1,1,1
LR,std,1,1,0.001,1,none,0.98424375,1,1,0,0,-0.9029779434,11.88421631,-6.034776688,0.5155000687,71.82120941,0,0,-1.868775487,7.259572029,-7.921465874,0.4532500803,72.10854307,2.550596476,0.8062745333,0.9840755463,1500,1600,1200,1,1200,2100,2100,0,0,0,1,1,1
LR,std,1,1,0.001,2,none,0.9833666667,1,1,0,0,-2.049743652,17.22485352,-8.560044289,0.4990001023,72.65758619,0,0,-9.280558586,11.4130888,-17.89368439,0.2890000343,77.7338168,3.516980886,0.9690085649,1.130656123,1300,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,3,none,0.983175,1,1,0,0,-2.425000429,19.16943932,-9.670147896,0.490750134,74.15991419,0,0,-13.79985428,13.75555992,-28.52291107,0.2290000021,79.85208227,4.203688145,1.072268009,1.131763101,1400,1700,1200,1,1198,2200,2200,0,0,0,1,1,1
LR,std,1,1,0.001,4,none,0.9834104167,1,1,0,0,-3.15784955,22.17733383,-10.26818943,0.4892500937,74.48121833,0,0,-18.32410812,16.37954521,-30.30629539,0.2109999806,80.58906485,4.822049618,1.167287827,1.123793721,1600,1700,1200,1,1199,2200,2200,0,0,0,1,1,1
LR,std,1,1,0.001,5,none,0.9827854167,1,1,0,0,-3.309043884,23.67315102,-10.96225834,0.4982501268,75.77307904,0,0,-21.1461792,18.20807076,-36.56090927,0.1869999766,79.87789803,5.350049019,1.221928239,1.079318166,1600,1700,1200,1,1200,2200,2200,0,0,0,1,1,1
LR,std,1,1,0.001,6,none,0.9835416667,1,1,0,0,-3.304083824,23.80841255,-12.84102535,0.500500083,77.15000473,0,0,-24.45054817,18.37333488,-37.13396454,0.1749999523,79.12439202,5.759647846,1.266401172,1.056483269,1500,1600,1200,1,1200,2100,2100,0,0,0,1,1,1
LR,std,1,1,0.001,7,none,0.9829625,1,1,0,0,-3.846312761,24.84687042,-12.83694363,0.4900000989,76.75977798,0,0,-24.95544052,19.8265686,-40.29887772,0.1689999551,77.23830788,6.132482529,1.31878674,1.024838448,1500,1700,1200,1,1200,2200,2200,0,0,0,1,1,1
LR,std,1,1,0.001,8,none,0.9822854167,1,1,0,0,-5.325687885,27.20602798,-16.46489334,0.4787501097,76.20365624,0,0,-27.09448814,21.85674477,-43.71121216,0.174249962,79.79627086,6.5417099,1.357643008,0.9884335399,1700,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,9,none,0.9825,1,1,0,0,-5.591868877,27.62858582,-13.8356657,0.4727500975,76.965359,0,0,-25.70928192,21.9004879,-40.61820221,0.1877499521,80.500801,6.832293987,1.379784822,0.9478153586,1500,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,10,none,0.9832166667,1,1,0,0,-5.638585091,28.12266541,-18.02262497,0.4705000818,77.62033264,0,0,-26.52329254,22.26816559,-45.7458992,0.1847499758,78.88658761,7.158527851,1.40558815,0.905377388,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,11,none,0.9823875,1,1,0,0,-5.21932888,29.10434341,-17.03206062,0.4750001132,77.40536484,0,0,-28.94778633,23.51705933,-47.9173584,0.1802499741,81.01101947,7.452576637,1.433176875,0.8729370236,1600,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,12,none,0.98219375,1,1,0,0,-6.113194942,29.6593914,-15.37659836,0.4735001326,77.49735859,0,0,-30.97089958,25.20085335,-61.67596436,0.1839999706,80.57758852,7.741055489,1.468478084,0.8112257123,1500,1500,1200,1,1200,2000,2000,0,0,0,1,1,1
LR,std,1,1,0.001,13,none,0.9821479167,1,1,0,0,-6.713592052,31.0853138,-17.6274395,0.4750001132,77.32565733,0,0,-31.37803459,26.00236893,-54.41223526,0.1757499576,81.16586141,8.000505447,1.495856524,0.8218272924,1500,1700,1200,1,1200,2200,2200,0,0,0,1,1,1
LR,std,1,1,0.001,14,none,0.9823875,1,1,0,0,-6.8430233,31.68525314,-16.28760147,0.4727500975,78.64785841,0,0,-31.93654442,26.91271591,-49.08206558,0.1832499653,82.83648429,8.296441078,1.534334302,0.8279814124,1500,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,15,none,0.98259375,1,1,0,0,-8.006083488,32.61421585,-17.39024353,0.473500073,77.72847424,0,0,-36.84978104,28.63957214,-61.78816605,0.1682499498,82.06100683,8.55846405,1.555099607,0.802075386,1600,1800,1200,1,1199,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,16,none,0.9822,1,1,0,0,-7.665865898,33.53336716,-19.43651009,0.4675001204,78.363801,0,0,-35.5256691,29.21191788,-55.4179039,0.1764999628,82.31785656,8.81966114,1.578878284,0.8091560006,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,17,none,0.9820145833,1,1,0,0,-7.100923061,34.26062775,-19.69534302,0.473500073,78.14752181,0,0,-37.63134384,30.29509163,-61.61701965,0.1667499393,81.06739622,9.108551025,1.618770003,0.8075665236,1600,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,18,none,0.9827520833,1,1,0,0,-7.416422844,33.59949112,-20.42178345,0.4705000818,78.19041996,0,0,-38.85813904,31.05172539,-56.86191559,0.1749999523,82.2790662,9.297469139,1.642351151,0.794225812,1600,1800,1200,1,1199,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,19,none,0.98226875,1,1,0,0,-7.844135761,34.157547,-17.68214226,0.4577501118,79.54834942,0,0,-36.30195999,30.78635788,-68.50883484,0.1757499427,83.6502571,9.511026382,1.665773034,0.7835431099,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,20,none,0.9820166667,1,1,0,0,-7.79795599,35.35920715,-23.11124229,0.4607501328,78.99038484,0,0,-42.32703018,32.5363121,-63.02564621,0.171999976,81.31839193,9.765079498,1.690092921,0.7751098275,1500,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,21,none,0.9816666667,1,1,0,0,-9.833673477,34.93141937,-26.80247879,0.4510001242,79.20718825,0,0,-40.55156708,33.55960464,-61.73123169,0.179499954,83.25159717,9.995877266,1.711184978,0.7744439244,1700,1900,1200,1,1199,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,22,none,0.9822291667,1,1,0,0,-8.843582153,35.72525406,-21.97770309,0.4502500892,79.16848287,0,0,-42.48151779,34.69455338,-60.05086136,0.1734999418,83.57314556,10.17637062,1.713313818,0.7783182263,1500,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,23,none,0.9828666667,1,1,0,0,-8.69182682,36.71731567,-22.36053848,0.466750145,78.75248284,0,0,-44.66162109,36.6513443,-68.71881104,0.1697499603,81.18226433,10.36904049,1.744056106,0.7688854337,1700,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,24,none,0.9826604167,1,1,0,0,-8.572656631,36.39470673,-22.64282608,0.4592500925,78.65345353,0,0,-47.02000046,37.76364517,-76.90518188,0.1697499603,81.38980881,10.57227421,1.759257674,0.7679838538,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,25,none,0.981125,1,1,0,0,-8.608843803,37.70455933,-22.3669548,0.4562501013,78.96182719,0,0,-48.09643173,36.80951691,-71.78095245,0.1592499614,81.6554585,10.73840141,1.780687571,0.7620788217,1800,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,1,1,0.001,26,none,0.98181875,0.9991666675,0.9991666675,0,0,-9.66425705,37.69582748,-19.97192192,0.4570001364,79.14819889,0,0,-47.79150772,37.54773331,-83.43414307,0.165999949,81.59566831,10.90658951,1.81126976,0.7645736933,1700,2100,1199,1,1199,2600,2600,0,0,0,1,1,1
LR,std,1,1,0.001,27,none,0.98169375,1,1,0,0,-9.396233559,38.6107254,-24.68671989,0.45325014,79.51325382,0,0,-47.86499405,37.54813004,-70.68437958,0.1682499498,82.80115673,11.07984161,1.816309929,0.7218478918,1700,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,28,none,0.98214375,1,1,0,0,-8.916091919,37.60692978,-24.23365021,0.4562501013,79.62064905,0,0,-48.02143478,37.55721283,-75.07423401,0.1704999655,83.40265602,11.25369644,1.82810545,0.7477977276,1700,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,29,none,0.9824791667,1,1,0,0,-9.998867989,38.5616188,-22.66893578,0.4540001154,79.34225685,0,0,-47.93649292,38.07803345,-65.18886566,0.1749999523,84.89845804,11.44903755,1.845061898,0.738679111,1600,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,30,none,0.9818666667,1,1,0,0,-10.47415733,39.53770065,-22.85598564,0.4577501416,79.31925921,0,0,-49.85281372,38.65075302,-70.91766357,0.1667499542,82.2632062,11.62876225,1.856621146,0.7550066113,1800,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,1,1,0.001,31,none,0.9816229167,1,1,0,0,-11.17570305,40.78247452,-24.69091606,0.4487501085,78.71759622,0,0,-51.22050858,39.8144989,-74.17980194,0.1637499481,82.4975127,11.7478323,1.869107962,0.7500605583,1700,2000,1200,1,1199,2500,2500,0,0,0,1,1,1
LR,std,1,1,0.001,32,none,0.9814854167,1,1,0,0,-11.26365089,40.51840591,-29.02294731,0.45325014,78.78027834,0,0,-51.58606339,40.68842316,-79.24019623,0.1712499559,82.86410185,11.95710564,1.883821845,0.7487485409,1700,2200,1200,1,1200,2700,2700,0,0,0,1,1,1
LR,std,1,1,0.001,33,none,0.9826,1,1,0,0,-11.26827049,40.79401398,-27.25242043,0.4615001082,79.3941514,0,0,-50.52542496,41.77218628,-72.35346222,0.1757499427,83.88785136,12.12177372,1.891411901,0.7343038321,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,1,1,0.001,34,none,0.9820666667,1,1,0,0,-10.75852108,40.68733978,-27.20155907,0.45325014,79.6788125,0,0,-50.7320137,41.08076096,-76.8218689,0.1749999523,84.04766697,12.20607567,1.914997578,0.7115805745,1600,2000,1200,1,1200,2500,2500,0,0,0,1,1,1
LR,std,1,1,0.001,35,none,0.9820625,1,1,0,0,-12.00681019,40.25499344,-29.06043053,0.4487501085,79.4083903,0,0,-53.43019485,40.11872482,-79.10476685,0.1547499597,82.20418677,12.34205151,1.935185194,0.7405628562,1700,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,36,none,0.9812375,1,1,0,0,-11.72968578,41.38771057,-26.1956501,0.4525001049,79.52360664,0,0,-55.18227386,41.7530098,-81.65814972,0.1667499542,81.63015204,12.51466751,1.93943274,0.7222259641,1600,1900,1200,1,1200,2400,2400,0,0,0,1,1,1
LR,std,1,1,0.001,37,none,0.9830291667,1,1,0,0,-12.02957439,41.47956467,-27.09016037,0.4472500682,80.22651386,0,0,-51.36780167,41.62719727,-82.35328674,0.1712499559,82.81689968,12.55675507,1.933797956,0.7153367996,1600,1800,1200,1,1200,2300,2300,0,0,0,1,1,1
LR,std,1,1,0.001,38,none,0.9814875,1,1,0,0,-12.39015484,42.73324585,-28.35818481,0.4465000927,79.25166895,0,0,-55.71964264,42.60295486,-83.2336731,0.1622499526,82.06346882,12.76389503,1.967075467,0.7356492877,1800,2200,1200,1,1199,2700,2700,0,0,0,1,1,1
