geometry,optimizer,seed,task,n_keys,n_mismatched_keys,mismatched_keys,max_abs_difference,main_snapshot,priority_snapshot
avg16,adam,300,0,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t000.npz
avg16,adam,300,1,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t001.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t001.npz
avg16,adam,300,2,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t002.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t002.npz
avg16,adam,300,3,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t003.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t003.npz
avg16,adam,300,4,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t004.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t004.npz
avg16,adam,300,5,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t005.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t005.npz
avg16,adam,300,6,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t006.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t006.npz
avg16,adam,300,7,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t007.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t007.npz
avg16,adam,300,8,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t008.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t008.npz
avg16,adam,300,9,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t009.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t009.npz
avg16,adam,300,10,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t010.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t010.npz
avg16,adam,300,11,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t011.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t011.npz
avg16,adam,300,12,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t012.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t012.npz
avg16,adam,300,13,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t013.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t013.npz
avg16,adam,300,14,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t014.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t014.npz
avg16,adam,300,15,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t015.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t015.npz
avg16,adam,300,16,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t016.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t016.npz
avg16,adam,300,17,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t017.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t017.npz
avg16,adam,300,18,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t018.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t018.npz
avg16,adam,300,19,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t019.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t019.npz
avg16,adam,300,20,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t020.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t020.npz
avg16,adam,300,21,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t021.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t021.npz
avg16,adam,300,22,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t022.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t022.npz
avg16,adam,300,23,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t023.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t023.npz
avg16,adam,300,24,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t024.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t024.npz
avg16,adam,300,25,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t025.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t025.npz
avg16,adam,300,26,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t026.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t026.npz
avg16,adam,300,27,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t027.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t027.npz
avg16,adam,300,28,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t028.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t028.npz
avg16,adam,300,29,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t029.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t029.npz
avg16,adam,300,30,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t030.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t030.npz
avg16,adam,300,31,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t031.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t031.npz
avg16,adam,300,32,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t032.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t032.npz
avg16,adam,300,33,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t033.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t033.npz
avg16,adam,300,34,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t034.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t034.npz
avg16,adam,300,35,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t035.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t035.npz
avg16,adam,300,36,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t036.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t036.npz
avg16,adam,300,37,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t037.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t037.npz
avg16,adam,300,38,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t038.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t038.npz
avg16,adam,300,39,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t039.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t039.npz
avg16,adam,300,40,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t040.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t040.npz
avg16,adam,300,41,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t041.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t041.npz
avg16,adam,300,42,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t042.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t042.npz
avg16,adam,300,43,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t043.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t043.npz
avg16,adam,300,44,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t044.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t044.npz
avg16,adam,300,45,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t045.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t045.npz
avg16,adam,300,46,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t046.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t046.npz
avg16,adam,300,47,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t047.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t047.npz
avg16,adam,300,48,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t048.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t048.npz
avg16,adam,300,49,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t049.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t049.npz
avg16,adam,300,50,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed300/t050.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed300/t050.npz
avg16,adam,301,0,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t000.npz
avg16,adam,301,1,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t001.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t001.npz
avg16,adam,301,2,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t002.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t002.npz
avg16,adam,301,3,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t003.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t003.npz
avg16,adam,301,4,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t004.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t004.npz
avg16,adam,301,5,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t005.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t005.npz
avg16,adam,301,6,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t006.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t006.npz
avg16,adam,301,7,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t007.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t007.npz
avg16,adam,301,8,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t008.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t008.npz
avg16,adam,301,9,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t009.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t009.npz
avg16,adam,301,10,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t010.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t010.npz
avg16,adam,301,11,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t011.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t011.npz
avg16,adam,301,12,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t012.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t012.npz
avg16,adam,301,13,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t013.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t013.npz
avg16,adam,301,14,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t014.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t014.npz
avg16,adam,301,15,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t015.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t015.npz
avg16,adam,301,16,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t016.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t016.npz
avg16,adam,301,17,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t017.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t017.npz
avg16,adam,301,18,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t018.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t018.npz
avg16,adam,301,19,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t019.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t019.npz
avg16,adam,301,20,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t020.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t020.npz
avg16,adam,301,21,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t021.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t021.npz
avg16,adam,301,22,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t022.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t022.npz
avg16,adam,301,23,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t023.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t023.npz
avg16,adam,301,24,21,0,,0.0,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/raw/avg16/adam/seed301/t024.npz,/home/issan/Projects/obsidian-research-data/effdisp_imagegeom_0924/priority_avg16/raw/avg16/adam/seed301/t024.npz
