act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
SNA,l2,0.001,0.001,2,1,0.9516645833,1,1,0,0,-0.2005218118,0.7126352787,-1.206487417,0.7852566242,69.61382687,0,0,0.332593739,0.379332304,0.003702160437,1.426809907,38.48154452,1.113766074,0.6844940782,1.899166226,0.8688033223,0.4487830102,3,0.1199999973,1.200000048,1.605825186,0.6809065938,3,0.1400000006,1.200000048,0.197906036,0.197906036,0.2263644101,0.0437497737
SNA,l2,0.001,0.001,2,2,0.9593520833,1,1,0,0,-0.4265570343,0.9049985409,-3.860148907,0.7117152214,66.76585546,0,0,0.04501334578,0.5612894893,-2.011155128,1.154678583,42.5021461,1.136266351,0.6036607623,1.973985553,0.6746183038,0.3970437348,3,0.0700000003,1.200000048,1.062848926,0.3513843119,3,0.2399999946,1.200000048,0.2122469339,0.2122469339,0.2589736322,0.04930984301
SNA,l2,0.001,0.001,2,3,0.9615270833,1,1,0,0,-0.6040391922,0.9357022643,-5.259804726,0.6922416091,65.0347245,0,0,0.01557124127,0.5359140635,-3.497656584,1.024327159,36.95386965,1.151799679,0.543805182,2.036486626,0.6598092318,0.4054735601,3,0.05000000075,1.200000048,1.090983868,0.3065257072,3,0.3300000131,1.200000048,0.2178628809,0.2178628809,0.2736266757,0.05194145174
SNA,l2,0.001,0.001,2,4,0.9606375,1,1,0,0,-0.6946676373,1.091994047,-5.051557064,0.7223117948,66.10295608,0,0,-0.02313383296,0.9316855073,-5.238636971,0.9511311054,45.18978367,1.284111023,0.7991975546,2.112495899,0.5622910857,0.2986668348,3,0.01999999955,1.200000048,0.6507260799,0.1561926305,3,0.2300000042,1.200000048,0.2810448095,0.2810448095,0.3403755278,0.08000433068
SNA,l2,0.001,0.001,2,5,0.9623979167,1,1,0,0,-0.7447183132,1.17920506,-6.178779125,0.7077447772,64.80754243,0,0,-0.5895943046,1.480178952,-6.916492462,0.6758327484,52.98530344,1.348202705,0.9330883026,2.168357611,0.5163117647,0.2614312768,2.242225885,0,1.200000048,0.4157209694,0.1698895544,3,0.1199999973,1.200000048,0.3201813025,0.3201813025,0.3803988897,0.0990583605
SNA,l2,0.001,0.001,2,6,0.9640916667,1,1,0,0,-0.2018288374,1.172499776,-8.0990839,0.938805759,58.10920028,0,0,-1.213615298,2.012409687,-7.69067955,0.7642291784,57.50318174,1.237700105,0.9099828601,2.234025002,0.5240252614,0.2682493627,3,0.03999999911,1.200000048,0.3027895391,0.1305535734,3,0.05000000075,1.200000048,0.2915558426,0.2915558426,0.3543188281,0.08331606614
SNA,l2,0.001,0.001,2,7,0.9631270833,0.9983333349,0.9983333349,0,0,-0.4816937149,1.189801812,-7.969432831,0.7354585528,61.43234252,0,0,-0.9426119924,1.615852356,-5.961600304,0.6664840579,58.07189689,1.417603731,0.9432098269,2.190185547,0.5218813419,0.2551996708,3,0.03999999911,1.200000048,0.3904579878,0.1528840363,3,0.05000000075,1.200000048,0.3311115645,0.3311115645,0.392502755,0.1051895059
SNA,l2,0.001,0.001,2,8,0.9641625,1,1,0,0,-0.5056433082,1.166509271,-8.838838577,0.7780215144,62.78738278,0,0,-0.7598041892,1.757589936,-4.790287018,0.6565127373,59.89186025,1.365256071,0.925580442,2.246236086,0.5286901593,0.2493366599,2.455434322,0,1.200000048,0.3526476026,0.1643508673,3,0.05000000075,1.200000048,0.325549809,0.325549809,0.3919902525,0.1021258319
SNA,l2,0.001,0.001,2,9,0.9623875,1,1,0,0,-0.4332879782,1.14797163,-8.098114014,0.7788779736,62.92000314,0,0,-0.6613202691,1.71581912,-5.268497467,0.6773080826,57.90587348,1.346753597,0.9295992851,2.194987297,0.5348137021,0.2647907734,3,0.009999999776,1.200000048,0.3581095636,0.1682597101,3,0.1000000015,1.200000048,0.3191752016,0.3191752016,0.3893063876,0.09856241196
SNA,l2,0.001,0.001,2,10,0.9637229167,0.9599999785,0.9599999785,0,0,-0.6054395437,1.184181213,-12.40105343,0.7697030902,59.83660248,0,0,-1.270581722,1.774034262,-7.155385971,0.6544950008,57.94239277,1.332111597,0.9718407989,2.178848267,0.5274611712,0.1685876995,2.91958046,0,1.200000048,0.3486635685,0.1425537318,3,0.05999999866,1.200000048,0.3236546945,0.3236546945,0.3917387164,0.1008345438
