population,k,band,n_pair,n_seed,seed_ids,F,D,H
A,1000,-25,2,1,9,0.0007991046040842775,3.651218676426282e-05,-0.0007625924173200147
A,1000,-24,12,1,9,-0.0002364021202083677,1.472689217054324e-05,0.00025112901237891094
A,1000,-23,6,2,"0,9",-0.0005391525858158275,-3.2213585705299864e-05,0.0005069390001105276
A,1000,-22,12,2,"0,8",2.6014801682726502e-06,-7.026722242701547e-06,-9.628202410974204e-06
A,1000,-21,70,4,"0,5,8,9",9.499172591107779e-06,-1.5725085697748898e-05,-2.5224258288856677e-05
A,1000,-20,96,7,"0,2,3,4,5,8,9",-5.529736304602517e-06,-3.4692705448692183e-06,2.060465759733298e-06
A,1000,-19,75,5,"3,4,5,8,9",-6.412811332358946e-05,-6.744178411677017e-06,5.7383934911912436e-05
A,1000,-18,196,10,"0,1,2,3,4,5,6,7,8,9",9.483780717779975e-05,-4.732817271041768e-06,-9.957062444884152e-05
A,1000,-17,336,10,"0,1,2,3,4,5,6,7,8,9",3.062104411259872e-05,-3.244214505336378e-06,-3.386525861793511e-05
A,1000,-16,500,10,"0,1,2,3,4,5,6,7,8,9",1.257015872291713e-05,-1.1858838980136946e-06,-1.3756042620930833e-05
A,1000,-15,631,10,"0,1,2,3,4,5,6,7,8,9",4.9501437305556214e-05,3.583509094856898e-07,-4.9143086396070535e-05
A,1000,-14,925,10,"0,1,2,3,4,5,6,7,8,9",6.773631867791377e-05,1.2199681590680904e-06,-6.651635051884568e-05
A,1000,-13,1283,10,"0,1,2,3,4,5,6,7,8,9",4.342751635170251e-05,-9.269200532710255e-07,-4.4354436404973535e-05
A,1000,-12,1790,10,"0,1,2,3,4,5,6,7,8,9",4.8449973218305156e-05,1.5254952646616964e-07,-4.829742369183898e-05
A,1000,-11,2134,10,"0,1,2,3,4,5,6,7,8,9",6.754982950065274e-05,-2.2558706803164116e-07,-6.777541656868441e-05
A,1000,-10,2730,10,"0,1,2,3,4,5,6,7,8,9",1.3251278856252843e-05,-1.146295557843639e-07,-1.3365908412037218e-05
A,1000,-9,3285,10,"0,1,2,3,4,5,6,7,8,9",3.983624164445605e-05,-1.5533895365209512e-07,-3.999158059810813e-05
A,1000,-8,4288,10,"0,1,2,3,4,5,6,7,8,9",6.456179781770831e-05,-5.240138103441398e-07,-6.508581162805245e-05
A,1000,-7,5593,10,"0,1,2,3,4,5,6,7,8,9",4.8721112964913624e-05,-7.109395202920961e-07,-4.94320524852057e-05
A,1000,-6,6787,10,"0,1,2,3,4,5,6,7,8,9",5.6300928903601146e-05,-1.0866898558943358e-06,-5.738761875949555e-05
A,1000,-5,9118,10,"0,1,2,3,4,5,6,7,8,9",9.830435503268992e-05,3.133275044788372e-07,-9.799102752821108e-05
A,1000,-4,11991,10,"0,1,2,3,4,5,6,7,8,9",0.00012225403321558325,-2.3700115639945174e-07,-0.0001224910343719827
A,1000,-3,16814,10,"0,1,2,3,4,5,6,7,8,9",6.168943600924033e-05,-3.9579538572232203e-07,-6.208523139496265e-05
A,1000,-2,21243,10,"0,1,2,3,4,5,6,7,8,9",2.6477440936627625e-05,-1.2477094845708236e-06,-2.772515042119843e-05
A,1000,-1,20568,10,"0,1,2,3,4,5,6,7,8,9",-8.305956020513284e-06,-1.109657200626772e-06,7.196298819886504e-06
A,1000,0,15935,10,"0,1,2,3,4,5,6,7,8,9",-2.5691780889224958e-05,-1.349898043332835e-06,2.434188284589211e-05
A,1000,1,10707,10,"0,1,2,3,4,5,6,7,8,9",-4.2225356130072206e-05,-2.277197798701142e-06,3.9948158331371097e-05
A,1000,2,5403,10,"0,1,2,3,4,5,6,7,8,9",-9.710723310736328e-05,-3.542601961189994e-06,9.356463114617328e-05
A,1000,3,2496,10,"0,1,2,3,4,5,6,7,8,9",-0.00015312185712353365,-6.276089605364882e-06,0.0001468457675181688
A,1000,4,1667,10,"0,1,2,3,4,5,6,7,8,9",-0.0005138187340316755,-8.931388661856792e-06,0.0005048873453698188
A,1000,5,888,10,"0,1,2,3,4,5,6,7,8,9",-0.0012360758782058827,-1.50415638259296e-05,0.001221034314379953
A,1000,6,454,10,"0,1,2,3,4,5,6,7,8,9",-0.0008672610592874725,-1.5050817388760772e-05,0.0008522102418987116
A,1000,7,260,10,"0,1,2,3,4,5,6,7,8,9",-0.0010002974531637399,-1.5431873628979246e-05,0.0009848655795347606
A,1000,8,190,10,"0,1,2,3,4,5,6,7,8,9",-0.001368012775897564,-2.6104537956399228e-05,0.0013419082379411648
A,1000,9,96,9,"0,1,2,4,5,6,7,8,9",-0.0014810908832350559,-4.628634450443072e-05,0.001434804538730625
A,1000,10,75,6,"0,1,2,4,7,8",-0.005033105611600961,-3.4337547116365234e-05,0.004998768064484597
A,1000,11,33,4,"0,1,7,8",-0.004916966827270015,-2.296694592146388e-05,0.004893999881348551
A,1000,12,21,2,"1,8",-0.002193715423951896,-2.0639752616337822e-05,0.002173075671335558
A,1000,13,4,2,"1,8",-0.004181792649130026,-3.4236863107066045e-05,0.00414755578602296
