k,band,band_center,n_A,n_S,n_L,n_seed,seed_ids,A_F,C_S_F,C_L_F,A_D,C_S_D,C_L_D,A_H,C_S_H,C_L_H,off_rate
1,-24,-2.35,60,60,0,1,9,0.00036682995476742993,0.00036682995476742993,0.0,-0.0002516804018933764,-0.0002516804018933764,0.0,-0.0006185103566608063,-0.0006185103566608063,0.0,0.0
1,-23,-2.25,60,60,0,1,0,-1.2608139744922179e-05,-1.2608139744922179e-05,0.0,-8.09541904253308e-05,-8.09541904253308e-05,0.0,-6.834605068040863e-05,-6.834605068040863e-05,0.0,0.0
1,-22,-2.15,60,60,0,1,8,-7.030252436379669e-06,-7.030252436379669e-06,0.0,-4.8518529354169004e-06,-4.8518529354169004e-06,0.0,2.1783995009627686e-06,2.1783995009627686e-06,0.0,0.0
1,-21,-2.05,502,502,0,3,"5,8,9",1.3900433731260628e-05,1.3900433731260628e-05,0.0,2.2996883171511338e-05,2.2996883171511338e-05,0.0,9.096449440250704e-06,9.096449440250704e-06,0.0,0.0
1,-20,-1.95,638,638,0,6,"2,3,4,5,8,9",8.566496277611976e-06,8.566496277611976e-06,0.0,3.463450508631431e-05,3.463450508631431e-05,0.0,2.6068008808702325e-05,2.6068008808702325e-05,0.0,0.0
1,-19,-1.85,523,523,0,3,"4,5,9",0.00016236489208010837,0.00016236489208010837,0.0,0.0003902451453145664,0.0003902451453145664,0.0,0.00022788025323445803,0.00022788025323445803,0.0,0.0
1,-18,-1.75,1425,1425,0,10,"0,1,2,3,4,5,6,7,8,9",-3.009191375448753e-05,-3.009191375448753e-05,0.0,-4.415745872079623e-05,-4.415745872079623e-05,0.0,-1.4065544966308693e-05,-1.4065544966308693e-05,0.0,0.0
1,-17,-1.65,1986,1986,0,9,"0,1,2,4,5,6,7,8,9",-1.2392420130950097e-05,-1.2392420130950097e-05,0.0,-1.5309903152527397e-05,-1.5309903152527397e-05,0.0,-2.9174830215773022e-06,-2.9174830215773022e-06,0.0,0.0
1,-16,-1.55,3477,3477,0,10,"0,1,2,3,4,5,6,7,8,9",3.5004563817403647e-06,3.5004563817403647e-06,0.0,4.198295364381064e-05,4.198295364381064e-05,0.0,3.848249726207027e-05,3.848249726207027e-05,0.0,0.0
1,-15,-1.45,4620,4620,0,10,"0,1,2,3,4,5,6,7,8,9",0.0001208615452106931,0.0001208615452106931,0.0,2.2931094870323324e-06,2.2931094870323324e-06,0.0,-0.00011856843572366079,-0.00011856843572366079,0.0,0.0
1,-14,-1.35,6339,6339,0,10,"0,1,2,3,4,5,6,7,8,9",0.00023628739162131405,0.00023628739162131405,0.0,0.00018761375625434126,0.00018761375625434126,0.0,-4.8673635366972806e-05,-4.8673635366972806e-05,0.0,0.0
1,-13,-1.25,9537,9537,0,10,"0,1,2,3,4,5,6,7,8,9",-3.655281236123269e-05,-3.655281236123269e-05,0.0,-3.292061410293779e-05,-3.292061410293779e-05,0.0,3.6321982582949013e-06,3.6321982582949013e-06,0.0,0.0
1,-12,-1.15,11971,11971,0,10,"0,1,2,3,4,5,6,7,8,9",2.9767979968054995e-05,2.9767979968054995e-05,0.0,3.3699115608886095e-05,3.3699115608886095e-05,0.0,3.931135640831103e-06,3.931135640831103e-06,0.0,0.0
1,-11,-1.05,14924,14924,0,10,"0,1,2,3,4,5,6,7,8,9",-2.3450543284354293e-05,-2.3450543284354293e-05,0.0,-2.4049813775524217e-05,-2.4049813775524217e-05,0.0,-5.992704911699209e-07,-5.992704911699209e-07,0.0,0.0
1,-10,-0.95,20427,20427,0,10,"0,1,2,3,4,5,6,7,8,9",2.9979212182492197e-05,2.9979212182492197e-05,0.0,2.602818098917954e-05,2.602818098917954e-05,0.0,-3.9510311933126576e-06,-3.9510311933126576e-06,0.0,0.0
1,-9,-0.85,22380,22380,0,10,"0,1,2,3,4,5,6,7,8,9",4.7340543619557685e-05,4.7340543619557685e-05,0.0,6.095367348285468e-05,6.095367348285468e-05,0.0,1.3613129863296997e-05,1.3613129863296997e-05,0.0,0.0
1,-8,-0.75,31697,31697,0,10,"0,1,2,3,4,5,6,7,8,9",3.7045270383822864e-05,3.7045270383822864e-05,0.0,5.44590931954469e-05,5.44590931954469e-05,0.0,1.7413822811624022e-05,1.7413822811624022e-05,0.0,0.0
1,-7,-0.65,41060,41060,0,10,"0,1,2,3,4,5,6,7,8,9",5.4295159858060235e-05,5.4295159858060235e-05,0.0,5.907690453831602e-05,5.907690453831602e-05,0.0,4.7817446802557715e-06,4.7817446802557715e-06,0.0,0.0
