population,k,band,n_pair,n_seed,seed_ids,F,D,H,F_path
A,1,0,171686,10,"0,1,2,3,4,5,6,7,8,9",3.362521137587118e-05,3.746462105900959e-05,3.8394096831383295e-06,3.362521137587118e-05
A,1,1,205126,10,"0,1,2,3,4,5,6,7,8,9",8.831844212452559e-05,8.495157808960062e-05,-3.366864034924986e-06,8.831844212452559e-05
A,1,2,283405,10,"0,1,2,3,4,5,6,7,8,9",-1.0515148470566486e-05,-1.901476396628517e-05,-8.499615495718677e-06,-1.0515148470566486e-05
A,1,3,270273,10,"0,1,2,3,4,5,6,7,8,9",4.7406873947562395e-06,9.388368429278562e-06,4.647681034522338e-06,4.7406873947562395e-06
A,1,4,119828,10,"0,1,2,3,4,5,6,7,8,9",-3.0456591702532905e-05,-1.425969418753063e-05,1.6196897515002282e-05,-3.0456591702532905e-05
A,1,5,37127,10,"0,1,2,3,4,5,6,7,8,9",-0.0004011380542576216,-0.000316177015972889,8.496103828473256e-05,-0.0004011380542576216
A,1,6,7555,10,"0,1,2,3,4,5,6,7,8,9",-0.0006042480838529712,-0.0009316126758947902,-0.0003273645920418192,-0.0006042480838529712
A,2,0,171686,10,"0,1,2,3,4,5,6,7,8,9",3.362521137587118e-05,3.6629328414640336e-05,3.004117038769079e-06,3.149377970943302e-05
A,2,1,205126,10,"0,1,2,3,4,5,6,7,8,9",8.831844212452559e-05,7.744552439446687e-05,-1.0872917730058755e-05,8.083343509680067e-05
A,2,2,283405,10,"0,1,2,3,4,5,6,7,8,9",-1.0515148470566486e-05,-1.6464461909178736e-05,-5.94931343861224e-06,-9.370325359525764e-06
A,2,3,270273,10,"0,1,2,3,4,5,6,7,8,9",4.7406873947562395e-06,4.067898215804148e-06,-6.727891789520949e-07,3.844178847527364e-06
A,2,4,119828,10,"0,1,2,3,4,5,6,7,8,9",-3.0456591702532905e-05,-1.1868882196462175e-05,1.858770950607074e-05,-3.388440811018799e-05
A,2,5,37127,10,"0,1,2,3,4,5,6,7,8,9",-0.0004011380542576216,-0.0002965349382182807,0.00010460311603934082,-0.00035788561708130593
A,2,6,7555,10,"0,1,2,3,4,5,6,7,8,9",-0.0006042480838529712,-0.0007773324298890823,-0.0001730843460361113,-0.00046032460322358753
A,5,0,171686,10,"0,1,2,3,4,5,6,7,8,9",3.362521137587118e-05,3.342949766945022e-05,-1.9571370642097288e-07,2.658752268879488e-05
A,5,1,205126,10,"0,1,2,3,4,5,6,7,8,9",8.831844212452559e-05,5.981236361832336e-05,-2.850607850620204e-05,6.640041311281971e-05
A,5,2,283405,10,"0,1,2,3,4,5,6,7,8,9",-1.0515148470566486e-05,-1.3631463263904226e-05,-3.116314793337711e-06,-7.80651459872624e-06
A,5,3,270273,10,"0,1,2,3,4,5,6,7,8,9",4.7406873947562395e-06,-9.708979755576999e-07,-5.711585370313925e-06,3.094940197620634e-06
A,5,4,119828,10,"0,1,2,3,4,5,6,7,8,9",-3.0456591702532905e-05,-2.3401098497090575e-05,7.055493205442347e-06,-3.7151972718256397e-05
A,5,5,37127,10,"0,1,2,3,4,5,6,7,8,9",-0.0004011380542576216,-0.00020609065221002175,0.00019504740204760016,-0.00027290001761062907
A,5,6,7555,10,"0,1,2,3,4,5,6,7,8,9",-0.0006042480838529712,-0.0004937366922502838,0.00011051139160268748,-0.0002135400284589642
A,10,0,171686,10,"0,1,2,3,4,5,6,7,8,9",3.362521137587118e-05,2.7739930420725758e-05,-5.8852809551453854e-06,2.2448375970775094e-05
A,10,1,205126,10,"0,1,2,3,4,5,6,7,8,9",8.831844212452559e-05,4.972305056390112e-05,-3.859539156062421e-05,5.239268616776592e-05
A,10,2,283405,10,"0,1,2,3,4,5,6,7,8,9",-1.0515148470566486e-05,-1.482685562594595e-05,-4.31170715537934e-06,-4.193779252083741e-06
A,10,3,270273,10,"0,1,2,3,4,5,6,7,8,9",4.7406873947562395e-06,-1.516481618559743e-06,-6.257169013316047e-06,2.067636533360407e-06
A,10,4,119828,10,"0,1,2,3,4,5,6,7,8,9",-3.0456591702532905e-05,-2.8332895355998336e-05,2.123696346534533e-06,-3.03627615626398e-05
A,10,5,37127,10,"0,1,2,3,4,5,6,7,8,9",-0.0004011380542576216,-0.00014688312979475017,0.00025425492446287163,-0.00020037462351551387
A,10,6,7555,10,"0,1,2,3,4,5,6,7,8,9",-0.0006042480838529712,-0.0002873310091169157,0.0003169170747360553,-6.1176757713078e-05
A,20,0,171686,10,"0,1,2,3,4,5,6,7,8,9",3.362521137587118e-05,2.0625766003102253e-05,-1.2999445372768913e-05,1.6891118035712286e-05
A,20,1,205126,10,"0,1,2,3,4,5,6,7,8,9",8.831844212452559e-05,3.376792590871575e-05,-5.45505162158097e-05,3.5249540422979175e-05
A,20,2,283405,10,"0,1,2,3,4,5,6,7,8,9",-1.0515148470566486e-05,-1.1452951194483301e-05,-9.378027239169285e-07,3.373203661981537e-06
