seed,k,n_U,n_A,n_S,n_L,flip_cross
0,1,594000,102000,102000,0,0
0,2,594000,102000,102000,0,0
0,5,594000,102000,102000,0,0
0,10,594000,102000,102000,0,0
0,20,594000,102000,102000,0,0
0,40,594000,102000,102000,0,0
1,1,594000,106560,106560,0,0
1,2,594000,106560,106560,0,0
1,5,594000,106560,106560,0,0
1,10,594000,106560,106560,0,0
1,20,594000,106560,106560,0,0
1,40,594000,106560,106560,0,0
2,1,594000,148500,148500,0,0
2,2,594000,148500,148500,0,0
2,5,594000,148500,148500,0,0
2,10,594000,148500,148496,4,0
2,20,594000,148500,148486,14,0
2,40,594000,148500,148466,34,0
3,1,594000,90720,90720,0,0
3,2,594000,90720,90720,0,0
3,5,594000,90720,90720,0,0
3,10,594000,90720,90720,0,0
3,20,594000,90720,90720,0,0
3,40,594000,90720,90720,0,0
4,1,594000,79080,79080,0,0
4,2,594000,79080,79080,0,0
4,5,594000,79080,79080,0,0
4,10,594000,79080,79080,0,0
4,20,594000,79080,79080,0,0
4,40,594000,79080,79080,0,0
5,1,594000,163380,163380,0,0
5,2,594000,163380,163380,0,0
5,5,594000,163380,163380,0,0
5,10,594000,163380,163380,0,0
5,20,594000,163380,163380,0,0
5,40,594000,163380,163380,0,0
6,1,594000,84780,84780,0,0
6,2,594000,84780,84780,0,0
6,5,594000,84780,84780,0,0
6,10,594000,84780,84780,0,0
6,20,594000,84780,84778,2,0
6,40,594000,84780,84758,22,0
7,1,594000,92820,92820,0,0
7,2,594000,92820,92820,0,0
7,5,594000,92820,92820,0,0
7,10,594000,92820,92820,0,0
7,20,594000,92820,92820,0,0
7,40,594000,92820,92820,0,0
8,1,594000,135420,135420,0,0
8,2,594000,135420,135420,0,0
8,5,594000,135420,135420,0,0
8,10,594000,135420,135420,0,0
8,20,594000,135420,135420,0,0
8,40,594000,135420,135420,0,0
9,1,594000,91740,91740,0,0
9,2,594000,91740,91740,0,0
9,5,594000,91740,91740,0,0
9,10,594000,91740,91740,0,0
9,20,594000,91740,91740,0,0
9,40,594000,91740,91733,7,0
