population,k,metric,primary_down_root,n_down,n_up,down_roots,up_roots,zero_intervals
A,1,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,1,D,0.2729316672886827,5,4,"[-1.2649276568770684, -1.0916454712353796, -0.2774639938631084, 0.07539163553639316, 0.2729316672886827]","[-1.2005842874996009, -1.0019752859743594, -0.07620230948155286, 0.19231793767412098]",[]
A,2,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,2,D,0.27334410858226843,6,5,"[-1.4537090826243115, -1.265312951095214, -1.0885677504848428, -0.2737297455928806, 0.0722360820899462, 0.27334410858226843]","[-1.4491717584053105, -1.1993195900263847, -1.0071829199548987, -0.034973508184097085, 0.19230287732977447]",[]
A,5,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,5,D,0.2647574802319055,5,4,"[-1.2632778319617801, -1.0877891693735637, -0.26592343495733717, 0.05823990978259203, 0.2647574802319055]","[-1.2025986690645392, -1.0033827386406984, 0.010407451571158972, 0.2246440723188287]",[]
A,10,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,10,D,0.054041406131392765,4,3,"[-1.2683209826968769, -1.057062913668027, -0.26371713149288745, 0.054041406131392765]","[-1.20589964353487, -1.0285395174577494, 0.02875251311639869]",[]
A,20,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,20,D,0.05670173787161105,3,2,"[-1.2792336983207222, -0.2686179249916033, 0.05670173787161105]","[-1.2095785481142294, 0.025353557113066263]",[]
A,40,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
A,40,D,-0.2695351235881567,2,1,"[-1.3609679454612458, -0.2695351235881567]",[-1.210758451808121],[]
S,1,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,1,D,0.2729316672886827,5,4,"[-1.2649276568770684, -1.0916454712353796, -0.2774639938631084, 0.07539163553639316, 0.2729316672886827]","[-1.2005842874996009, -1.0019752859743594, -0.07620230948155286, 0.19231793767412098]",[]
S,2,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,2,D,0.27334410858226843,6,5,"[-1.4537090826243115, -1.265312951095214, -1.0885677504848428, -0.2737297455928806, 0.0722360820899462, 0.27334410858226843]","[-1.4491717584053105, -1.1993195900263847, -1.0071829199548987, -0.034973508184097085, 0.19230287732977447]",[]
S,5,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,5,D,0.2647574802319055,5,4,"[-1.2632778319617801, -1.0877891693735637, -0.26592343495733717, 0.05823990978259203, 0.2647574802319055]","[-1.2025986690645392, -1.0033827386406984, 0.010407451571158972, 0.2246440723188287]",[]
S,10,F,0.6629569203581686,5,4,"[-1.26339715035676, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,10,D,0.054041406131392765,4,3,"[-1.2683209826968769, -1.057062913668027, -0.26371713149288745, 0.054041406131392765]","[-1.20589964353487, -1.0285395174577494, 0.02875251311639869]",[]
S,20,F,0.6629569203581686,5,4,"[-1.2633953783944076, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,20,D,0.05670173787161105,3,2,"[-1.2791704760436513, -0.2686179249916033, 0.05670173787161105]","[-1.2095785481142294, 0.025353557113066263]",[]
S,40,F,0.6629569203581686,5,4,"[-1.2633979792084287, -1.0940646260948113, -0.259122412253532, 0.06525103095857608, 0.6629569203581686]","[-1.194884837654313, -1.006109581487968, -0.07582156278241402, 0.6254954589202941]",[]
S,40,D,-0.2695351235881567,2,1,"[-1.3571840696868054, -0.2695351235881567]",[-1.210758451808121],[]
L,1,F,,0,0,[],[],[]
L,1,D,,0,0,[],[],[]
L,2,F,,0,0,[],[],[]
L,2,D,,0,0,[],[],[]
L,5,F,,0,0,[],[],[]
L,5,D,,0,0,[],[],[]
L,10,F,,0,0,[],[],[]
L,10,D,,0,0,[],[],[]
L,20,F,,0,0,[],[],[]
L,20,D,,0,0,[],[],[]
L,40,F,,0,0,[],[],[]
L,40,D,,0,0,[],[],[]
U,1,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,1,D,0.2729316672886827,7,7,"[-1.8057720262189245, -1.4938844047762738, -1.2776271008924174, -1.065328344539442, -0.2859083723936339, 0.07539163553639316, 0.2729316672886827]","[-2.148140774114219, -1.589213653358305, -1.437869669325096, -1.2083605067682892, -1.024351722895161, -0.08024758551866511, 0.19231793767412098]",[]
U,2,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,2,D,0.27334410858226843,7,7,"[-1.8057720262189245, -1.4996334777006062, -1.2776494811132966, -1.062437219801221, -0.27973784791045797, 0.0722360820899462, 0.27334410858226843]","[-2.148140774114219, -1.5892695599534103, -1.436233334372815, -1.2068713235887518, -1.0298614680908698, -0.035757618975689374, 0.19230287732977447]",[]
U,5,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,5,D,0.2647574802319055,7,7,"[-1.8068346934492396, -1.4837182105981594, -1.2759661688886756, -1.0612911550700301, -0.26292535561169383, 0.05823990978259203, 0.2647574802319055]","[-2.1479592135916894, -1.5954833120996226, -1.442094329883568, -1.2061432986403051, -1.0280035670145022, 0.008651885886474656, 0.2246440723188287]",[]
U,10,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,10,D,0.054041406131392765,4,4,"[-1.8137667802920172, -1.279585598327792, -0.2589828354125102, 0.054041406131392765]","[-2.147920136345895, -1.6050494407897666, -1.2088478326960928, 0.02753308298683174]",[]
U,20,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,20,D,0.05670173787161105,4,4,"[-1.9653235074843913, -1.28566804850208, -0.26911843684977027, 0.05670173787161105]","[-2.1486762012648937, -1.614468449418647, -1.2144401588601674, 0.02403617258239353]",[]
U,40,F,0.6629569203581686,7,6,"[-2.2554180526689915, -2.008514099312451, -1.2712646693554528, -1.1088760459141267, -0.25077504910013604, 0.06525103095857608, 0.6629569203581686]","[-2.145692067776855, -1.6037229517120009, -1.1997865294224526, -0.9864875440979273, -0.08070379612770068, 0.6254954589202941]",[]
U,40,D,-0.27355017122033476,4,4,"[-1.9793144257509485, -1.677470207907253, -1.3048368728892947, -0.27355017122033476]","[-2.1490718309532757, -1.7758644216981383, -1.6392135130823484, -1.2270236435243775]",[]
