population,k,band,n_pair,n_seed,seed_ids,F,D,H,F_path
A_no_near,1,-21,60,1,9,0.00015640025164126808,9.687644871547718e-05,-5.9523802925790884e-05,0.00015640025164126808
A_no_near,1,-17,300,3,"0,2,9",-8.235461533117224e-05,-1.69677881226941e-05,6.538682720847815e-05,-8.235461533117224e-05
A_no_near,1,-16,383,4,"0,2,4,9",-2.3134048145015975e-05,-3.500187281844252e-05,-1.1867824673426542e-05,-2.3134048145015975e-05
A_no_near,1,-15,780,5,"0,1,2,4,9",4.014801674869337e-05,9.030667871551044e-05,5.015866196681708e-05,4.014801674869337e-05
A_no_near,1,-14,903,7,"0,1,2,4,5,6,9",0.00015117782760721521,0.0001731278714606833,2.1950043853468073e-05,0.00015117782760721521
A_no_near,1,-13,2102,9,"0,1,2,4,5,6,7,8,9",-0.00027704410039250117,-0.00019486979650094806,8.21743038915531e-05,-0.00027704410039250117
A_no_near,1,-12,3149,9,"0,1,2,3,4,5,6,8,9",7.667480493633696e-05,0.00015472784497684393,7.805304004050698e-05,7.667480493633696e-05
A_no_near,1,-11,4303,10,"0,1,2,3,4,5,6,7,8,9",-0.00015466003868964436,-0.0002649903112426861,-0.00011033027255304176,-0.00015466003868964436
A_no_near,1,-10,6799,10,"0,1,2,3,4,5,6,7,8,9",7.704252490139151e-06,-2.014589039526484e-05,-2.7850142885403995e-05,7.704252490139151e-06
A_no_near,1,-9,10138,10,"0,1,2,3,4,5,6,7,8,9",6.685453593427841e-05,8.28556004791169e-05,1.6001064544838503e-05,6.685453593427841e-05
A_no_near,1,-8,14755,10,"0,1,2,3,4,5,6,7,8,9",3.6849124002282535e-05,3.0314014936684954e-05,-6.535109065597559e-06,3.6849124002282535e-05
A_no_near,1,-7,19199,10,"0,1,2,3,4,5,6,7,8,9",5.461094603518715e-05,7.080184541149046e-05,1.61908993763033e-05,5.461094603518715e-05
A_no_near,1,-6,27999,10,"0,1,2,3,4,5,6,7,8,9",7.146556598607606e-05,0.00010620527246307144,3.4739706476995374e-05,7.146556598607606e-05
A_no_near,1,-5,42928,10,"0,1,2,3,4,5,6,7,8,9",0.00017754341082322475,0.00012660664879701695,-5.0936762026207815e-05,0.00017754341082322475
A_no_near,1,-4,64889,10,"0,1,2,3,4,5,6,7,8,9",8.5826625119189e-05,8.692822520212698e-05,1.101600082937989e-06,8.5826625119189e-05
A_no_near,1,-3,103906,10,"0,1,2,3,4,5,6,7,8,9",-9.946371747269489e-06,-3.277612198646408e-05,-2.2829750239194575e-05,-9.946371747269489e-06
A_no_near,1,-2,148371,10,"0,1,2,3,4,5,6,7,8,9",-1.3059241867098488e-05,-1.317765292389017e-05,-1.184110567916843e-07,-1.3059241867098488e-05
A_no_near,1,-1,148489,10,"0,1,2,3,4,5,6,7,8,9",4.2560301229675185e-06,4.338050406169693e-06,8.202028320216954e-08,4.2560301229675185e-06
