population,k,band,n_pair,n_seed,seed_ids,guard_main,guard_descriptive
A,1,-24,60,1,9,False,False
A,1,-23,60,1,0,False,False
A,1,-22,60,1,8,False,False
A,1,-21,502,3,"5,8,9",False,False
A,1,-20,638,6,"2,3,4,5,8,9",False,True
A,1,-19,523,3,"4,5,9",False,False
A,1,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,1,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-8,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-7,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-6,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-5,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-4,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-3,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-2,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,-1,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,0,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,1,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,2,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,3,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,4,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,5,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,6,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,7,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,8,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,1,9,754,5,"1,4,6,7,8",False,False
A,1,10,383,4,"0,1,7,8",False,False
A,1,11,180,2,"1,8",False,False
A,1,12,121,2,"1,8",False,False
A,2,-24,60,1,9,False,False
A,2,-23,60,1,0,False,False
A,2,-22,60,1,8,False,False
A,2,-21,502,3,"5,8,9",False,False
A,2,-20,638,6,"2,3,4,5,8,9",False,True
A,2,-19,523,3,"4,5,9",False,False
A,2,-18,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-17,1986,9,"0,1,2,4,5,6,7,8,9",True,True
A,2,-16,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-15,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-14,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-13,9537,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-12,11971,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-11,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-10,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True
A,2,-9,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True
