estimate,population,k,value,ci_lo,ci_hi,root_exist_rate,n_exist
g,A,1,-0.3900252530694859,-0.6025366559417887,0.29661301458249817,1.0,10000
g,A,2,-0.3896128117759001,-0.7171099345126956,0.28946992376517083,1.0,10000
g,A,5,-0.39819944012626307,-0.9506639817830067,0.28394146127370107,1.0,10000
g,A,10,-0.6089155142267758,-0.9578180347343745,0.2920462785879303,1.0,10000
g,A,20,-0.6062551824865575,-0.9622165096427796,0.41152035816950117,1.0,10000
g,A,40,-0.9324920439463252,-0.9834589505281071,0.5624849361067583,1.0,10000
g,S,1,-0.3900252530694859,-0.6025366559417887,0.29661301458249817,1.0,10000
g,S,2,-0.3896128117759001,-0.7171099345126956,0.28946992376517083,1.0,10000
g,S,5,-0.39819944012626307,-0.9506639817830067,0.28394146127370107,1.0,10000
g,S,10,-0.6089155142267758,-0.9578180347343745,0.2920462785879303,1.0,10000
g,S,20,-0.6062551824865575,-0.9622165096427796,0.41152035816950117,1.0,10000
g,S,40,-0.9324920439463252,-0.9834589505281071,0.5624849361067583,1.0,10000
g,L,1,,,,0.0,0
g,L,2,,,,0.0,0
g,L,5,,,,0.0,0
g,L,10,,,,0.0,0
g,L,20,,,,0.0,0
g,L,40,,,,0.0,0
g,U,1,-0.3900252530694859,-0.6025366559417887,0.29869929649140453,1.0,10000
g,U,2,-0.3896128117759001,-0.7906275611227388,0.29037283854655216,1.0,10000
g,U,5,-0.39819944012626307,-0.9589352046124822,0.2839530428323981,1.0,10000
g,U,10,-0.6089155142267758,-0.9684492717675035,0.2920462785879303,1.0,10000
g,U,20,-0.6062551824865575,-0.9750051329465073,0.41150968061289794,1.0,10000
g,U,40,-0.9365070915785033,-1.0010633340964656,0.5624849361067583,1.0,10000
C_surv,S-A,1,0.0,0.0,0.0,1.0,10000
C_surv,S-A,2,0.0,0.0,0.0,1.0,10000
C_surv,S-A,5,0.0,0.0,0.0,1.0,10000
C_surv,S-A,10,0.0,0.0,0.0,1.0,10000
C_surv,S-A,20,0.0,0.0,0.0,1.0,10000
C_surv,S-A,40,0.0,0.0,0.0,1.0,10000
P_g,A,40-1,-0.5424667908768394,-0.6264000691180592,0.4924704000679109,1.0,10000
