id,pass,note
S1_sources,True,"n_seed=10, n_step=[20901, 20901, 20901, 20901, 20901, 20901, 20901, 20901, 20901, 20901]"
S2_schema,True,required fields
S3_grid,True,"[{1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}, {1: 19900, 900: 199, 1000: 801}]"
S4_boundaries,True,"[(99, True), (99, True), (99, True), (99, True), (99, True), (99, True), (99, True), (99, True), (99, True), (99, True)]"
S5_common_starts,True,5940 starts and invariant start columns
S6_U_rows,True,594000 per seed x k
S7_endpoints,True,end <= B-1
S8_flip_cross,True,main and bulk flip_state byte equal
S9_axis_cos,True,max=2.2204460492503131e-16
S10_finite,True,required pair columns
S11_population,True,A=S union L and S monotone
S12_absorption,True,start strict-off remains off with zero force and displacement
S13_force_decomposition,True,"['max_abs=1.6763806343078613e-08, bad=0', 'max_abs=2.8594513423740864e-08, bad=0', 'max_abs=2.8870999813079834e-08, bad=0', 'max_abs=2.7881469577550888e-08, bad=0', 'max_abs=2.6077032089233398e-08, bad=0', 'max_abs=1.4901161193847656e-08, bad=0', 'max_abs=1.4901161193847656e-08, bad=0', 'max_abs=1.4901161193847656e-08, bad=0', 'max_abs=2.9802322387695312e-08, bad=0', 'max_abs=2.9802322387695312e-08, bad=0']"
S14_bulk_count,True,"[800, 800, 800, 800, 800, 800, 800, 800, 800, 800]"
S15_mixture,True,max_abs=4.7433845046240819e-20
