population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,guard_descriptive,F,D,H,F_path
A,1,-11,-1.1,-1.0,-1.05,14924,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.3450543284354293e-05,-2.4049813775524217e-05,-5.992704911699209e-07,-2.3450543284354293e-05
A,1,-10,-1.0,-0.9,-0.95,20427,10,"0,1,2,3,4,5,6,7,8,9",True,True,2.9979212182492197e-05,2.602818098917954e-05,-3.9510311933126576e-06,2.9979212182492197e-05
A,1,-9,-0.9,-0.8,-0.85,22380,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.7340543619557685e-05,6.095367348285468e-05,1.3613129863296997e-05,4.7340543619557685e-05
A,1,-8,-0.8,-0.7,-0.75,31697,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.7045270383822864e-05,5.44590931954469e-05,1.7413822811624022e-05,3.7045270383822864e-05
A,1,-7,-0.7,-0.6,-0.65,41060,10,"0,1,2,3,4,5,6,7,8,9",True,True,5.4295159858060235e-05,5.907690453831602e-05,4.7817446802557715e-06,5.4295159858060235e-05
A,1,-6,-0.6,-0.5,-0.55,49120,10,"0,1,2,3,4,5,6,7,8,9",True,True,6.968437163472615e-05,8.867947214702064e-05,1.8995100512294492e-05,6.968437163472615e-05
A,1,-5,-0.5,-0.4,-0.45,67192,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001300782785076289,0.0001022998746265032,-2.7778403881125694e-05,0.0001300782785076289
A,1,-4,-0.4,-0.3,-0.35,88814,10,"0,1,2,3,4,5,6,7,8,9",True,True,7.027732974713845e-05,7.250564549873046e-05,2.228315751592009e-06,7.027732974713845e-05
A,1,-3,-0.3,-0.2,-0.25,126282,10,"0,1,2,3,4,5,6,7,8,9",True,True,-7.0545311548030195e-06,-2.7452498546167945e-05,-2.0397967391364912e-05,-7.0545311548030195e-06
A,1,-2,-0.2,-0.1,-0.15,157123,10,"0,1,2,3,4,5,6,7,8,9",True,True,-1.2597004418694163e-05,-1.2411303842632424e-05,1.8570057606174463e-07,-1.2597004418694163e-05
A,1,-1,-0.1,0.0,-0.05,149967,10,"0,1,2,3,4,5,6,7,8,9",True,True,4.38502552316569e-06,4.406707338259453e-06,2.168181509375547e-08,4.38502552316569e-06
A,1,0,0.0,0.1,0.05,120306,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.746471912328134e-06,1.476026489280518e-05,1.1013792980477051e-05,3.746471912328134e-06
A,1,1,0.1,0.2,0.15,80087,10,"0,1,2,3,4,5,6,7,8,9",True,True,-2.0818896307722517e-05,-4.337015711821368e-05,-2.2551260810491163e-05,-2.0818896307722517e-05
A,1,2,0.2,0.3,0.25,39741,10,"0,1,2,3,4,5,6,7,8,9",True,True,-4.3897713994486205e-05,5.911630489275567e-05,0.00010301401888724191,-4.3897713994486205e-05
A,1,3,0.3,0.4,0.35,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.00020847780469868273,-0.00019867700838251153,9.800796316171179e-06,-0.00020847780469868273
A,1,4,0.4,0.5,0.45,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0005687404272760982,-0.00026160861510154937,0.00030713181217454874,-0.0005687404272760982
A,1,5,0.5,0.6,0.55,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0006933828605674783,-0.0008153634568991289,-0.00012198059633165086,-0.0006933828605674783
A,1,6,0.6,0.7,0.65,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00022506027559456723,-0.0007020435635622607,-0.0009271038391568282,0.00022506027559456723
A,1,7,0.7,0.8,0.75,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0015119286799073458,-0.0011699944948812908,0.00034193418502605487,-0.0015119286799073458
A,1,8,0.8,0.9,0.85,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.003226335732929661,-0.005651933781453515,-0.0024255980485238544,-0.003226335732929661
A,1,9,0.9,1.0,0.95,754,5,"1,4,6,7,8",False,False,-0.006320425786383252,-0.0067420211602672465,-0.0004215953738839936,-0.006320425786383252
A,1,10,1.0,1.1,1.05,383,4,"0,1,7,8",False,False,-0.0009865457077454234,-0.0005065556964971989,0.0004799900112482244,-0.0009865457077454234
A,1,11,1.1,1.2,1.15,180,2,"1,8",False,False,-0.0033427173630274946,-0.004206973125522672,-0.0008642557624951781,-0.0033427173630274946
A,1,12,1.2,1.3,1.25,121,2,"1,8",False,False,-0.0001788868699445803,-0.0004088187605933652,-0.00022993189064878487,-0.0001788868699445803
A,2,-24,-2.4,-2.3,-2.35,60,1,9,False,False,0.00036682995476742993,-0.0002516804018933764,-0.0006185103566608063,0.00035851788605517263
A,2,-23,-2.3,-2.2,-2.25,60,1,0,False,False,-1.2608139744922179e-05,-8.09541904253308e-05,-6.834605068040863e-05,-1.2307957678103777e-05
A,2,-22,-2.2,-2.1,-2.15,60,1,8,False,False,-7.030252436379669e-06,-4.8518529354169004e-06,2.1783995009627686e-06,-6.93655716001255e-06
A,2,-21,-2.1,-2.0,-2.05,502,3,"5,8,9",False,False,1.3900433731260628e-05,2.2996883171511338e-05,9.096449440250704e-06,1.5461862914389916e-05
A,2,-20,-2.0,-1.9,-1.95,638,6,"2,3,4,5,8,9",False,True,8.566496277611976e-06,3.463450508631431e-05,2.6068008808702325e-05,7.006794212164558e-06
A,2,-19,-1.9,-1.8,-1.85,523,3,"4,5,9",False,False,0.00016236489208010837,0.0003902451453145664,0.00022788025323445803,0.0001521499193131031
A,2,-18,-1.8,-1.7,-1.75,1425,10,"0,1,2,3,4,5,6,7,8,9",True,True,-3.009191375448753e-05,-4.415745872079623e-05,-1.4065544966308693e-05,-2.944442186132188e-05
A,2,-17,-1.7,-1.6,-1.65,1986,9,"0,1,2,4,5,6,7,8,9",True,True,-1.2392420130950097e-05,-1.5309903152527397e-05,-2.9174830215773022e-06,-1.1890495587211083e-05
A,2,-16,-1.6,-1.5,-1.55,3477,10,"0,1,2,3,4,5,6,7,8,9",True,True,3.5004563817403647e-06,4.2099728899872254e-05,3.85992725181319e-05,3.4592680564138067e-06
A,2,-15,-1.5,-1.4,-1.45,4620,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.0001208615452106931,-1.6216625327340143e-06,-0.00012248320774342714,0.00012029205387964438
A,2,-14,-1.4,-1.3,-1.35,6339,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00023628739162131405,0.00019417417084874414,-4.211322077256995e-05,0.00022178448550133075
