arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,1,none,0.9846354167,1,1,0,0,-0.7336480021,12.31548405,-5.952965736,0.5222501159,71.54441135,0,0,-1.030409455,8.070695877,-6.098133564,0.5020001531,70.35820864,2.601314306,0.8610315919,1.231040478,1600,1700,1200,1,1199,2200,2200,0.08005779217,0.3861782644,0.6827260112,0,1,1
LR,std,0,0,0.001,2,none,0.9786583333,1,1,0,0,-2.136569262,19.09543419,-8.739964485,0.4982501268,72.42338181,0,0,-13.10353374,14.61328983,-22.6606884,0.263500005,79.83151187,4.062255859,1.080108643,1.468836665,1700,3100,1200,1,1200,3600,3600,0.05479602777,0.4005713737,0.3959675378,0,1,1
LR,std,0,0,0.001,3,none,0.9820541667,1,1,0,0,-2.165165424,20.11111259,-9.873208046,0.5087501407,74.19163917,0,0,-16.57178307,15.48886871,-31.35150146,0.2192499787,78.12396466,4.538161278,1.192346692,1.64079833,1700,1900,1200,1,1200,2400,2400,0.1318053094,0.8936062608,1.218504455,0,1,1
LR,std,0,0,0.001,4,none,0.9826395833,1,1,0,0,-2.788008451,21.97701836,-8.53577137,0.4952501655,73.86690374,0,0,-22.18721199,17.73098755,-36.12891388,0.174249962,74.76163306,5.018959522,1.278007269,1.901723266,1500,1900,1200,1,1198,2400,2400,0.2664222842,1.593023925,2.10881797,0,1,1
LR,std,0,0,0.001,5,none,0.9848229167,1,1,0,0,-3.157089472,22.1782074,-9.755070686,0.490750134,75.13146381,0,0,-26.61758995,18.63339806,-39.63027954,0.1329999566,68.4003869,5.357988358,1.32522881,2.075183153,1600,2100,1200,1,1200,2600,2600,0.2539730074,1.463307779,1.635825465,0,1,1
LR,std,0,0,0.001,6,none,0.98460625,1,1,0,0,-3.287382364,22.26794243,-11.1554594,0.4945001304,76.73222767,0,0,-28.05811882,18.38488007,-40.32942963,0.1217499599,64.87187993,5.59591198,1.359804511,2.343491316,1500,1800,1200,1,1197,2300,2300,0.5169339549,2.612646461,2.755464735,0,1,1
LR,std,0,0,0.001,7,none,0.9862270833,1,1,0,0,-3.383569241,22.00976372,-14.63977242,0.4945001304,76.26348736,0,0,-31.11227226,18.98866081,-41.29568481,0.112749964,59.2968312,5.761120319,1.371454358,2.61800909,1200,1600,1200,1,1200,2100,2100,0.755594473,3.455815527,3.261089288,0,1,1
LR,std,0,0,0.001,8,none,0.98535,1,1,0,0,-3.823807478,20.7201786,-15.28900623,0.4757500887,77.12120111,0,0,-29.683321,18.3408947,-41.13342667,0.1134999618,58.85976279,5.885985374,1.36033535,2.86653161,1500,1700,1200,1,1199,2200,2200,0.8579000096,3.820170775,2.843117398,0,1,1
LR,std,0,0,0.001,9,none,0.9868854167,1,1,0,0,-3.83491993,20.27711296,-13.82309246,0.4780001044,78.3248356,0,0,-29.3568306,17.99211884,-43.06190109,0.1097499654,55.5702913,5.987562656,1.360021472,3.121721983,1200,1400,1200,1,1199,1900,1900,1.208208038,4.844920278,3.103671548,0,1,1
LR,std,0,0,0.001,10,none,0.9869083333,1,1,0,0,-4.052715778,20.64230156,-11.09818745,0.4765000939,78.48072753,0,0,-30.49199295,17.94490623,-46.43033981,0.1067499593,52.98715491,6.051560879,1.346390605,3.305174351,1200,1600,1198,1,1198,2100,2100,1.208883669,4.298756075,2.382260074,0,1,1
LR,std,0,0,0.001,11,none,0.9868104167,1,1,0,0,-3.771560192,19.60551262,-11.40727997,0.4757500887,79.79886657,0,0,-27.48042297,16.38552856,-41.33210373,0.1082499623,54.74837857,6.132837296,1.335602641,3.493187666,1400,1500,1199,1,1198,2000,2000,1.105179069,4.658303138,2.1470626,0,1,1
LR,std,0,0,0.001,12,none,0.986875,1,1,0,0,-4.275644779,19.65857697,-10.8002882,0.4682501256,79.31069787,0,0,-30.59714317,17.01342583,-42.02356339,0.1059999615,50.9161026,6.245421886,1.332682252,3.647050142,1300,1500,1200,1,1199,2000,2000,1.151599066,4.928975883,2.133204452,0,1,1
